face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,44,Man,0.041541334,99.95846,white,0.25057337,1.1154584,0.13013704,64.425644,14.606544,19.47165,neutral,0.0011444502,2.9984072e-14,2.3674982e-05,0.072839715,1.9567708e-05,0.0572968,99.86867,chef_middle aged_24.png
1.0,43,Man,0.013732059,99.98627,white,0.1554823,1.1628457,0.34587127,62.43021,20.021301,15.8842945,neutral,0.5722858,1.9511019e-15,1.2582413e-05,0.19248897,0.005929258,1.6006645e-08,99.22929,chef_middle aged_40.png
1.0,39,Man,0.027674804,99.97233,latino hispanic,3.2182245,5.2295794,8.624627,17.870213,10.023492,55.033867,neutral,0.32734558,0.0016829916,0.09539032,0.18647383,1.0044956,0.026086794,98.35852,chef_middle aged_38.png
1.0,45,Man,0.022590455,99.97742,white,2.8263335,7.8626275,4.986435,30.196768,27.349657,26.77818,happy,0.1156291,4.5273585e-15,4.999885e-06,63.16987,0.001601913,1.5623518e-05,36.712875,chef_middle aged_33.png
1.0,42,Man,0.018005546,99.981995,latino hispanic,1.7225597,15.557788,4.3787436,14.404533,30.840614,33.09576,happy,0.4556226,3.4080353e-19,8.4707304e-11,71.121376,3.0465842e-06,4.0161727e-09,28.42299,chef_middle aged_48.png
1.0,45,Man,0.043711375,99.95629,latino hispanic,3.5528624,6.529854,2.4688704,28.066746,20.615328,38.766342,neutral,41.513226,0.00018089061,1.6779277,8.240708,3.370793,0.0016698716,45.1955,chef_middle aged_29.png
1.0,50,Man,0.039393876,99.96061,white,2.864543,3.6977968,0.77739936,41.165802,27.091112,24.40335,angry,58.26251,1.2654652e-07,0.00992044,1.7568175,1.5097513,0.0012368961,38.459766,chef_middle aged_18.png
1.0,44,Man,0.7739013,99.2261,white,0.00020097096,0.0011377445,3.177388e-05,98.46082,1.1904033,0.34740275,neutral,45.286495,7.123835e-07,0.01274872,0.033193413,5.0923786,2.5941108e-07,49.575184,chef_middle aged_20.png
1.0,42,Man,0.09363667,99.906364,white,0.07907618,0.3118557,0.045942318,71.73732,14.707105,13.118702,neutral,4.9053216,0.0034441752,22.112944,8.505903,16.754175,0.032731444,47.68549,chef_middle aged_41.png
1.0,48,Man,0.040630437,99.959366,white,0.11414784,1.1099954,0.16006464,65.19753,24.8035,8.614758,angry,54.062286,6.641478e-05,0.5099245,0.97246987,22.518766,0.007622899,21.928867,chef_middle aged_7.png
1.0,43,Man,0.08588147,99.91412,white,2.311526,3.9960477,1.1549933,41.895447,25.687283,24.954704,neutral,0.5736435,4.8898195e-12,8.9657615e-06,20.660694,0.042622656,8.688617e-07,78.72303,chef_middle aged_3.png
1.0,47,Man,0.012129701,99.98786,middle eastern,2.7699108,14.67282,13.41153,21.31492,25.57086,22.259962,happy,7.383532e-05,3.9674587e-13,1.4686369e-08,97.51238,0.00016219198,5.2732474e-10,2.4873896,chef_middle aged_1.png
1.0,49,Man,0.3652756,99.63473,latino hispanic,11.143013,17.822063,6.6574435,15.637637,23.786537,24.953316,neutral,0.8445528,1.32914565e-05,0.03537721,4.3422437,8.140083,0.015199074,86.62253,chef_middle aged_12.png
1.0,38,Man,0.00715907,99.992836,middle eastern,3.5780714,8.953539,4.083612,31.057655,31.517395,20.809727,neutral,0.698826,4.034456e-08,3.663243e-05,36.389477,0.72908497,1.6734164e-05,62.182564,chef_middle aged_15.png
1.0,49,Man,0.041377913,99.958626,white,0.29175442,1.6327746,0.124449015,50.240387,29.691484,18.019156,neutral,19.354845,0.06715686,0.66600764,1.7055128,33.28418,0.0055169594,44.91678,chef_middle aged_26.png
1.0,49,Man,0.16114447,99.83885,latino hispanic,2.670573,7.7062345,2.283086,28.573551,27.406307,31.360245,neutral,30.96864,1.2811641e-07,0.010082195,1.0653025,2.687487,7.0049596e-06,65.26848,chef_middle aged_13.png
1.0,46,Man,0.34923142,99.65077,white,0.011569458,0.011635138,0.00033244886,96.17486,2.3039446,1.497654,neutral,29.460896,3.3074488e-09,8.6818494e-05,22.424564,0.46441448,1.8940833e-06,47.650036,chef_middle aged_19.png
1.0,40,Man,0.028673269,99.97132,white,2.8044622,2.7934155,1.0879915,46.361588,14.323942,32.6286,neutral,9.936876,0.0018425836,0.57770866,4.955413,4.900365,0.03944798,79.58835,chef_middle aged_16.png
1.0,46,Man,0.038957827,99.96105,white,0.09590599,0.28692332,0.038641226,76.17979,10.770728,12.628016,neutral,5.0593195,0.012235411,0.0977974,0.009698872,0.60615647,0.038695395,94.1761,chef_middle aged_45.png
1.0,47,Man,0.03796311,99.96203,middle eastern,0.5272306,3.7196095,0.6036962,33.66284,33.764664,27.72196,neutral,1.3989204,8.6388255e-08,0.75457746,6.7654514,5.2077637,0.013081332,85.86021,chef_middle aged_31.png
1.0,51,Man,0.0022786108,99.99773,middle eastern,0.9378722,6.7504873,1.0849735,23.7106,43.840176,23.675894,neutral,6.7456417,5.490593e-07,0.021554288,25.226204,0.6390202,0.003215243,67.36436,chef_middle aged_36.png
1.0,49,Man,0.040941328,99.95906,white,0.8134989,3.1144445,2.2161388,35.488873,25.706238,32.66081,angry,93.34943,4.5877314e-07,0.017110934,2.3840477,0.16972774,0.0019181247,4.0777655,chef_middle aged_46.png
1.0,48,Man,0.022721794,99.97729,white,0.9108479,3.1855738,0.5971254,39.49104,22.83339,32.98202,angry,94.66312,1.0380216e-07,0.0012710578,0.3823446,1.0373092,2.1960251e-07,3.9159582,chef_middle aged_39.png
1.0,33,Man,0.034363233,99.96563,white,0.48764116,0.9588639,0.22019434,59.10827,20.209272,19.01576,neutral,0.0040837186,3.3034962e-07,0.00010491373,22.710686,0.22068322,0.0012454282,77.063194,chef_middle aged_35.png
1.0,50,Man,0.0007350857,99.99926,middle eastern,1.345986,6.4824615,1.2108989,29.380848,36.634686,24.945124,angry,86.21481,3.6356934e-07,0.09505129,9.030113,0.8627625,0.0033650496,3.7938867,chef_middle aged_8.png
1.0,49,Man,0.014969389,99.98503,white,0.30351812,1.617978,0.26740727,62.404995,16.386324,19.019781,neutral,8.586591,0.0011313751,1.6700013,1.1670862,4.0572596,4.705601,79.81233,chef_middle aged_43.png
1.0,43,Man,0.10360478,99.89639,white,1.7275884,2.0815794,0.9477365,40.01524,19.250015,35.977837,neutral,7.7627,8.069375e-06,0.11427941,15.221672,0.14739285,0.021851767,76.7321,chef_middle aged_11.png
1.0,46,Man,0.019237896,99.98077,white,0.6637671,1.281343,0.26050183,50.741535,16.294443,30.758413,angry,45.45667,0.0022120345,1.6323453,0.60290575,34.869328,0.018340152,17.418203,chef_middle aged_44.png
1.0,51,Man,0.09573532,99.90426,white,2.4189088,2.9024136,0.6976944,57.766922,15.375158,20.83891,neutral,0.7828645,2.859265e-09,0.0018549185,3.816445,0.055495538,0.00047980205,95.342865,chef_middle aged_22.png
1.0,46,Man,0.008210828,99.99178,white,0.25735936,3.3371513,0.4892421,48.73222,27.904724,19.279306,happy,0.00046717565,6.572365e-09,2.2257604e-05,99.649086,0.000108765424,7.791798e-06,0.3503078,chef_middle aged_34.png
1.0,43,Man,0.032217782,99.96779,latino hispanic,9.9344,10.210717,10.563439,20.401003,19.400509,29.489931,neutral,0.0070103747,9.1558283e-10,0.00032328925,0.0018580358,0.006611811,0.00047559518,99.98373,chef_middle aged_4.png
1.0,50,Man,0.013856318,99.98614,white,0.006440959,0.04531524,0.008247609,84.79007,4.7064867,10.4434395,neutral,0.38045532,3.5987077e-06,0.0002023787,39.869617,0.3639421,0.00014442815,59.385635,chef_middle aged_9.png
1.0,39,Man,0.072068416,99.92793,white,0.15510142,0.8583036,0.16349992,63.873596,21.968857,12.9806385,neutral,0.08367499,1.2259758e-12,8.652641e-06,2.1783128,0.040591378,2.2189637e-09,97.6974,chef_middle aged_23.png
1.0,51,Man,0.0055187973,99.994484,latino hispanic,21.80482,10.463318,11.507438,13.493228,8.3441105,34.38709,happy,24.424206,3.9336534e-08,0.0032619303,46.46123,0.07929054,0.0015089638,29.030495,chef_middle aged_17.png
1.0,46,Man,0.034249615,99.96575,latino hispanic,5.4195027,6.7123756,2.843683,28.904173,22.94222,33.178047,neutral,27.64829,2.672958e-06,0.0018015553,6.001775,5.2364316,0.0001064402,61.111588,chef_middle aged_6.png
1.0,45,Man,0.32532072,99.674675,white,0.49728155,0.81375825,0.23550873,65.86664,15.821396,16.765415,happy,8.7639955e-06,2.5102491e-19,1.4992676e-11,99.823326,6.226275e-07,2.8919859e-08,0.17667656,chef_middle aged_2.png
1.0,46,Man,0.04407554,99.955925,white,0.0031196552,0.008890971,0.00011483921,96.68304,2.126174,1.1786612,angry,56.563675,8.311466e-05,0.009906692,0.6295939,6.526175,6.937275e-05,36.270496,chef_middle aged_27.png
1.0,44,Man,0.08063586,99.91936,white,0.21759214,1.1696563,0.23325469,56.98482,26.737223,14.65746,angry,54.267746,0.0025042833,0.3280651,21.138561,12.956168,0.0010744063,11.305889,chef_middle aged_42.png
1.0,42,Man,0.0015612295,99.998436,middle eastern,0.084751256,1.9003687,0.18240929,38.410545,43.448776,15.973157,neutral,33.51554,0.006238423,1.7545564,1.6591582,18.53551,0.01289505,44.516106,chef_middle aged_10.png
1.0,40,Man,0.0076706703,99.992325,latino hispanic,4.8415127,14.475565,9.950806,13.135603,21.811878,35.78464,neutral,0.5690795,1.10678535e-07,0.0030753275,0.13795742,1.2641757,7.981028e-06,98.02571,chef_middle aged_30.png
1.0,47,Man,0.024254717,99.975746,latino hispanic,12.926379,14.644917,6.5373287,15.390882,11.2794485,39.221046,happy,0.0059038163,1.4354623e-14,4.240309e-10,83.68863,0.00046061372,2.6843296e-07,16.305014,chef_middle aged_5.png
1.0,46,Man,0.03001882,99.969986,white,1.6460581,5.794505,1.3618078,35.94633,35.1665,20.084799,neutral,48.676525,4.03397e-08,0.003278996,0.3070448,1.0277721,2.4474432e-06,49.985374,chef_middle aged_47.png
1.0,39,Man,0.026797058,99.9732,middle eastern,7.0118527,11.783469,4.8724184,20.95064,29.014393,26.367231,neutral,15.459941,2.0322947e-05,0.43139088,0.96188736,2.4856484,0.00023654313,80.66087,chef_middle aged_49.png
1.0,36,Man,0.015447765,99.98455,white,0.22287574,1.7886406,0.21831763,55.01069,28.92854,13.83094,neutral,26.010508,2.3979153e-06,0.0029816015,0.25131378,7.86849,3.1262489e-06,65.8667,chef_middle aged_25.png
1.0,48,Man,0.042246178,99.957756,white,0.0057635424,0.0714743,0.0042368853,80.48144,12.87952,6.557574,neutral,0.27238047,2.1675446e-07,2.344441,25.283245,0.1605879,0.08261404,71.85673,chef_middle aged_28.png
1.0,45,Man,0.06889143,99.93111,middle eastern,0.62092566,5.187973,0.75703806,34.537506,36.79663,22.099928,neutral,1.608221,3.015472e-13,4.1666375e-05,3.4765708,0.0030618878,1.8325305e-06,94.91211,chef_middle aged_14.png
1.0,49,Man,0.0057527265,99.99424,white,0.11917007,0.33692813,0.06285849,79.026535,9.498254,10.956259,neutral,15.396179,2.403918e-09,0.00044113427,10.914773,0.16248098,2.1111775e-05,73.5261,chef_middle aged_0.png
1.0,42,Man,0.025615511,99.97439,latino hispanic,1.8091589,3.434627,3.7318745,29.910227,18.473522,42.640587,neutral,13.390176,1.7787443e-06,0.15643246,2.4481316,0.6202833,3.1278236e-05,83.38494,chef_middle aged_32.png
1.0,46,Man,0.0685805,99.93142,white,0.2238563,0.47610855,0.035629764,69.15319,10.845183,19.266035,neutral,40.50688,9.461891e-07,0.04770092,0.41059086,6.8700333,0.0032617175,52.161537,chef_middle aged_37.png
1.0,46,Man,0.0031018506,99.9969,white,7.916167,9.3221855,8.601582,29.755167,21.739334,22.665565,happy,0.44525266,7.38591e-06,0.0024205693,73.945206,0.1665735,0.002018496,25.438524,chef_middle aged_21.png
