face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_1_face0.png,Indian,Indian,Male,40-49,"[2.0301630e-05 3.2031140e-04 1.0964335e-03 5.2836825e-08 4.1824819e-06
 9.9788529e-01 6.7346956e-04]",[8.5552667e-05 1.9663856e-04 1.0481389e-05 9.9970734e-01],[9.9999553e-01 4.4385506e-06],"[1.2281090e-06 6.4369437e-06 2.0343957e-04 4.8033926e-03 1.9468720e-01
 6.3888937e-01 1.5919715e-01 2.1921706e-03 1.9624240e-05]","[(363, 162) (581, 380)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_22_face0.png,Indian,Indian,Male,40-49,"[8.9026662e-06 1.1145578e-03 1.2082428e-03 9.0259567e-07 7.8479075e-05
 9.9730814e-01 2.8077996e-04]",[4.1934880e-05 8.0622197e-04 4.6884663e-05 9.9910492e-01],[9.9999624e-01 3.7570387e-06],"[1.1905602e-06 2.0420559e-05 1.6342963e-03 3.2108944e-02 4.0115508e-01
 4.9831873e-01 6.6129766e-02 6.2746601e-04 4.1756757e-06]","[(337, 189) (599, 450)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_34_face0.png,Indian,Indian,Male,30-39,"[4.3878408e-06 2.7593074e-04 4.1458319e-04 9.6729912e-07 7.4513853e-05
 9.9918830e-01 4.1297331e-05]",[2.1288022e-05 3.6266664e-04 4.0105351e-05 9.9957597e-01],[9.9999970e-01 2.4248297e-07],"[1.15455144e-07 6.74943567e-06 1.23150367e-03 1.33176863e-01
 7.27797985e-01 1.36028901e-01 1.75072369e-03 7.06709443e-06
 3.78739244e-08]","[(385, 185) (602, 403)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_29_face0.png,Indian,Indian,Male,30-39,"[1.1402696e-03 1.5347670e-03 1.3447975e-02 2.7222889e-06 4.6744433e-05
 9.6141493e-01 2.2412656e-02]",[1.6950956e-04 6.3882064e-04 2.5678684e-05 9.9916595e-01],[9.9995232e-01 4.7627585e-05],"[2.37570771e-06 1.06895546e-04 2.28016009e-03 8.51095691e-02
 6.67471409e-01 2.39334300e-01 5.64976223e-03 4.48730461e-05
 6.60405760e-07]","[(358, 203) (670, 517)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_12_face0.png,Indian,Indian,Female,20-29,"[2.7444785e-05 5.1080169e-05 5.7478185e-04 2.5007910e-07 4.9393284e-06
 9.9926585e-01 7.5664109e-05]",[1.2756494e-04 1.0622807e-05 4.4971468e-05 9.9981683e-01],[1.4375873e-04 9.9985623e-01],"[6.5280674e-09 1.3266439e-05 2.6740355e-02 8.8382530e-01 8.6538121e-02
 2.8465150e-03 3.5825778e-05 6.8246737e-07 1.9522711e-08]","[(400, 254) (582, 436)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_46_face0.png,Indian,Indian,Male,30-39,"[2.8156777e-05 1.0328346e-04 2.8093758e-03 4.5894112e-07 2.2739525e-05
 9.9658144e-01 4.5451254e-04]",[3.1760766e-05 5.9976792e-05 6.8275454e-05 9.9983996e-01],[9.9999666e-01 3.3305821e-06],"[7.72888313e-07 2.11758779e-05 1.75416563e-03 1.08934917e-01
 6.90313458e-01 1.95693254e-01 3.26757529e-03 1.45230351e-05
 1.05945034e-07]","[(400, 126) (582, 307)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_13_face0.png,Indian,Indian,Male,30-39,"[3.6114492e-05 4.5082471e-04 1.8095801e-03 9.5929988e-07 3.6708094e-05
 9.9739617e-01 2.6965019e-04]",[4.0495701e-04 7.6895807e-04 2.5244721e-04 9.9857366e-01],[9.9999762e-01 2.3571608e-06],"[1.5625606e-06 6.3708190e-05 1.5745707e-03 1.8819484e-01 7.4278820e-01
 6.6852160e-02 5.2165083e-04 3.3216893e-06 3.2162134e-08]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_11_face0.png,Indian,Indian,Male,30-39,"[2.9845728e-04 5.8067183e-04 2.7408225e-02 5.8575265e-06 2.2754034e-04
 9.6014249e-01 1.1336720e-02]",[2.7569692e-04 1.8500055e-04 5.0813350e-04 9.9903119e-01],[1.0000000e+00 2.0278955e-08],"[3.9388788e-06 1.3839905e-04 3.6986384e-03 2.5328267e-01 6.3890851e-01
 1.0312410e-01 8.3478133e-04 8.9696741e-06 4.0233058e-08]","[(363, 241) (624, 503)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_20_face0.png,Indian,Indian,Male,30-39,"[7.9448902e-05 3.6175313e-04 2.5198534e-03 5.3542885e-07 1.3594892e-05
 9.9590111e-01 1.1237174e-03]",[7.8886791e-05 5.3772557e-04 2.2897986e-05 9.9936050e-01],[9.9998289e-01 1.7108137e-05],"[6.3268487e-07 3.8344977e-05 1.7747085e-03 1.1963803e-01 7.2889197e-01
 1.4823128e-01 1.4188479e-03 6.0995744e-06 5.5787481e-08]","[(294, 168) (744, 619)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_indian/fitness instructor_indian_16_face0.png,Indian,Indian,Male,20-29,"[8.1782724e-05 1.4840389e-04 4.5012059e-03 4.0735378e-07 1.0832420e-05
 9.9292058e-01 2.3367947e-03]",[8.9048216e-04 3.2352775e-04 4.6388654e-05 9.9873960e-01],[9.9999887e-01 1.1157617e-06],"[1.9337469e-06 4.9901678e-04 1.9800304e-02 6.1472291e-01 3.5266870e-01
 1.2249615e-02 5.7300877e-05 2.6826416e-07 2.5226718e-09]","[(363, 229) (581, 446)]"
