face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_8_face0.png,White,White,Male,50-59,"[8.5677630e-01 4.5057698e-03 5.3939931e-02 2.7945431e-04 1.6488236e-03
 6.6691777e-03 7.6180555e-02]",[0.93333215 0.00188123 0.01001902 0.05476755],[9.9999827e-01 1.7523292e-06],"[2.1417040e-05 4.0804429e-05 3.7296064e-04 4.0225312e-04 4.9008853e-03
 6.8407573e-02 6.1878610e-01 2.9937083e-01 7.6971767e-03]","[(358, 203) (670, 517)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_27_face0.png,White,White,Male,50-59,"[9.9756253e-01 7.0489896e-06 2.9132818e-04 1.0657338e-05 2.3128086e-05
 6.8654568e-05 2.0366877e-03]",[9.9708343e-01 1.3873527e-04 8.6090801e-04 1.9168485e-03],[9.9999905e-01 9.7468433e-07],"[3.34204560e-05 3.47512614e-05 2.88673327e-04 4.86736390e-04
 4.34298860e-03 7.33021572e-02 8.04973960e-01 1.15303345e-01
 1.23393687e-03]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_18_face0.png,White,White,Male,50-59,"[9.8793411e-01 2.1526254e-04 7.5841346e-03 4.3643544e-05 5.1758507e-05
 1.5243725e-04 4.0187277e-03]",[9.9753577e-01 6.6125009e-05 5.4501771e-04 1.8531277e-03],[9.9996096e-01 3.9048369e-05],"[4.1325948e-06 7.7453769e-06 1.9205931e-04 4.2705625e-04 5.5494397e-03
 9.4348975e-02 7.5692898e-01 1.4001104e-01 2.5305219e-03]","[(326, 108) (640, 422)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_21_face0.png,White,White,Male,50-59,"[7.16202915e-01 1.20034558e-03 1.64453432e-01 2.71515921e-04
 6.70514593e-04 1.55061744e-02 1.01695076e-01]",[9.8630494e-01 6.4927962e-04 1.0288233e-03 1.2016905e-02],[9.998705e-01 1.295184e-04],"[2.2895295e-04 1.1567674e-04 5.1808980e-04 9.1287919e-05 1.3474028e-03
 4.1538607e-02 7.2512901e-01 2.2764900e-01 3.3819783e-03]","[(302, 165) (677, 540)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_19_face0.png,White,White,Male,50-59,"[6.2745577e-01 1.6627545e-02 2.2221532e-01 1.8548706e-04 1.0440856e-03
 5.8189183e-02 7.4282639e-02]",[0.80099094 0.01381276 0.00303169 0.18216458],[9.9998027e-01 1.9715533e-05],"[1.5028991e-04 1.2502888e-04 5.8029615e-04 2.6444683e-04 1.7144486e-03
 3.5589814e-02 6.7990285e-01 2.7701953e-01 4.6533607e-03]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_44_face0.png,White,White,Male,50-59,"[9.6629655e-01 1.8969654e-04 1.0255212e-02 1.4108930e-04 2.8830802e-04
 5.5782642e-04 2.2271320e-02]",[9.9542981e-01 7.8513192e-05 3.2509591e-03 1.2407213e-03],[9.9999785e-01 2.1018564e-06],"[5.7766567e-05 3.9123570e-05 3.4029776e-04 5.7447975e-04 6.0636513e-03
 8.2043119e-02 7.4136376e-01 1.6745232e-01 2.0654693e-03]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_46_face0.png,White,White,Male,50-59,"[9.4275361e-01 8.5087150e-04 3.5320159e-02 5.8769929e-05 1.1329734e-04
 1.3215515e-03 1.9581703e-02]",[9.9697226e-01 2.5033447e-04 6.2615133e-04 2.1512520e-03],[9.9999529e-01 4.7261456e-06],"[1.1552410e-05 8.5551374e-06 6.5801090e-05 1.2516964e-04 7.6530096e-03
 2.1753787e-01 7.1827090e-01 5.5869263e-02 4.5787237e-04]","[(358, 172) (670, 485)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_29_face0.png,White,White,Male,50-59,"[5.2658570e-01 2.6583220e-04 2.1142285e-02 8.0331643e-05 2.2352728e-04
 9.8731872e-03 4.4182909e-01]",[9.6679610e-01 3.6150936e-04 1.1416932e-03 3.1700660e-02],[9.9998784e-01 1.2162047e-05],"[7.9958954e-06 6.0389493e-06 5.3271797e-05 2.2655837e-05 3.8628283e-04
 1.9569460e-02 6.4425910e-01 3.2631534e-01 9.3797743e-03]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_33_face0.png,White,White,Male,50-59,"[6.4133775e-01 6.7083514e-04 4.0483486e-02 8.9520414e-05 4.7587865e-04
 3.8287781e-02 2.7865478e-01]",[9.6366328e-01 7.2504883e-04 1.5987986e-03 3.4012992e-02],[9.9999726e-01 2.7558731e-06],"[9.6856631e-05 4.6105259e-05 1.6241052e-04 1.0411852e-04 2.1068482e-03
 6.7497909e-02 7.7502036e-01 1.5272914e-01 2.2362941e-03]","[(294, 305) (744, 756)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_5_face0.png,White,White,Male,50-59,"[9.9221975e-01 1.0519521e-04 4.3304674e-03 3.6649089e-05 1.0140283e-04
 5.8736670e-04 2.6192551e-03]",[9.9468243e-01 3.4335043e-04 3.9990083e-04 4.5743040e-03],[9.9999303e-01 6.9919593e-06],"[1.4230343e-05 1.1945703e-05 2.3781336e-04 2.0206669e-04 1.0151081e-03
 1.7089153e-02 5.8016998e-01 3.9471301e-01 6.5466408e-03]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_41_face0.png,White,White,Male,50-59,"[9.0774637e-01 5.2662427e-04 6.2064193e-02 1.0716576e-03 1.9359261e-03
 1.4985700e-03 2.5156604e-02]",[9.9538755e-01 6.7783543e-04 4.8324565e-04 3.4513648e-03],[9.9997544e-01 2.4585903e-05],"[1.6068023e-05 1.2208063e-05 1.0593225e-04 1.4505717e-04 5.3485087e-03
 1.2848428e-01 7.7387941e-01 9.0883777e-02 1.1247324e-03]","[(235, 253) (884, 902)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_37_face0.png,White,White,Male,50-59,"[9.1315597e-01 1.1154208e-02 1.7302897e-02 1.2520535e-04 1.1197879e-03
 1.8319929e-02 3.8821954e-02]",[0.90077424 0.01204932 0.0200283  0.06714817],[9.9999982e-01 1.4881758e-07],"[7.2279916e-05 7.7376681e-05 4.3359245e-04 2.5912785e-04 1.4867302e-03
 2.4240838e-02 5.8555859e-01 3.8350445e-01 4.3670088e-03]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_32_face0.png,White,White,Male,50-59,"[9.3465263e-01 5.3558178e-04 3.8519174e-02 2.2415482e-04 5.6437345e-04
 8.7415986e-04 2.4629898e-02]",[9.8760301e-01 6.3083664e-04 4.4951341e-03 7.2709643e-03],[1.0000000e+00 2.8696236e-08],"[5.7218504e-06 5.8180012e-06 9.0820446e-05 6.2921800e-04 3.0011976e-02
 3.5112143e-01 5.9176135e-01 2.6246276e-02 1.2743952e-04]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_49_face0.png,White,White,Male,50-59,"[0.57847416 0.01048734 0.3067216  0.00114985 0.00404583 0.02065693
 0.07846433]",[0.96670675 0.00155155 0.0014243  0.03031743],[9.9999917e-01 8.7549097e-07],"[2.9939336e-05 2.3926083e-05 1.3303517e-04 5.3408949e-05 1.1657417e-03
 4.8652977e-02 7.2675294e-01 2.2143102e-01 1.7571091e-03]","[(363, 162) (581, 380)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_26_face0.png,White,White,Male,50-59,"[7.0699579e-01 7.4313127e-04 6.5893091e-02 2.9925121e-05 2.6551168e-04
 4.4033803e-02 1.8203877e-01]",[0.87469053 0.00110021 0.00237685 0.12183233],[9.9999076e-01 9.2899836e-06],"[2.8953982e-05 3.8844475e-05 2.1042807e-04 1.6368108e-04 2.7484754e-03
 7.0882060e-02 8.0854446e-01 1.1611490e-01 1.2681953e-03]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_3_face0.png,White,White,Male,50-59,"[8.1418967e-01 9.8500215e-03 1.3776112e-01 3.1904966e-04 1.0143982e-03
 2.4868492e-02 1.1997239e-02]",[0.9101269  0.03405011 0.00203878 0.05378421],[9.9999017e-01 9.8411765e-06],"[3.2759606e-05 1.7548806e-05 3.4075079e-04 3.3807635e-04 1.8122303e-03
 3.0127876e-02 6.6031200e-01 3.0458513e-01 2.4335647e-03]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_9_face0.png,White,White,Male,50-59,"[9.82988656e-01 1.02174294e-03 1.16675897e-02 1.01702375e-04
 2.47499906e-04 7.89938786e-04 3.18286614e-03]",[9.9350470e-01 1.2535813e-03 6.2488770e-04 4.6168449e-03],[9.999916e-01 8.387075e-06],"[1.5794252e-05 3.4701057e-05 6.7930110e-04 4.6417038e-03 3.4196977e-02
 1.9980867e-01 6.7174667e-01 8.7252289e-02 1.6239337e-03]","[(437, 126) (619, 307)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_35_face0.png,White,White,Male,50-59,"[8.0521154e-01 1.2671965e-03 3.0782573e-02 2.4111792e-04 9.5880596e-04
 1.1770776e-02 1.4976795e-01]",[0.9798833  0.00134089 0.0044258  0.01434992],[9.9997723e-01 2.2770988e-05],"[3.7979250e-04 3.7269964e-04 1.2236432e-03 5.3276413e-04 2.1264397e-03
 2.9071279e-02 5.0563091e-01 4.4319305e-01 1.7469451e-02]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_17_face0.png,White,White,Male,50-59,"[9.5930636e-01 1.5471769e-04 1.4229457e-02 2.2616838e-05 7.3862095e-05
 1.2493504e-03 2.4963601e-02]",[9.9683166e-01 2.2791597e-05 1.7854315e-03 1.3601369e-03],[9.9998617e-01 1.3837213e-05],"[1.6059672e-05 4.0692041e-05 9.5617562e-04 3.4802377e-03 4.0626582e-02
 2.5919205e-01 6.4154816e-01 5.3177278e-02 9.6274621e-04]","[(363, 241) (624, 503)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_1_face0.png,White,White,Male,50-59,"[9.1317558e-01 1.4229018e-03 4.7513731e-02 9.3349990e-05 1.8560294e-04
 1.8814851e-03 3.5727337e-02]",[9.8602128e-01 7.5579953e-04 1.5885971e-03 1.1634305e-02],[9.9998850e-01 1.1462923e-05],"[1.9480534e-05 1.7672013e-05 1.5862050e-04 3.3675643e-04 5.6807278e-03
 7.8248084e-02 7.7325869e-01 1.4054094e-01 1.7390451e-03]","[(248, 352) (698, 802)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_middle aged/fitness instructor_middle aged_16_face0.png,White,White,Male,50-59,"[9.9381620e-01 9.9311837e-05 2.6890133e-03 1.0570883e-04 2.3085673e-04
 6.6297525e-04 2.3958657e-03]",[9.89685833e-01 1.13578244e-04 1.41041703e-03 8.79022852e-03],[9.9994969e-01 5.0362156e-05],"[1.7558337e-04 2.9704886e-04 3.0709202e-03 1.0840931e-03 2.2030133e-03
 2.3661578e-02 5.2730834e-01 4.3415239e-01 8.0471030e-03]","[(202, 183) (743, 724)]"
