face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_38_face0.png,White,White,Male,20-29,"[8.3270621e-01 4.3724308e-04 5.0751053e-02 2.5203046e-05 1.3841399e-04
 9.6417568e-04 1.1497775e-01]",[9.9982321e-01 3.1927822e-05 4.0052655e-05 1.0478950e-04],[9.9999845e-01 1.5367444e-06],"[6.7311383e-08 2.7491765e-06 1.8900527e-03 6.6492319e-01 3.2919222e-01
 3.9826022e-03 9.1085112e-06 1.0851180e-07 1.3808040e-09]","[(263, 316) (640, 692)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_24_face0.png,White,White,Male,20-29,"[9.8391539e-01 5.6633835e-05 2.7803103e-03 1.1616758e-05 4.2078223e-05
 6.2801169e-05 1.3131141e-02]",[9.9864775e-01 1.5574075e-04 7.5172778e-04 4.4479128e-04],[9.9999952e-01 4.5065084e-07],"[2.7714347e-07 2.5631603e-05 2.2633134e-03 5.1924282e-01 4.7028896e-01
 8.1593348e-03 1.9547580e-05 1.0482106e-07 1.8548649e-09]","[(170, 55) (819, 705)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_23_face0.png,White,White,Male,20-29,"[9.9618369e-01 6.7182455e-06 2.9904689e-03 2.0314959e-05 6.1221683e-05
 8.1010665e-05 6.5651257e-04]",[9.9995393e-01 2.2294619e-06 1.8006353e-05 2.5888465e-05],[9.9973792e-01 2.6204286e-04],"[9.4982823e-08 1.1570989e-05 8.8172145e-03 6.2580168e-01 3.5278243e-01
 1.2495721e-02 9.0689573e-05 5.6616881e-07 2.3664457e-08]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_41_face0.png,White,White,Male,30-39,"[9.9699622e-01 1.1790679e-04 2.0023126e-03 5.6195440e-05 1.3693901e-04
 2.7906035e-05 6.6245359e-04]",[9.9925131e-01 2.7561953e-04 3.1834017e-04 1.5478439e-04],[9.9996388e-01 3.6122878e-05],"[2.0869500e-08 1.4318119e-06 8.1692624e-04 3.0082771e-01 6.7151612e-01
 2.6516249e-02 3.2041286e-04 1.1007422e-06 6.2005832e-08]","[(294, 305) (744, 756)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_35_face0.png,White,White,Male,30-39,"[9.9719346e-01 8.4097999e-05 7.7810104e-04 2.4447144e-07 1.9876261e-06
 2.2273092e-05 1.9199114e-03]",[9.9777782e-01 1.3165786e-03 4.3044449e-05 8.6257223e-04],[9.9999624e-01 3.7625234e-06],"[1.0940636e-08 2.6092550e-07 5.9264021e-05 7.6629728e-02 8.6257273e-01
 6.0461383e-02 2.7560370e-04 1.0103397e-06 1.5247956e-08]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_15_face0.png,White,White,Male,20-29,"[9.8783982e-01 3.6170252e-04 2.9794283e-03 2.2392778e-06 2.2084700e-05
 9.8120283e-05 8.6965412e-03]",[9.9823296e-01 7.2582508e-04 1.0329800e-04 9.3793572e-04],[9.999999e-01 7.028275e-08],"[1.2312346e-08 1.3731919e-06 2.0314467e-03 5.6755167e-01 4.1460523e-01
 1.5669145e-02 1.4009302e-04 1.0225738e-06 1.4718407e-08]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_11_face0.png,White,White,Male,20-29,"[9.9760771e-01 8.4872809e-06 9.8568085e-04 6.6823588e-05 1.7975923e-04
 6.2568756e-06 1.1452242e-03]",[9.9965984e-01 2.4889756e-05 2.9468839e-04 2.0548823e-05],[9.999996e-01 3.903732e-07],"[1.4643920e-06 5.9685135e-05 5.3126453e-03 5.1610541e-01 4.5517805e-01
 2.3116184e-02 2.2372647e-04 2.7364185e-06 5.9608233e-08]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_14_face0.png,White,White,Male,30-39,"[6.45074427e-01 7.44554680e-04 1.13669366e-01 1.02917502e-05
 6.02815271e-05 5.43239154e-03 2.35008642e-01]",[9.8878217e-01 3.1865941e-04 8.0658839e-04 1.0092690e-02],[9.9999946e-01 5.6720552e-07],"[1.00947325e-07 3.58596640e-06 3.25493020e-04 2.14866176e-01
 7.52106905e-01 3.26234065e-02 7.39488096e-05 3.14320005e-07
 2.86844970e-09]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_42_face0.png,White,White,Male,30-39,"[6.1111629e-01 3.0817089e-04 5.5715304e-02 1.8181733e-04 3.9317814e-04
 1.5748309e-03 3.3071047e-01]",[9.9672276e-01 7.0681557e-04 5.3712609e-04 2.0332639e-03],[9.9999726e-01 2.7343729e-06],"[7.1539162e-08 1.2464129e-06 3.1441016e-04 2.1958682e-01 7.4165839e-01
 3.8298115e-02 1.4026485e-04 6.0316489e-07 1.0140346e-08]","[(407, 207) (624, 424)]"
fairface/detected_faces/Stablexl1.0_fitness instructor_white/fitness instructor_white_31_face0.png,White,White,Male,30-39,"[9.7530359e-01 7.9149217e-04 1.7725289e-02 3.2451619e-05 1.3571158e-04
 2.1160916e-04 5.7999245e-03]",[0.9882545  0.00257738 0.00118249 0.00798571],[9.9999678e-01 3.1782674e-06],"[9.0375812e-07 7.8129327e-05 1.1657489e-02 2.7986580e-01 6.2174839e-01
 8.4280007e-02 2.3490526e-03 1.9787891e-05 4.0738988e-07]","[(248, 305) (698, 756)]"
