face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,31,Woman,99.72734,0.27266198,asian,99.91076,0.04153623,4.2120777e-05,0.008879614,1.8868464e-05,0.03875376,happy,0.0018281484,4.3922428e-05,0.01381412,91.431496,0.0047869156,0.22588447,8.322146,flight attendant_asian_8.png
1.0,29,Woman,99.99962,0.00038442094,asian,99.51187,0.34623635,0.00012330945,0.03862949,0.00015200047,0.102973945,happy,4.869139e-07,2.837595e-17,2.6359083e-07,99.955536,1.2800115e-07,4.0406175e-07,0.04446713,flight attendant_asian_44.png
1.0,32,Woman,99.99915,0.0008418825,asian,99.94509,0.024155257,3.907053e-06,0.0024542962,1.273858e-06,0.028284859,happy,0.00034039776,1.3846463e-06,0.02317352,95.98579,0.00725111,0.0042226994,3.9792283,flight attendant_asian_47.png
1.0,32,Woman,99.9993,0.0006992732,asian,100.0,2.674732e-08,5.051885e-15,6.79885e-10,1.5885912e-15,2.3519591e-07,happy,1.0890714e-15,1.0726293e-29,1.3355645e-16,99.84631,8.067989e-15,1.1542828e-10,0.15368031,flight attendant_asian_48.png
1.0,31,Woman,99.99843,0.0015751647,asian,90.0455,2.707872,0.12508777,0.3560981,0.075997986,6.6894503,happy,2.5263276e-07,3.7951256e-13,4.8032155e-07,87.292786,1.5144491e-05,0.0039273547,12.703267,flight attendant_asian_21.png
1.0,31,Woman,99.999596,0.0004093692,asian,99.999954,3.075136e-05,2.083422e-10,5.0185704e-06,1.4983453e-09,1.6807644e-05,happy,0.00012169649,5.742153e-10,0.0025559936,77.756546,0.009241975,0.00016928688,22.231369,flight attendant_asian_36.png
1.0,30,Woman,99.99744,0.0025659674,asian,99.94402,0.015090289,1.0449722e-05,0.0023508535,7.910222e-06,0.03852239,happy,2.1039066e-06,2.139435e-11,1.518018e-08,76.01252,3.800627e-05,0.0025439546,23.984894,flight attendant_asian_28.png
1.0,31,Woman,100.0,3.0825788e-06,asian,99.935265,0.025452208,2.121981e-05,0.008434064,1.6650156e-05,0.030814327,happy,2.9635794e-05,9.32123e-13,7.115796e-05,99.82034,4.9788672e-05,1.1083259e-05,0.17950387,flight attendant_asian_27.png
1.0,33,Woman,99.99988,0.00012385781,asian,99.992645,0.0034851348,8.3206764e-08,0.0005540018,6.2012475e-08,0.0033102212,happy,0.00010083658,1.0344406e-08,0.011119287,99.58173,0.0002291289,0.039130375,0.36769718,flight attendant_asian_40.png
1.0,31,Woman,99.99974,0.00026505918,asian,99.99223,0.0062168227,5.4453103e-08,6.9016765e-05,1.12483825e-07,0.0014856111,happy,7.4874656e-08,1.6869321e-13,3.7997881e-07,98.71933,7.4215436e-06,0.014432535,1.2662371,flight attendant_asian_16.png
