face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,31,Woman,99.99989,0.00011302675,white,0.015979372,0.05571812,0.0026973784,82.98248,8.855944,8.087179,happy,1.895541e-07,4.0905257e-14,3.3868442e-08,98.916595,4.5037095e-06,0.00038290673,1.0830175,flight attendant_neutral_58.png
1.0,32,Woman,99.99786,0.0021352791,white,0.066418365,0.052849963,0.008616863,88.543816,3.7784023,7.549901,happy,0.0002803925,3.014519e-08,7.915923e-06,98.05164,0.005031137,0.00040228703,1.9426467,flight attendant_neutral_129.png
1.0,32,Woman,99.999954,4.365704e-05,white,0.3875274,0.3971247,0.09808849,74.67551,8.690469,15.751285,happy,2.9903754e-06,2.3849353e-10,5.1174734e-06,99.48209,7.287911e-05,0.0018067549,0.5160293,flight attendant_neutral_141.png
1.0,31,Woman,100.0,3.1775744e-06,white,0.00011075439,0.00080698845,6.022424e-06,97.19934,1.9653277,0.83440906,happy,4.207452e-07,1.1946412e-13,4.0932754e-11,99.87161,6.595395e-07,3.087309e-08,0.12839125,flight attendant_neutral_83.png
1.0,32,Woman,99.999985,1.1262341e-05,white,1.7068807,2.4906578,0.3705545,59.0093,15.893187,20.529423,happy,0.0019544219,2.6422563e-06,0.001590826,88.4679,0.04098598,0.06821932,11.419347,flight attendant_neutral_112.png
1.0,33,Woman,99.999985,1.3588268e-05,white,2.4715486,5.69253,0.7755312,31.521345,30.858065,28.680986,happy,2.412374,0.0043087006,0.7508728,54.913704,11.506269,3.4653916,26.947075,flight attendant_neutral_15.png
1.0,30,Woman,99.99311,0.006893686,latino hispanic,5.4028654,5.036297,2.1742535,29.200983,10.966323,47.219273,happy,1.5142937e-09,2.638828e-16,2.6359255e-12,99.88557,7.2132202e-09,2.742276e-06,0.11443409,flight attendant_neutral_22.png
1.0,30,Woman,99.99913,0.00087097805,white,0.0044979104,0.01173185,0.00026256018,92.69743,2.9851012,4.3009753,happy,0.027044244,6.1549855e-08,0.00067396136,85.48715,0.02711785,0.0019925616,14.456024,flight attendant_neutral_101.png
1.0,31,Woman,99.99949,0.0005137682,white,0.29969513,0.77288747,0.060796507,66.885284,16.212843,15.7684965,happy,0.0031677235,4.916599e-05,0.0023981708,96.116486,0.029298792,0.0015612711,3.8470306,flight attendant_neutral_16.png
1.0,30,Woman,99.99975,0.00024697662,white,0.007355886,0.007215503,0.00015385558,96.05833,2.033034,1.8939066,happy,4.870979e-06,2.3602e-10,0.0014496241,90.62511,0.00043608702,0.0738786,9.299124,flight attendant_neutral_25.png
1.0,31,Woman,100.0,1.583446e-07,white,0.017692853,0.027155507,0.0009024201,90.21041,3.450895,6.2929487,happy,0.40209046,0.0011537021,0.126909,65.76278,0.11354118,0.5166961,33.076828,flight attendant_neutral_88.png
1.0,31,Woman,100.0,5.5647465e-06,white,1.2065148,1.5561559,0.37652728,51.192253,16.115097,29.553452,happy,0.0053573437,0.002122435,0.02571255,88.09431,0.1550408,0.15749449,11.559961,flight attendant_neutral_62.png
1.0,31,Woman,99.99928,0.0007127741,white,4.5604043,0.6710012,0.14017184,59.309555,6.0896034,29.229265,happy,5.760874e-08,1.9788521e-14,4.7150177e-08,77.91094,2.3993232e-05,0.0025291324,22.086504,flight attendant_neutral_74.png
1.0,30,Woman,99.9995,0.0005063227,white,0.25311428,0.38643092,0.05945306,69.286194,11.68775,18.327063,happy,6.8268673e-06,4.1034177e-08,0.00012166918,97.57682,0.001957852,0.00066298456,2.4204397,flight attendant_neutral_117.png
1.0,31,Woman,99.99987,0.00013425162,white,0.14819053,0.46015593,0.10516402,74.71006,5.3121505,19.264277,happy,1.9599094e-16,5.008479e-28,1.4107176e-15,99.719124,4.9118285e-14,6.72369e-08,0.28086942,flight attendant_neutral_125.png
1.0,31,Woman,99.99966,0.0003411113,white,0.97751087,1.9356594,0.29838413,49.04769,16.554502,31.18626,happy,1.9311819e-16,7.695163e-27,1.0354383e-18,99.99383,7.7509254e-14,1.342587e-10,0.006174379,flight attendant_neutral_79.png
1.0,32,Woman,99.99964,0.00036001462,white,1.7591447,1.5446358,0.47868714,57.047153,13.370191,25.80019,happy,6.00117e-07,1.599223e-13,9.846732e-08,98.01544,1.6014976e-05,0.00065408676,1.9838893,flight attendant_neutral_0.png
1.0,31,Woman,99.999954,4.5266792e-05,white,0.3345124,0.40904874,0.0892787,61.863647,10.295869,27.007645,neutral,0.023914013,0.0001926927,0.05172582,46.09915,0.34756377,0.061045144,53.41641,flight attendant_neutral_92.png
1.0,30,Woman,99.99998,2.0950078e-05,white,1.4214952,0.06492101,0.014376499,89.12401,3.8077478,5.567458,happy,2.5227356e-09,1.6024764e-15,5.3443716e-09,98.47494,2.1404783e-06,1.8091695e-06,1.5250664,flight attendant_neutral_127.png
1.0,31,Woman,99.99979,0.00021902804,white,0.002007461,0.0016656026,6.82796e-05,98.02679,0.9394269,1.0300372,happy,0.040717423,0.00015222434,0.003543414,72.167244,0.16590187,0.22484572,27.397596,flight attendant_neutral_120.png
1.0,33,Woman,99.999985,1.6259522e-05,white,0.34923995,0.35749212,0.083733976,76.942085,8.310958,13.956494,happy,0.0009191758,1.2330072e-06,0.0007111922,93.88317,0.015322241,0.013817404,6.086055,flight attendant_neutral_149.png
1.0,31,Woman,99.99998,2.562841e-05,white,7.5733767,2.7772532,1.1107763,45.709167,13.94549,28.883938,happy,0.0009824503,1.0826567e-08,7.7345365e-05,53.474255,0.0058921273,1.4739115e-05,46.518784,flight attendant_neutral_80.png
1.0,30,Woman,99.99372,0.006285101,white,0.10082773,0.3906472,0.031837195,71.04107,14.593675,13.841948,happy,0.0033991197,0.0023143229,0.014467251,91.30188,0.067977384,0.0063661695,8.603601,flight attendant_neutral_41.png
1.0,31,Woman,99.993095,0.0068961903,white,2.589155,1.2675042,0.39961576,61.096622,14.609865,20.037241,happy,0.012714201,2.5367466e-08,8.469193e-05,97.36637,0.0021479311,0.0017099212,2.6169739,flight attendant_neutral_8.png
1.0,30,Woman,99.99858,0.0014147231,latino hispanic,2.108676,3.3085253,0.59834254,39.08087,11.690096,43.21349,happy,5.5786775e-09,7.498858e-17,4.8347e-12,95.39495,4.1182673e-07,2.9280081e-05,4.6050205,flight attendant_neutral_100.png
1.0,30,Woman,99.999954,4.9356713e-05,white,0.00027915047,0.00062811014,1.0243329e-05,98.31577,0.78240085,0.9009159,happy,0.0019266603,1.5438717e-07,0.0070790634,80.74759,0.027624218,0.049920727,19.165857,flight attendant_neutral_70.png
1.0,29,Woman,99.99987,0.00012956747,white,7.981384,2.186408,0.61497724,49.27895,12.544507,27.393774,happy,0.002122515,3.7376878e-07,4.254175e-05,58.295,0.04040952,0.021796381,41.640625,flight attendant_neutral_103.png
