face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,47,Man,0.21160047,99.7884,white,1.052125,2.304896,0.1465851,45.960457,33.62798,16.90796,neutral,1.9514132,3.378348e-13,3.2163558e-07,0.027992688,0.10964987,1.5983457e-07,97.910934,judge_indian_20.png
1.0,46,Man,0.0034902955,99.996506,indian,3.5687108,28.877966,3.338216,10.077683,27.794857,26.342577,neutral,0.0037963735,1.8677466e-11,0.00020909226,4.042727e-06,0.5355959,6.378166e-10,99.460396,judge_indian_26.png
1.0,46,Man,0.0012241984,99.99877,latino hispanic,2.116589,19.65589,3.0019367,13.111345,30.768072,31.346167,neutral,31.57757,0.00057875575,0.16772604,0.01314406,23.247763,0.02784209,44.96538,judge_indian_39.png
1.0,35,Man,0.007103755,99.9929,indian,0.06330284,89.744774,0.7768466,0.6978526,4.353165,4.364066,neutral,13.450615,5.4961597e-06,20.628008,22.033806,1.01156,0.6548056,42.2212,judge_indian_13.png
1.0,40,Man,1.6295565,98.37044,middle eastern,2.1563165,19.79644,2.3554072,12.569158,41.73973,21.382956,angry,78.11611,6.064305e-05,0.07463461,0.20712094,0.7435893,0.07506849,20.783417,judge_indian_29.png
1.0,39,Man,0.024970751,99.97503,middle eastern,0.086497374,21.308311,0.1082956,2.0184708,67.18679,9.291639,neutral,0.6274285,5.528438e-10,0.0005202768,2.424703e-05,0.990519,1.6638242e-10,98.38151,judge_indian_0.png
1.0,37,Man,0.027140008,99.97286,indian,0.6605006,79.33041,4.587162,1.451132,7.6513877,6.319405,neutral,18.679037,1.7829606e-07,0.1408567,3.6400042,5.6165094,0.008422315,71.91517,judge_indian_33.png
1.0,45,Man,0.011974578,99.98802,middle eastern,0.38690415,26.404726,0.9218761,4.778731,53.167683,14.340078,neutral,0.087394364,2.4232745e-07,0.00039296792,2.1751704,0.23682801,0.00023818213,97.49997,judge_indian_5.png
1.0,40,Man,0.00050348137,99.9995,middle eastern,3.7664745,15.128703,2.2648053,10.49436,50.836517,17.509138,neutral,15.195678,1.6604472e-06,0.13185638,0.002672002,4.286796,0.1540577,80.22894,judge_indian_45.png
1.0,32,Man,0.045191396,99.9548,latino hispanic,11.8938875,26.465988,8.569957,9.074998,8.217517,35.77765,neutral,4.956249,2.9441028e-06,0.08766155,0.025592966,8.638783,4.6650184e-05,86.291664,judge_indian_6.png
1.0,48,Man,37.01287,62.987125,indian,10.184889,41.315876,5.3841786,9.075284,11.353093,22.686682,neutral,0.000107131484,8.7322465e-15,3.774046e-08,1.1388414e-06,0.03640883,3.7618355e-12,99.963486,judge_indian_3.png
1.0,34,Man,0.069902204,99.9301,middle eastern,0.70388633,17.49695,1.5255442,9.287777,54.58255,16.4033,neutral,2.7847266,0.010951208,0.03114649,0.0069069187,1.4927684,0.0018422165,95.67166,judge_indian_23.png
1.0,43,Man,0.020457266,99.97955,indian,7.466331,33.19068,2.6536396,9.733245,24.633965,22.322134,neutral,3.4028337,0.00077178265,0.33071065,9.806863,15.634288,0.008894384,70.81564,judge_indian_15.png
1.0,34,Man,0.032738198,99.96726,indian,0.06259671,96.97554,0.4496486,0.083506785,0.26383355,2.164872,surprise,0.45957613,7.12337e-07,0.88575435,23.307281,2.6117933,48.55522,24.180378,judge_indian_31.png
1.0,42,Man,0.059169315,99.940834,middle eastern,8.825075,27.927568,3.9826195,9.8032255,32.735138,16.726381,neutral,0.94712293,2.9946168e-09,0.00093683327,0.00012329264,13.277362,9.50973e-08,85.77446,judge_indian_1.png
1.0,37,Man,0.023612794,99.97639,indian,1.7983894,59.853374,5.797542,4.0195885,11.887071,16.64404,angry,38.05818,1.46854084e-08,0.08180724,2.363913e-05,30.238611,2.1938038e-07,31.621378,judge_indian_4.png
1.0,47,Man,0.009619923,99.99038,middle eastern,1.9957676,18.732307,0.6638147,3.8468773,69.92911,4.832133,neutral,7.137162,0.18033218,0.61032766,0.0035017063,19.461264,0.00045659512,72.60696,judge_indian_24.png
1.0,50,Man,0.02160075,99.97841,indian,8.028492,41.433464,4.130068,8.290953,12.028907,26.088112,sad,15.146986,0.0006343974,0.4185396,0.003465706,43.07407,7.50511e-05,41.356224,judge_indian_38.png
