face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,29,Woman,99.9627,0.037298597,asian,99.98943,0.00866081,2.1717135e-08,7.266619e-05,1.0920102e-08,0.001835312,neutral,0.010933035,0.00020200206,0.10575496,3.3159127,0.43803117,0.0021872786,96.12698,nurse_asian_47.png
1.0,30,Woman,99.94206,0.05794264,asian,100.0,9.523454e-09,1.4424986e-17,1.1848621e-09,6.745945e-16,1.520451e-08,neutral,0.26695183,0.00010828486,0.048723944,2.0060925,1.755172,0.0005796792,95.92237,nurse_asian_13.png
1.0,27,Woman,99.76609,0.2339076,asian,99.9997,0.00019051842,2.5361345e-11,1.7780382e-06,8.38611e-12,0.00010953121,happy,2.1693964e-07,4.991372e-10,4.1297045e-07,97.98667,3.4718836e-05,0.00016971184,2.013125,nurse_asian_37.png
1.0,31,Woman,99.98287,0.017132405,asian,99.9953,0.0027666634,1.126251e-07,9.602238e-05,2.4694534e-08,0.0018444423,happy,5.689673e-05,2.0524618e-08,0.095117636,91.45897,0.004362565,0.0026990904,8.43879,nurse_asian_46.png
1.0,30,Woman,99.946335,0.053659715,asian,99.46279,0.18172286,0.0011438879,0.00829285,0.0001260392,0.3459321,happy,1.4770303e-05,7.1171563e-10,1.350375e-05,96.75482,0.009515734,0.0002604422,3.2353818,nurse_asian_27.png
1.0,31,Woman,99.83022,0.16978024,asian,99.99971,0.00016666067,7.235878e-11,6.908252e-07,1.8642914e-11,0.00011921327,neutral,0.16435096,0.015150238,2.6245887,0.46857223,5.729952,0.033722386,90.96366,nurse_asian_17.png
1.0,30,Woman,99.96095,0.039054193,asian,99.99019,0.007038624,2.8515721e-08,6.899345e-05,1.5982634e-08,0.0027017193,happy,0.0026110788,1.281045e-06,0.0007414611,55.667168,0.019845946,0.053677574,44.255955,nurse_asian_31.png
1.0,30,Woman,97.42106,2.5789442,asian,100.0,7.053223e-07,5.922592e-13,1.2214912e-07,3.3838295e-12,1.2215759e-06,neutral,0.5228872,0.03747897,0.13810772,0.07860144,7.151957,6.965574e-05,92.07089,nurse_asian_6.png
1.0,29,Woman,87.35205,12.6479435,asian,99.97526,0.013214831,1.6895206e-06,0.00060862524,1.0629279e-07,0.010922024,happy,0.07831863,4.771245e-06,0.19996476,70.82916,0.20456684,0.3893292,28.298653,nurse_asian_5.png
1.0,28,Woman,99.10284,0.8971708,asian,99.99993,4.2693897e-05,1.0457754e-10,9.218839e-07,6.827843e-12,2.785897e-05,happy,0.000538956,1.5394052e-09,0.00011328452,97.01168,4.1042505e-05,0.7632495,2.2243803,nurse_asian_1.png
