age_insightface,gender_insightface,image
26,1,nurse_indian_25.png
27,0,nurse_indian_7.png
25,0,nurse_indian_24.png
23,1,nurse_indian_5.png
29,0,nurse_indian_11.png
26,0,nurse_indian_9.png
28,0,nurse_indian_29.png
26,0,nurse_indian_12.png
30,0,nurse_indian_43.png
26,0,nurse_indian_45.png
24,0,nurse_indian_6.png
27,0,nurse_indian_38.png
22,1,nurse_indian_32.png
24,0,nurse_indian_4.png
21,0,nurse_indian_41.png
35,0,nurse_indian_8.png
24,0,nurse_indian_27.png
28,0,nurse_indian_17.png
26,0,nurse_indian_13.png
27,0,nurse_indian_35.png
25,0,nurse_indian_46.png
28,0,nurse_indian_34.png
23,0,nurse_indian_20.png
28,0,nurse_indian_1.png
22,0,nurse_indian_23.png
24,1,nurse_indian_10.png
25,0,nurse_indian_39.png
27,1,nurse_indian_18.png
25,1,nurse_indian_42.png
24,0,nurse_indian_36.png
27,1,nurse_indian_37.png
23,0,nurse_indian_14.png
25,0,nurse_indian_0.png
24,0,nurse_indian_44.png
22,1,nurse_indian_40.png
27,1,nurse_indian_3.png
25,0,nurse_indian_28.png
22,0,nurse_indian_49.png
21,0,nurse_indian_30.png
24,0,nurse_indian_2.png
26,0,nurse_indian_26.png
24,1,nurse_indian_22.png
26,1,nurse_indian_15.png
38,0,nurse_indian_47.png
26,1,nurse_indian_16.png
27,0,nurse_indian_31.png
29,1,nurse_indian_21.png
24,0,nurse_indian_33.png
23,1,nurse_indian_19.png
33,0,nurse_indian_48.png
