age_insightface,gender_insightface,image
49.0,0.0,nurse_middle aged_24.png
56.0,0.0,nurse_middle aged_35.png
61.0,1.0,nurse_middle aged_20.png
63.0,0.0,nurse_middle aged_3.png
57.0,0.0,nurse_middle aged_47.png
41.0,0.0,nurse_middle aged_25.png
47.0,0.0,nurse_middle aged_12.png
54.0,0.0,nurse_middle aged_26.png
34.0,0.0,nurse_middle aged_30.png
49.0,0.0,nurse_middle aged_5.png
50.0,0.0,nurse_middle aged_45.png
60.0,0.0,nurse_middle aged_0.png
50.0,0.0,nurse_middle aged_8.png
51.0,0.0,nurse_middle aged_19.png
40.0,0.0,nurse_middle aged_7.png
69.0,0.0,nurse_middle aged_40.png
35.0,0.0,nurse_middle aged_22.png
56.0,0.0,nurse_middle aged_11.png
70.0,0.0,nurse_middle aged_38.png
53.0,0.0,nurse_middle aged_10.png
61.0,0.0,nurse_middle aged_21.png
,,nurse_middle aged_32.png
62.0,0.0,nurse_middle aged_34.png
56.0,0.0,nurse_middle aged_23.png
51.0,0.0,nurse_middle aged_48.png
49.0,0.0,nurse_middle aged_49.png
53.0,0.0,nurse_middle aged_2.png
31.0,0.0,nurse_middle aged_18.png
25.0,0.0,nurse_middle aged_15.png
55.0,0.0,nurse_middle aged_42.png
61.0,0.0,nurse_middle aged_46.png
54.0,0.0,nurse_middle aged_16.png
54.0,0.0,nurse_middle aged_33.png
59.0,0.0,nurse_middle aged_41.png
41.0,0.0,nurse_middle aged_14.png
55.0,0.0,nurse_middle aged_43.png
58.0,0.0,nurse_middle aged_6.png
52.0,0.0,nurse_middle aged_9.png
53.0,0.0,nurse_middle aged_4.png
62.0,0.0,nurse_middle aged_17.png
67.0,0.0,nurse_middle aged_27.png
55.0,0.0,nurse_middle aged_37.png
30.0,0.0,nurse_middle aged_36.png
55.0,0.0,nurse_middle aged_39.png
41.0,0.0,nurse_middle aged_31.png
53.0,0.0,nurse_middle aged_1.png
66.0,0.0,nurse_middle aged_29.png
56.0,0.0,nurse_middle aged_44.png
53.0,0.0,nurse_middle aged_13.png
56.0,0.0,nurse_middle aged_28.png
