face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_28_face0.png,East Asian,Asian,Male,20-29,"[5.9659785e-04 2.1139587e-07 2.5056809e-04 9.6725184e-01 3.1840887e-02
 2.5904341e-05 3.3969634e-05]",[3.4854717e-03 3.2664495e-06 9.9639493e-01 1.1634160e-04],[9.9999887e-01 1.1372191e-06],"[8.3138460e-08 2.1152982e-05 5.9891250e-02 8.7088352e-01 6.8772048e-02
 4.2878097e-04 3.0016317e-06 1.3681853e-07 8.6742519e-10]","[(428, 275) (579, 426)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_11_face0.png,East Asian,Asian,Male,20-29,"[1.01252335e-04 1.07516009e-07 6.75792544e-05 9.67549682e-01
 3.22664529e-02 5.72486169e-06 9.20382536e-06]",[8.5633576e-05 1.3454279e-07 9.9986547e-01 4.8782869e-05],[9.9999976e-01 2.3447539e-07],"[1.4241829e-07 8.3125793e-05 1.3547753e-01 8.3065450e-01 3.3618838e-02
 1.6490763e-04 7.9204125e-07 9.1526957e-08 4.5217829e-10]","[(263, 202) (640, 578)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_37_face0.png,East Asian,Asian,Male,20-29,"[1.0243161e-04 4.9495231e-08 1.7105522e-04 9.5504022e-01 4.4643130e-02
 2.3883016e-05 1.9297631e-05]",[2.9299842e-04 2.7171953e-07 9.9939847e-01 3.0830121e-04],[1.0000000e+00 4.3128715e-08],"[8.1267819e-09 7.7467039e-06 3.4158129e-02 9.3093622e-01 3.4842420e-02
 5.5292567e-05 9.1622432e-08 3.4950023e-09 1.3175561e-11]","[(337, 189) (599, 450)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_45_face0.png,East Asian,Asian,Male,20-29,"[1.9121491e-05 2.1543606e-07 4.7405145e-05 9.5713907e-01 4.2761661e-02
 3.0443589e-05 2.0501627e-06]",[1.3341681e-05 3.1316142e-07 9.9985677e-01 1.2957858e-04],[9.9987483e-01 1.2514937e-04],"[4.6540245e-07 4.7921529e-04 2.0318584e-01 7.7371746e-01 2.2490950e-02
 1.2554000e-04 5.1314311e-07 5.0464426e-08 4.7716370e-10]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_44_face0.png,East Asian,Asian,Male,20-29,"[4.2791187e-05 3.9684267e-08 5.0385981e-05 9.6646851e-01 3.3416491e-02
 1.6322849e-05 5.5153992e-06]",[1.6502813e-04 6.1640952e-07 9.9947923e-01 3.5506496e-04],[9.9999690e-01 3.1096868e-06],"[7.6197267e-07 9.5280696e-04 2.3176102e-01 7.3432857e-01 3.2777026e-02
 1.7899682e-04 7.3336719e-07 4.7806584e-08 3.2575928e-10]","[(364, 382) (545, 564)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_10_face0.png,East Asian,Asian,Male,20-29,"[8.1395396e-05 4.0498257e-08 5.4260618e-05 9.7405177e-01 2.5791865e-02
 1.6647644e-05 4.0253944e-06]",[3.3913311e-04 6.8023445e-07 9.9948776e-01 1.7249973e-04],[0.998463   0.00153701],"[2.6416652e-07 1.6069823e-04 1.7602783e-01 8.0027539e-01 2.3365112e-02
 1.6972487e-04 9.3137669e-07 8.4378513e-08 9.2394126e-10]","[(389, 172) (702, 485)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_27_face0.png,East Asian,Asian,Male,20-29,"[4.0263185e-04 9.2305964e-07 1.2392303e-03 9.1310060e-01 8.5131064e-02
 8.2105420e-05 4.3395528e-05]",[3.0598388e-04 4.7702329e-06 9.9917179e-01 5.1744963e-04],[1.000000e+00 3.634639e-08],"[2.9150209e-07 1.5563019e-04 1.4036533e-01 7.9252625e-01 6.6460915e-02
 4.8842595e-04 2.9426367e-06 1.5650643e-07 7.3724221e-10]","[(358, 172) (670, 485)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_19_face0.png,East Asian,Asian,Male,20-29,"[2.8906530e-04 2.4243940e-07 8.3235861e-04 9.4377214e-01 5.5067517e-02
 2.5095716e-05 1.3697908e-05]",[6.8058795e-04 1.1583662e-06 9.9891478e-01 4.0346032e-04],[9.9999839e-01 1.5971714e-06],"[3.4564117e-08 3.3435430e-05 1.6577509e-01 8.0577070e-01 2.8271699e-02
 1.4849850e-04 6.0031022e-07 1.9424892e-08 1.2051589e-10]","[(407, 360) (624, 578)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_32_face1.png,East Asian,White,Female,10-19,"[0.15193123 0.00858658 0.15527554 0.39374655 0.25868383 0.01289488
 0.01888139]",[0.7700775  0.00090391 0.21157742 0.01744117],[0.020179   0.97982097],"[1.90629531e-03 2.25936323e-01 4.35177475e-01 3.25152308e-01
 1.11507885e-02 6.51172071e-04 2.04119606e-05 4.08608275e-06
 1.13368958e-06]","[(363, 241) (624, 503)]"
fairface/detected_faces/Stablexl1.0_office worker_asian/office worker_asian_7_face0.png,East Asian,Asian,Female,20-29,"[4.8304533e-05 3.9923009e-07 8.2539838e-05 9.4390732e-01 5.5932153e-02
 2.7415730e-05 1.8749630e-06]",[2.3886756e-05 3.4461252e-07 9.9995530e-01 2.0479516e-05],[0.20110689 0.79889315],"[2.4688910e-07 4.9028010e-04 2.0335679e-01 7.7812344e-01 1.7934475e-02
 9.4343239e-05 3.1336455e-07 3.0801313e-08 5.6556576e-10]","[(302, 354) (677, 730)]"
