face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_7_face0.png,White,White,Male,70+,"[0.3427448  0.00376421 0.04928907 0.13943529 0.11705031 0.00825654
 0.33945984]",[0.7884693  0.00131212 0.13829848 0.07192006],[9.995010e-01 4.990734e-04],"[1.79903111e-06 1.80314737e-06 4.67100654e-06 9.26000030e-06
 1.86007255e-05 1.19926815e-04 4.61094221e-03 1.71808153e-01
 8.23424876e-01]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_25_face0.png,White,White,Male,70+,"[0.3878015  0.00060022 0.19626401 0.00306897 0.00495941 0.02307136
 0.38423458]",[9.8730189e-01 2.2073427e-05 2.4629070e-03 1.0213051e-02],[0.98455817 0.01544184],"[6.6931957e-06 1.4566619e-05 3.8995197e-05 3.8622043e-06 1.2049613e-05
 1.0415665e-04 8.6530447e-03 2.9709333e-01 6.9407326e-01]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_8_face0.png,Middle Eastern,White,Male,70+,"[0.25921103 0.00070232 0.32998583 0.02190566 0.03084368 0.02111379
 0.3362378 ]",[7.30357170e-01 6.90580346e-04 1.08911194e-01 1.60041004e-01],[0.9827928  0.01720724],"[4.5505818e-08 2.2204280e-07 6.4884694e-07 1.6416242e-07 2.7124582e-07
 1.7812076e-06 2.7793218e-04 6.9737382e-02 9.2998159e-01]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_12_face0.png,White,White,Male,70+,"[0.45893222 0.00061554 0.16339013 0.00450436 0.01751265 0.02588427
 0.3291608 ]",[6.7313498e-01 3.5078599e-04 6.4628594e-02 2.6188564e-01],[0.89175487 0.10824515],"[1.1883883e-07 5.1972825e-07 1.2771171e-06 4.7652324e-07 6.7304956e-07
 3.4133643e-06 3.3629892e-04 4.9670022e-02 9.4998723e-01]","[(326, 172) (640, 485)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_3_face0.png,White,White,Male,70+,"[8.6402947e-01 1.1790772e-05 3.8529199e-03 1.7776502e-03 9.0111338e-04
 2.3389119e-04 1.2919320e-01]",[9.9691898e-01 1.8666968e-05 2.3577993e-03 7.0455263e-04],[0.9984891  0.00151094],"[1.1464825e-06 2.2478894e-06 5.5943401e-06 1.2570699e-06 2.3746443e-06
 2.2234488e-05 2.5134720e-03 2.0025273e-01 7.9719895e-01]","[(341, 185) (559, 403)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_10_face0.png,White,White,Male,70+,"[8.9519256e-01 6.8526286e-05 6.1036650e-02 7.2880215e-03 9.1131171e-03
 6.5686385e-04 2.6644163e-02]",[9.7765970e-01 1.1960362e-05 2.0356065e-02 1.9722315e-03],[0.9777953  0.02220463],"[2.0439401e-07 1.1672756e-06 4.0705550e-06 8.3567619e-07 1.6285131e-06
 1.0758815e-05 7.8079716e-04 9.0036407e-02 9.0916413e-01]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_4_face0.png,White,White,Male,70+,"[6.0281074e-01 9.4537405e-05 1.3262810e-01 2.5291925e-03 3.1699594e-03
 6.4138030e-03 2.5235376e-01]",[9.7914833e-01 2.9736257e-05 4.0298854e-03 1.6792037e-02],[0.87471426 0.12528573],"[1.3861278e-07 9.3087425e-07 3.6110889e-06 4.4141379e-07 8.7584255e-07
 6.8983295e-06 7.4277417e-04 7.1448348e-02 9.2779595e-01]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_6_face0.png,White,White,Male,70+,"[5.7682896e-01 4.5020276e-04 5.0768476e-02 3.3214213e-03 7.1528661e-03
 1.7107574e-02 3.4437057e-01]",[9.6746111e-01 5.3452692e-05 1.1921978e-02 2.0563440e-02],[0.9968904  0.00310961],"[5.37932965e-06 9.08311267e-06 3.38089230e-05 6.07250922e-06
 1.25467632e-05 1.12071975e-04 9.70017072e-03 3.64454359e-01
 6.25666499e-01]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_18_face0.png,White,White,Male,70+,"[8.1753546e-01 4.4633187e-05 2.7680105e-02 9.3690224e-04 6.8787951e-04
 3.4018295e-04 1.5277474e-01]",[9.9665672e-01 1.1068064e-05 1.4055384e-03 1.9266917e-03],[0.99391127 0.00608872],"[3.5453968e-07 6.6842426e-07 4.3519331e-06 1.4599993e-06 3.9064776e-06
 3.4397719e-05 4.2579556e-03 2.1309899e-01 7.8259790e-01]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_office worker_elderly/office worker_elderly_31_face0.png,White,White,Female,70+,"[8.0049163e-01 5.4920543e-05 1.6391611e-01 2.9877806e-03 3.1019116e-03
 1.3744719e-03 2.8073221e-02]",[9.5125121e-01 4.0792798e-05 2.6459992e-02 2.2248060e-02],[0.32234576 0.6776542 ],"[1.3740395e-06 1.2738520e-05 2.2633276e-05 1.1524958e-06 3.3298027e-06
 2.7164133e-05 1.9861485e-03 1.2442476e-01 8.7352067e-01]","[(428, 290) (579, 441)]"
