face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_49_face0.png,Indian,Indian,Male,40-49,"[3.1587810e-03 4.6219707e-02 9.2190884e-02 1.3252105e-05 2.7718904e-04
 8.2734257e-01 3.0797657e-02]",[1.0833575e-03 1.2758447e-02 1.8584228e-04 9.8597234e-01],[9.9998283e-01 1.7135028e-05],"[4.6785768e-05 7.9973834e-05 4.9757451e-04 1.5904166e-02 3.8087103e-01
 5.5578440e-01 4.6268504e-02 5.4035673e-04 7.1609161e-06]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_26_face0.png,Indian,Indian,Male,40-49,"[5.57752326e-04 1.55197177e-03 1.49660120e-02 4.29963166e-07
 1.48688005e-05 9.49636459e-01 3.32725495e-02]",[1.9893404e-04 1.0270779e-03 5.3801841e-06 9.9876863e-01],[9.9999863e-01 1.4079038e-06],"[1.1373082e-06 2.0857165e-06 8.4758714e-05 8.2407156e-03 3.7230217e-01
 5.9462619e-01 2.4583144e-02 1.5799310e-04 1.8336391e-06]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_44_face0.png,Indian,Indian,Male,40-49,"[7.7570774e-05 4.9158425e-05 4.5971950e-03 2.4571435e-07 2.1377467e-05
 9.8843825e-01 6.8162037e-03]",[6.2947795e-05 2.4785768e-04 4.5494118e-05 9.9964368e-01],[9.9999875e-01 1.2497110e-06],"[5.1351044e-06 2.8485907e-05 7.7603169e-04 1.7829251e-02 3.0271399e-01
 6.1270064e-01 6.5276064e-02 6.5917883e-04 1.1291914e-05]","[(358, 235) (670, 549)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_13_face0.png,Indian,Indian,Male,30-39,"[2.9831735e-06 5.7571808e-05 5.9334596e-04 3.4186712e-08 2.3342493e-06
 9.9926251e-01 8.1235630e-05]",[6.6055586e-06 8.9934103e-05 1.5764056e-06 9.9990183e-01],[9.9999976e-01 2.5712976e-07],"[7.8901377e-07 7.1119171e-06 4.7720090e-04 5.2617084e-02 7.0317209e-01
 2.4001229e-01 3.7049702e-03 8.4495332e-06 3.8149462e-08]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_29_face0.png,Indian,Indian,Male,30-39,"[3.6371892e-04 7.5206357e-05 8.6857267e-03 6.6987474e-07 2.5012027e-05
 9.1657847e-01 7.4271210e-02]",[1.7183727e-04 6.6499982e-05 7.5854703e-05 9.9968576e-01],[9.999836e-01 1.640905e-05],"[5.4698103e-06 6.0639501e-05 1.4478553e-03 6.9272242e-02 5.3140116e-01
 3.8557601e-01 1.2083474e-02 1.4995079e-04 3.2117318e-06]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_9_face0.png,Indian,Indian,Male,30-39,"[4.4142646e-03 8.6958529e-03 8.8805586e-02 2.5012209e-06 4.3296906e-05
 7.1368378e-01 1.8435478e-01]",[7.3175068e-04 9.2011709e-03 1.0456434e-04 9.8996252e-01],[9.9999905e-01 9.4400656e-07],"[5.7503818e-05 1.0604523e-04 8.0972858e-04 3.1113170e-02 5.6348580e-01
 3.8873726e-01 1.5506337e-02 1.8189070e-04 2.2262527e-06]","[(363, 216) (624, 477)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_11_face0.png,Indian,Indian,Male,30-39,"[5.1593026e-05 5.1742572e-05 3.5138298e-03 3.5302574e-07 1.1270385e-05
 9.9541324e-01 9.5799891e-04]",[5.38978551e-04 4.40481963e-04 1.04166385e-04 9.98916328e-01],[9.9999869e-01 1.2719921e-06],"[4.0611802e-05 5.4610003e-04 5.4226290e-03 6.4181454e-02 5.7876694e-01
 3.4253612e-01 8.4446007e-03 6.1030081e-05 4.5119145e-07]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_28_face0.png,Indian,Indian,Male,30-39,"[4.7374584e-04 1.7769892e-04 1.9391162e-02 1.2926588e-06 2.2386779e-05
 9.3793601e-01 4.1997764e-02]",[6.3818722e-04 6.8479526e-04 4.0552801e-05 9.9863648e-01],[9.999970e-01 2.997198e-06],"[2.1759199e-04 1.5202262e-03 4.4928701e-03 8.2391940e-02 5.8164132e-01
 3.2108027e-01 8.5622584e-03 9.2288894e-05 1.2821761e-06]","[(302, 354) (677, 730)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_31_face0.png,Indian,Indian,Male,20-29,"[6.2991289e-04 5.3102103e-05 8.3885435e-03 8.9291024e-07 1.7767814e-05
 9.8316449e-01 7.7453284e-03]",[2.9481997e-04 9.4986535e-05 2.5757390e-05 9.9958444e-01],[9.9970669e-01 2.9334443e-04],"[3.6513120e-05 9.5052703e-04 1.0869768e-02 5.0559616e-01 4.5668754e-01
 2.5737075e-02 1.1993843e-04 2.4082301e-06 7.4581266e-08]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stablexl1.0_police officer_indian/police officer_indian_45_face0.png,Indian,Indian,Male,30-39,"[1.6722397e-04 3.2180440e-04 6.9276071e-03 4.0679143e-07 3.1228370e-05
 9.8536450e-01 7.1872352e-03]",[3.8820645e-04 2.1384521e-03 9.6047763e-05 9.9737728e-01],[9.9998832e-01 1.1694186e-05],"[9.0431553e-07 3.7815282e-06 3.9493767e-04 5.0358530e-02 6.7163652e-01
 2.7144125e-01 6.0842587e-03 7.8309247e-05 1.4616537e-06]","[(302, 202) (677, 578)]"
