face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,28,Woman,99.997986,0.0020148768,white,0.92881215,0.90738446,0.39571154,62.018208,9.179143,26.570745,neutral,0.008880554,5.650764e-07,0.011620906,0.011343051,0.14793381,0.0019326645,99.81829,professional athlete_female_17.png
1.0,28,Woman,99.99956,0.00043972695,white,3.8003492e-07,1.3737103e-06,4.8916684e-09,99.874886,0.026673459,0.0984429,happy,5.4560843e-07,1.1468375e-15,1.9663532e-05,99.67366,1.2798885e-06,0.0010157253,0.32530564,professional athlete_female_48.png
1.0,30,Woman,99.99966,0.0003460164,white,0.09155352,0.104668334,0.013147927,72.76309,6.0696616,20.957884,neutral,0.0660972,4.9855567e-05,0.12744416,25.290262,3.1229525,0.030192636,71.363,professional athlete_female_35.png
1.0,30,Woman,99.99953,0.00047741097,white,0.2264868,0.28447908,0.023193773,75.48546,11.508291,12.472094,neutral,0.53233266,9.7579864e-08,0.03567787,0.0006748598,1.3952457,6.901619e-07,98.036064,professional athlete_female_14.png
1.0,30,Woman,99.898186,0.10180707,white,0.14551625,0.07673882,0.00717216,89.65946,3.1899025,6.9212046,neutral,0.002964036,4.2738892e-09,2.6264197e-06,0.30021963,0.21768941,3.10251e-06,99.479126,professional athlete_female_49.png
1.0,26,Woman,99.99241,0.0075878915,white,0.21565887,0.45747775,0.8980582,57.938946,8.824929,31.664934,neutral,0.0016980119,3.1597626e-08,0.00045692569,18.864918,1.6005557,0.0009811241,79.53139,professional athlete_female_25.png
1.0,27,Woman,99.999985,1.47614655e-05,white,0.05498278,0.062244445,0.008124577,83.448395,4.079165,12.34709,neutral,11.523406,3.0016352e-05,0.2016734,0.0017611963,10.547384,0.004921886,77.72082,professional athlete_female_33.png
1.0,30,Woman,99.99966,0.000347999,latino hispanic,2.425672,3.6047604,2.786273,33.00757,9.428382,48.74735,neutral,0.011142541,1.3293743e-11,7.7985336e-05,0.00051508134,0.044955492,1.2821326e-06,99.94331,professional athlete_female_19.png
1.0,29,Woman,99.99991,9.450596e-05,white,0.013621747,0.0127924085,0.00065137417,91.99706,2.0938375,5.8820343,neutral,0.01278476,1.9421825e-07,0.0036103877,0.43535826,0.06676916,0.0005969825,99.48088,professional athlete_female_13.png
1.0,30,Woman,99.999405,0.00059014076,white,0.29664826,0.39920938,0.0591229,66.51733,13.214278,19.513412,sad,23.69996,0.0003664704,5.522579,0.026096214,56.824528,0.2250527,13.701412,professional athlete_female_45.png
1.0,29,Woman,99.999405,0.0005973637,white,0.0068931347,0.008446063,0.00045932384,92.925674,2.2023118,4.8562126,neutral,0.0004969611,2.7698955e-14,0.0016852994,3.785923e-08,0.11945168,7.153623e-09,99.878365,professional athlete_female_30.png
1.0,29,Woman,99.99957,0.00043235268,white,0.0038428903,0.008703679,0.001094786,89.115265,2.8579528,8.013138,neutral,3.3547883,6.877861e-07,0.428558,0.01788281,3.322677,0.0007175075,92.875374,professional athlete_female_2.png
1.0,29,Woman,99.7696,0.23039651,white,0.48936906,0.9967299,0.29961738,62.67076,9.924069,25.61945,neutral,0.003695845,3.9518467e-12,0.0002700334,3.0840392e-06,0.06879111,4.4566386e-06,99.92724,professional athlete_female_29.png
1.0,26,Woman,99.999176,0.0008176008,white,2.1811275,2.256318,0.77703345,49.15349,15.942791,29.689234,happy,0.00577529,0.00034846066,0.0079136565,70.07375,0.67280483,0.007069463,29.232342,professional athlete_female_34.png
1.0,28,Woman,99.999954,4.6844583e-05,white,0.28753024,0.31083134,0.06248757,66.85846,5.851822,26.628862,neutral,0.13985206,5.4663783e-06,0.26646456,0.11412922,1.8173167,0.18137059,97.480865,professional athlete_female_43.png
1.0,28,Woman,99.99933,0.00067231414,white,5.849666e-06,1.9658848e-05,1.0046284e-07,99.67977,0.13515106,0.18505387,neutral,1.4531516,0.0014269442,7.7616243,0.029491467,8.024934,0.038840428,82.69053,professional athlete_female_0.png
1.0,28,Woman,99.8976,0.10240327,white,0.012020282,0.007867061,0.00034683925,95.71533,0.8352196,3.429217,angry,52.817772,0.26149997,2.6102846,0.0028768247,17.144688,0.0004733441,27.16241,professional athlete_female_28.png
1.0,30,Woman,99.99996,3.394704e-05,white,0.0007254274,0.001084479,4.1409898e-05,95.65564,0.88719445,3.4553115,neutral,0.0008463755,5.7778088e-08,0.086152844,2.2755735,0.033057507,0.017206134,97.587166,professional athlete_female_16.png
1.0,29,Woman,99.986206,0.013787177,white,0.9483813,1.3243053,0.54781014,50.906395,13.278198,32.994907,neutral,7.0298967,1.0599783e-05,1.424983,0.0058157155,11.725572,6.802153e-05,79.81365,professional athlete_female_41.png
1.0,25,Woman,99.993744,0.0062634535,white,0.17743362,0.45807946,0.05331218,61.746475,13.420249,24.144438,neutral,0.38879415,6.711414e-07,0.122040965,5.1739316,1.4174178,0.00013200211,92.89768,professional athlete_female_44.png
1.0,28,Woman,99.999916,8.2921884e-05,white,0.0002238841,0.00011217283,5.1063116e-06,96.61414,0.20145144,3.1840656,neutral,0.4183973,0.00071994175,6.631381,40.139164,2.2333813,2.3547096,48.222248,professional athlete_female_42.png
1.0,31,Woman,99.995926,0.004071492,white,0.004506596,0.018927556,0.0007154098,92.496254,3.3363495,4.143246,neutral,1.6478779,1.4805369e-07,0.03245136,0.00031568363,2.959011,0.0008983963,95.35945,professional athlete_female_3.png
1.0,30,Woman,99.921906,0.078096755,white,2.7096753,3.203367,1.3315917,43.608105,19.708693,29.438564,neutral,0.011283389,6.734869e-07,0.12499822,0.09148855,0.22682332,0.005725712,99.53968,professional athlete_female_7.png
1.0,30,Woman,99.9993,0.00070755923,white,0.23077784,0.75503814,0.21700011,62.517464,9.162394,27.11733,neutral,0.0009905425,2.381162e-13,0.00017838599,3.4294197e-07,0.2388181,5.7704284e-07,99.76002,professional athlete_female_39.png
1.0,29,Woman,99.99985,0.00015336093,white,1.2626871,1.8661566,1.0704384,45.00252,11.50257,39.295624,neutral,4.306826e-05,1.7028576e-12,0.00041090668,0.0002023714,0.004826909,0.0009489295,99.99357,professional athlete_female_21.png
1.0,30,Woman,99.99551,0.004496083,white,0.32140255,0.7289357,0.30663094,61.844,8.718397,28.080633,neutral,0.006281758,5.7814257e-13,0.00022170276,6.3916553e-07,0.10631509,5.564143e-06,99.88718,professional athlete_female_15.png
1.0,26,Woman,96.29324,3.7067614,white,1.156905,0.3777883,0.28274575,71.21419,8.286791,18.681578,neutral,31.143843,0.0025218085,0.96720195,0.0016482038,21.693708,0.001261078,46.18982,professional athlete_female_4.png
1.0,29,Woman,99.998566,0.0014267002,white,0.30347815,0.42889106,0.17487212,64.77313,6.894982,27.424639,neutral,0.74853045,2.5792127e-05,0.008682366,0.055545773,22.446983,5.6093086e-05,76.74017,professional athlete_female_38.png
