face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,32,Man,0.32319516,99.67681,black,3.732919e-16,2.6913634e-12,100.0,2.302858e-23,1.2624385e-25,9.864389e-16,neutral,4.5833093e-09,4.2566637e-22,1.159702e-13,0.03467793,9.242479e-06,9.2654584e-10,99.96531,psychologist_black_21.png
1.0,28,Man,0.06037911,99.93962,black,3.4065938e-11,3.8932562e-08,100.0,3.1107734e-15,5.5862074e-17,6.9599204e-10,neutral,9.936705e-06,9.096154e-27,4.9099867e-11,5.3052396e-10,1.5191775e-05,2.8596834e-12,99.99998,psychologist_black_16.png
1.0,31,Man,0.20906068,99.79094,black,4.847591e-16,6.473703e-13,100.0,3.351599e-22,2.8829284e-22,8.8403634e-15,happy,8.4430685,2.1686414e-07,0.11605495,79.8594,1.1962726,0.0031926832,10.382022,psychologist_black_2.png
1.0,34,Man,0.52062774,99.47937,black,9.924248e-09,2.9331256e-06,100.0,1.8069786e-12,1.0529123e-12,7.768552e-08,neutral,0.000806373,1.052103e-16,8.358111e-08,4.2279178e-05,0.014802086,4.8181407e-12,99.984344,psychologist_black_44.png
1.0,28,Man,0.21254706,99.78745,black,4.5151187e-12,3.3408987e-09,100.0,4.2325826e-16,8.287085e-17,5.2024465e-11,neutral,3.995735e-06,3.3178018e-22,2.0027976e-08,0.2551838,1.9473462e-05,7.4471235e-10,99.7448,psychologist_black_17.png
1.0,35,Man,0.5586562,99.441345,black,2.152343e-06,0.0009712771,99.99901,1.8275664e-09,8.7726354e-11,1.623002e-05,neutral,0.0027950485,4.4945254e-15,2.4971044e-07,9.272424e-06,0.0013929782,1.8486505e-06,99.995804,psychologist_black_8.png
1.0,33,Man,0.13018133,99.86981,black,7.6663935e-05,0.0011559136,99.99865,3.3194772e-07,4.410846e-08,0.00011017961,angry,93.27043,1.2565926e-06,0.06774027,1.6353883,0.018200228,0.17465939,4.8335795,psychologist_black_20.png
1.0,32,Man,0.52340955,99.476585,black,5.714929e-17,1.603349e-15,100.0,2.894274e-25,1.2696054e-25,2.441532e-17,neutral,0.3479875,8.501053e-07,0.0068096756,48.321636,1.2573216,0.0011549073,50.065086,psychologist_black_25.png
1.0,35,Man,0.44278213,99.55722,black,2.0582848e-07,0.0004053124,99.99958,2.4246566e-10,1.0574327e-11,1.2257233e-05,neutral,4.4161323e-05,1.7322515e-12,0.00050133164,0.039374247,0.010141207,0.5957514,99.35418,psychologist_black_15.png
1.0,29,Man,0.15636265,99.843636,black,9.329427e-20,5.4957297e-14,100.0,1.0460554e-25,1.26350264e-26,4.4683966e-18,neutral,0.0013890285,5.3780984e-18,2.854244e-07,1.2994099e-05,0.13711268,2.9037847e-11,99.86149,psychologist_black_6.png
1.0,33,Man,0.38856316,99.611435,black,1.3551131e-16,6.316432e-14,100.0,1.2084354e-22,1.2139838e-23,2.1383031e-15,neutral,0.0065856203,9.0626644e-13,8.52421e-06,2.3778628e-09,0.03187006,3.2607708e-09,99.961525,psychologist_black_39.png
1.0,28,Man,0.08250103,99.9175,black,8.8450064e-10,4.5314277e-07,100.0,3.295575e-14,3.0309098e-15,4.6486077e-09,neutral,0.761188,1.3390688e-14,0.00042928295,0.027779708,0.107782274,1.2205528e-07,99.10282,psychologist_black_33.png
1.0,24,Man,0.022328306,99.97768,black,5.0945793e-14,1.5124405e-10,100.0,1.3430948e-18,9.266087e-19,4.217811e-12,neutral,4.491952,1.8505426e-11,0.030549327,0.007707847,0.012869152,0.0002793497,95.45665,psychologist_black_40.png
1.0,31,Man,0.284742,99.715256,black,0.47286147,2.049697,96.875694,0.007764029,0.0028559815,0.5911233,neutral,22.38339,9.005899e-10,0.00021145692,0.12129866,1.651021,1.1521117e-05,75.84407,psychologist_black_32.png
1.0,32,Man,0.20323515,99.79677,black,3.8959263e-14,5.6108026e-12,100.0,1.0742571e-19,5.6802945e-21,1.09440404e-13,neutral,0.0007335336,3.099957e-14,0.00026964536,1.6872381e-06,0.006232967,0.0020095285,99.990746,psychologist_black_7.png
1.0,32,Woman,99.98746,0.012543317,black,0.3338528,1.7850323,97.644966,0.0013148496,0.00071455573,0.23411736,surprise,16.86372,0.033869818,0.013707578,0.6757697,0.005617537,82.40113,0.0061816783,psychologist_black_23.png
1.0,29,Man,0.025423907,99.97458,black,4.8223842e-14,1.054913e-11,100.0,5.476375e-20,5.904277e-20,1.1867414e-13,neutral,1.325157,8.6363765e-26,3.7305727e-13,9.834803,8.300975e-08,1.7111502e-13,88.840034,psychologist_black_10.png
1.0,25,Man,0.1352302,99.86478,black,0.0013552874,0.04371508,99.93603,4.3864053e-05,2.2149485e-05,0.018834481,sad,2.090792,2.053574e-06,0.21820875,0.66146374,70.71399,0.00048205158,26.315063,psychologist_black_19.png
1.0,31,Man,0.25452927,99.74547,black,6.110108e-20,4.513201e-15,100.0,2.3857808e-27,3.1021023e-28,7.017526e-19,angry,78.99303,1.370009e-07,0.00042614856,0.00031058665,10.190424,2.1091498e-06,10.815809,psychologist_black_4.png
1.0,30,Man,0.03573881,99.964264,black,6.721094e-05,0.012165037,99.98743,2.8487491e-07,7.621769e-08,0.0003432545,neutral,15.941536,1.0954961e-05,0.076892436,0.28859866,7.782903,0.00093308697,75.90913,psychologist_black_30.png
1.0,31,Man,0.21882236,99.78119,black,1.6213526e-10,8.780843e-07,100.0,2.240777e-15,7.7036376e-17,6.814221e-10,neutral,8.48926e-06,2.8001597e-25,1.0495722e-12,0.003012222,2.609288e-07,1.1795681e-09,99.99699,psychologist_black_37.png
1.0,30,Man,0.09233464,99.90766,black,3.1994076e-17,8.354608e-15,100.0,4.6887038e-25,1.29479574e-23,1.3254342e-17,angry,75.93033,3.0137392e-07,0.030992527,0.07222583,1.3751973,0.00026878025,22.590992,psychologist_black_5.png
1.0,35,Man,0.14089535,99.8591,black,2.9873638e-12,4.3300625e-09,100.0,3.2284393e-17,3.3680369e-18,4.478504e-12,happy,9.351541e-12,5.1525496e-22,6.0393585e-14,96.37806,2.6835632e-08,4.028281e-09,3.6219425,psychologist_black_22.png
1.0,32,Man,0.024896607,99.975105,black,1.0563999e-13,7.312178e-11,100.0,3.0240075e-20,1.3436821e-21,4.1459583e-14,neutral,0.0001633771,3.061368e-24,2.732863e-13,5.2492727e-05,1.446455e-05,3.52825e-11,99.99977,psychologist_black_36.png
1.0,32,Woman,99.50345,0.49655187,black,0.0003404524,0.02726257,99.97159,1.08924084e-07,2.7857835e-08,0.0008109634,neutral,0.35888186,7.260211e-07,0.33066174,24.87652,16.261131,2.448853e-05,58.17278,psychologist_black_38.png
1.0,28,Man,0.049040794,99.95096,black,7.218464e-14,4.2467913e-12,100.0,1.6242252e-21,5.401984e-23,1.9432754e-14,neutral,9.191305,1.7203806e-08,0.002417028,0.042886548,4.1152625,2.1826989e-07,86.64813,psychologist_black_0.png
