face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,33,Man,0.02906149,99.97093,indian,0.10119236,88.478355,9.976193,0.08871717,0.21520422,1.1403396,neutral,1.1104122,2.6858736e-11,8.498753e-06,2.1681285,0.02300065,4.182504e-06,96.69845,psychologist_indian_13.png
1.0,43,Man,0.04706142,99.952934,middle eastern,0.96871674,27.840025,0.9132456,6.16645,52.24057,11.870998,angry,46.474606,0.0011849402,1.4067112,0.0008772886,17.4193,0.18643059,34.51089,psychologist_indian_32.png
1.0,30,Man,0.33663517,99.66337,indian,4.2664657,58.136898,8.859565,3.4322171,4.396011,20.908842,neutral,0.70697314,6.155319e-14,0.0001183668,5.864571e-06,0.34485328,1.0941601e-07,98.94805,psychologist_indian_44.png
1.0,33,Man,0.036086947,99.96391,indian,0.097941235,92.54784,0.6166038,0.36926803,3.2338877,3.1344664,neutral,2.098868,1.7204703e-12,0.00017299708,0.00027807255,0.55880797,2.1205888e-06,97.34187,psychologist_indian_6.png
1.0,33,Man,0.0018409311,99.99816,indian,1.4014235e-05,99.8483,0.0013798585,0.0018782238,0.004773634,0.14364827,neutral,0.06751025,3.8963176e-11,0.00023024844,9.413621,0.07097971,3.8115122e-05,90.447624,psychologist_indian_10.png
1.0,48,Man,0.018705437,99.9813,indian,1.3400533,63.627056,4.201324,3.698765,17.767487,9.365317,neutral,34.110798,0.004952022,0.21655096,0.0024704433,3.3624485,0.00090456405,62.30188,psychologist_indian_15.png
1.0,33,Man,0.1621461,99.83785,latino hispanic,10.248455,21.017984,6.476645,15.761958,19.97826,26.5167,neutral,4.981567e-05,6.7686407e-18,2.378846e-05,0.059632245,0.00027810718,4.3118503e-06,99.94002,psychologist_indian_4.png
1.0,32,Man,0.6756666,99.324326,indian,0.43218997,88.31659,3.0918436,0.68440706,0.92312044,6.5518527,neutral,2.4946454,4.762452e-10,7.663417e-05,2.2874105,0.50500864,2.6281623e-05,94.71284,psychologist_indian_41.png
1.0,46,Man,0.49074548,99.509254,indian,0.113834195,89.53869,0.6439138,0.5077787,0.53102106,8.6647625,neutral,6.361516,1.1396087e-05,0.028874151,0.11218863,7.785534,7.714337e-05,85.7118,psychologist_indian_12.png
1.0,35,Man,4.043636e-05,99.99996,indian,1.34240045e-05,99.922005,0.0037638072,0.0015930795,0.048791647,0.02384223,happy,0.9212285,5.3992506e-14,6.0560647e-05,57.98873,0.0094790235,3.617263e-05,41.080463,psychologist_indian_14.png
1.0,35,Man,0.0070837457,99.99292,middle eastern,3.5335689,18.269716,2.363988,11.3872795,43.709347,20.736101,neutral,3.3503804,6.249961e-08,0.00062461605,0.00042640473,2.1094148,2.247701e-05,94.53913,psychologist_indian_1.png
1.0,42,Man,0.30157968,99.69842,middle eastern,4.262591,20.411188,4.544828,13.348338,29.895956,27.537104,neutral,0.13922246,0.0002653354,1.3943235,0.20999862,0.7184271,0.0001913218,97.537575,psychologist_indian_26.png
1.0,47,Man,0.19130981,99.80869,indian,1.0666666,61.758907,1.9667888,3.41684,16.576836,15.213966,neutral,0.26322418,0.0002493735,0.31479797,1.0866129,1.2273756,0.48247138,96.625275,psychologist_indian_18.png
1.0,45,Man,0.03059434,99.96941,indian,0.23011489,85.65373,0.4966142,0.87698245,2.882696,9.859863,neutral,0.086666696,3.0964305e-08,0.021505414,0.0518539,0.114067815,0.00091966987,99.72499,psychologist_indian_22.png
1.0,45,Man,0.020320017,99.97968,indian,0.0862274,96.40453,1.0309027,0.13907753,0.10152855,2.237731,neutral,0.09972487,1.6048696e-16,2.3870778e-06,0.003546728,0.014279608,8.304061e-07,99.88244,psychologist_indian_37.png
1.0,36,Man,0.004376967,99.99563,indian,0.09061501,58.65624,0.19164053,2.0117843,27.396702,11.653019,neutral,0.18057089,4.5441397e-09,0.0013433528,0.2790412,2.4617007,4.1446194e-05,97.0773,psychologist_indian_25.png
1.0,23,Man,0.8395426,99.16046,white,3.4799886,5.6424117,1.1377989,38.795704,30.671087,20.273008,neutral,36.49147,8.9147215e-07,2.9653332,0.29617777,8.70652,0.00043442304,51.54007,psychologist_indian_35.png
1.0,44,Man,0.013961385,99.98604,indian,3.308793,54.595196,3.2481003,4.327124,13.181418,21.339373,neutral,3.4284697,3.1527627e-08,0.0031227989,0.0051392163,1.4377767,1.6762204e-06,95.12549,psychologist_indian_20.png
1.0,46,Man,0.055665895,99.944336,indian,1.2726601,80.3045,2.4476569,2.5190456,4.287265,9.16887,neutral,2.7690037e-08,3.485594e-18,4.3052726e-08,0.188647,9.89702e-05,2.861964e-07,99.81126,psychologist_indian_16.png
1.0,39,Man,17.953632,82.04637,indian,0.36439794,79.66231,0.476985,0.8234907,1.1713877,17.501429,neutral,4.9075136,4.0541187e-07,0.7969374,41.90061,1.8620679,0.04494133,50.48793,psychologist_indian_43.png
1.0,39,Man,0.15772825,99.84228,indian,0.24334888,92.2097,2.5232089,0.3413629,0.4131029,4.269279,neutral,0.0016544416,1.451417e-12,1.9183275e-05,0.020204414,0.0010117393,0.00034322022,99.97677,psychologist_indian_34.png
1.0,30,Man,0.10471855,99.89527,latino hispanic,10.606434,13.322639,6.900667,19.33128,23.969145,25.869835,neutral,2.9315112,1.7536238e-05,0.00051392737,0.2532962,2.3327644,2.4626412e-05,94.48187,psychologist_indian_27.png
1.0,39,Man,0.22324827,99.77676,indian,1.9439558,62.735985,5.268985,4.462979,12.9675045,12.6205845,neutral,0.084525265,1.5533745e-08,0.0002750513,0.09685811,0.022063069,0.0002225909,99.79606,psychologist_indian_23.png
1.0,40,Man,0.0011997193,99.998795,indian,0.008573897,96.483086,0.25746986,0.15279824,1.6339322,1.4641489,neutral,0.08837938,7.371769e-16,1.2024301e-06,0.027195275,0.0020892313,5.5070448e-08,99.88233,psychologist_indian_9.png
1.0,28,Man,0.0006608799,99.999344,indian,0.008470682,97.837875,0.16678956,0.10797169,0.99386466,0.88501596,neutral,10.540971,2.8227228e-11,1.9683966e-06,0.0047366805,0.02097283,1.6881566e-07,89.43332,psychologist_indian_11.png
1.0,47,Man,0.02751752,99.97248,indian,4.820218,28.195858,6.528535,11.304634,21.41722,27.73354,neutral,0.12626103,8.0174104e-17,1.2408248e-06,0.0013377325,0.030382171,5.9198182e-08,99.84202,psychologist_indian_29.png
1.0,42,Man,0.06271543,99.93729,indian,2.635212,64.37818,2.8422413,2.9301095,5.914032,21.300224,angry,86.19839,9.567326e-08,0.0010774473,0.0018542698,1.6123779,9.733433e-06,12.186294,psychologist_indian_45.png
1.0,40,Man,0.042973068,99.95703,indian,0.13519983,94.23391,1.7456402,0.18747093,0.2559893,3.441794,sad,14.853183,2.4755045e-07,0.41981763,0.009301971,48.88835,0.0010666486,35.828285,psychologist_indian_8.png
1.0,36,Man,0.77378404,99.22621,indian,2.9287143,50.07054,2.4824696,10.5398655,14.527377,19.451029,neutral,3.526691,1.957108e-06,0.035156596,0.0013479986,2.565402,3.5276453e-06,93.8714,psychologist_indian_38.png
1.0,33,Man,0.0009956757,99.999,indian,0.013463997,97.48476,1.3751769,0.057013765,0.10797263,0.9616212,neutral,7.7288575,1.7267337e-11,0.00048257952,0.006018405,1.7304252,7.939167e-05,90.53414,psychologist_indian_17.png
1.0,42,Man,0.0006766159,99.99932,indian,0.0122758495,96.67669,0.21938452,0.13467394,0.8957122,2.0612454,neutral,1.8723888,4.6115088e-18,2.5112107e-07,3.0960398,0.00023848552,4.567366e-06,95.031334,psychologist_indian_36.png
1.0,34,Man,0.003971199,99.99603,indian,0.001164362,99.39651,0.22569399,0.009528523,0.013825733,0.35327294,neutral,8.961509,1.6053749e-06,0.1164014,0.002495946,6.486926,0.06285867,84.36981,psychologist_indian_24.png
1.0,29,Man,0.018347677,99.98166,latino hispanic,1.1845258,23.714249,1.0843278,12.086624,19.12228,42.807995,neutral,0.7268533,4.5925563e-10,0.00066858606,0.14114729,0.20844977,4.8069264e-08,98.92288,psychologist_indian_0.png
1.0,37,Man,0.027218627,99.97278,indian,2.0045214,49.159046,3.5330188,8.040877,17.39032,19.872221,neutral,7.587252e-05,3.8111791e-22,1.421613e-10,5.8897505e-09,2.7176206e-06,1.4155526e-09,99.999916,psychologist_indian_39.png
1.0,44,Man,0.007193219,99.99281,indian,1.6230453,70.62794,5.894822,3.7158008,9.160523,8.97787,neutral,10.919736,1.3167492e-09,0.0009644272,0.048576422,1.0935358,2.949688e-06,87.93719,psychologist_indian_5.png
1.0,38,Man,0.087118596,99.91289,indian,0.054947507,95.468575,2.3111336,0.16887835,0.10527834,1.8911866,neutral,0.33708432,1.7314715e-10,0.00088114303,0.010845416,0.34477758,9.4072704e-05,99.30631,psychologist_indian_21.png
1.0,33,Man,0.0007902553,99.999214,middle eastern,0.08302604,35.54091,0.35508794,2.6683218,51.83956,9.513097,neutral,0.5027798,2.266403e-10,1.0437352e-05,0.003614065,0.06957904,3.9160415e-08,99.42402,psychologist_indian_2.png
1.0,36,Man,0.008832019,99.991165,indian,0.7995713,67.86647,2.4266431,5.5768976,9.214709,14.115712,happy,6.4816976,2.3872183e-06,0.023815585,61.885357,0.04314585,2.1866148,29.379374,psychologist_indian_30.png
