face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_7_face0.png,Indian,Indian,Male,30-39,"[1.8569494e-04 7.1561249e-04 7.2078058e-03 1.6085187e-06 3.7149977e-05
 9.7873706e-01 1.3115105e-02]",[5.1031362e-05 2.1161349e-04 1.0404495e-05 9.9972695e-01],[9.9993628e-01 6.3690386e-05],"[1.8877480e-06 2.4220337e-05 9.8717865e-04 4.4173136e-02 5.8400434e-01
 3.5806996e-01 1.2642192e-02 9.5340918e-05 1.7059509e-06]","[(358, 235) (670, 549)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_38_face0.png,Indian,Indian,Male,50-59,"[5.5179964e-05 2.4256053e-04 6.0632997e-03 8.3181649e-06 5.7832507e-04
 9.9292815e-01 1.2415896e-04]",[5.2581610e-05 7.9225276e-05 7.8258963e-05 9.9978995e-01],[9.999903e-01 9.750951e-06],"[7.6463963e-05 9.2490483e-04 9.5030013e-03 8.1542395e-03 5.9383143e-02
 4.2651787e-01 4.7568655e-01 1.9562215e-02 1.9164300e-04]","[(235, 253) (884, 902)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_22_face0.png,Indian,Indian,Male,40-49,"[4.3001041e-06 5.8896723e-05 8.9604844e-04 1.7929638e-07 2.2425818e-05
 9.9879926e-01 2.1885686e-04]",[7.5503294e-06 2.3439249e-04 8.7147264e-06 9.9974936e-01],[9.9999630e-01 3.6517915e-06],"[2.8786060e-05 3.2702577e-04 7.9366593e-03 1.2107051e-02 1.2468532e-01
 5.8118075e-01 2.6652503e-01 7.1334429e-03 7.6023294e-05]","[(339, 202) (715, 578)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_35_face16.png,White,White,Male,50-59,"[4.7333574e-01 2.7526066e-02 5.2472752e-02 4.2507448e-04 8.3500979e-04
 4.3661468e-02 4.0174392e-01]",[0.91621155 0.05381101 0.00483944 0.02513796],[0.9899671  0.01003286],"[1.2150584e-05 3.1255408e-05 1.3178992e-03 4.6590485e-02 1.5498456e-01
 3.1113523e-01 3.9544863e-01 8.1700280e-02 8.7795127e-03]","[(339, 202) (715, 578)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_35_face8.png,Latino_Hispanic,Black,Female,20-29,"[0.16495991 0.19612554 0.29752776 0.00374348 0.01912375 0.27275246
 0.04576705]",[0.30833423 0.5430358  0.0419797  0.10665017],[0.01274743 0.9872526 ],"[1.9575076e-05 7.2839679e-03 2.5000271e-01 5.3893065e-01 1.5790355e-01
 4.1933034e-02 3.5957391e-03 2.9632729e-04 3.4493703e-05]","[(358, 235) (670, 549)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_40_face6.png,White,White,Male,40-49,"[0.46057573 0.00409424 0.29828656 0.00307724 0.00884449 0.10998899
 0.11513274]",[7.0476288e-01 8.5196103e-04 5.4494041e-04 2.9384026e-01],[0.99548334 0.00451665],"[5.7385496e-05 1.4493000e-04 1.0150896e-03 7.1778707e-03 1.0799985e-01
 4.5759314e-01 3.9334655e-01 3.0947834e-02 1.7172979e-03]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_10_face0.png,Indian,Indian,Male,30-39,"[6.5342407e-05 1.2923827e-04 9.3981781e-04 5.5312842e-07 8.8326906e-06
 9.9754846e-01 1.3078098e-03]",[1.9133948e-04 7.8550394e-04 1.5493811e-06 9.9902159e-01],[9.9998236e-01 1.7632488e-05],"[1.2045322e-06 2.7055708e-05 2.2242861e-03 1.3454244e-01 6.8139863e-01
 1.7746443e-01 4.3038973e-03 3.7417514e-05 6.4185554e-07]","[(363, 317) (581, 535)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_40_face0.png,White,White,Male,50-59,"[0.31214732 0.05367359 0.13281628 0.00284514 0.00710047 0.2806434
 0.21077389]",[0.7525712  0.02455988 0.00121971 0.22164918],[0.996775   0.00322507],"[1.5538379e-04 4.6527022e-04 3.6544011e-03 6.2931026e-03 1.5309014e-02
 8.0740117e-02 4.6554103e-01 3.7879938e-01 4.9042374e-02]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_35_face15.png,White,White,Female,40-49,"[0.49762663 0.04062045 0.08211664 0.00203687 0.0030727  0.07078038
 0.3037463 ]",[0.78371245 0.06300263 0.00448606 0.14879891],[0.3257583 0.6742417],"[1.2543713e-05 7.8499470e-05 2.6525795e-03 1.0752639e-01 2.7072370e-01
 3.3123443e-01 2.2535497e-01 5.6264892e-02 6.1519896e-03]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stablexl1.0_psychologist_indian/psychologist_indian_40_face4.png,White,White,Male,40-49,"[9.6496439e-01 4.2375847e-04 7.0666033e-03 4.4101445e-05 6.7675493e-05
 3.1947070e-03 2.4238786e-02]",[9.8254979e-01 5.0245196e-04 1.9593417e-05 1.6928233e-02],[9.990130e-01 9.869684e-04],"[1.4144101e-05 2.4584773e-05 3.5144371e-04 8.6436216e-03 7.9759642e-02
 4.7375578e-01 4.1164276e-01 2.4110628e-02 1.6973919e-03]","[(294, 168) (744, 619)]"
