face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,42,Man,0.0058604446,99.99413,white,0.043096066,0.18668596,0.011617388,77.3423,12.650416,9.765884,neutral,1.5232494,8.717394e-14,0.032928444,5.77535e-05,5.352611,1.11586004e-07,93.091156,psychologist_middle aged_0.png
1.0,41,Man,0.035899032,99.964096,white,0.1590202,0.71460307,0.028016407,72.47252,19.485477,7.14036,neutral,1.6196815,2.6657059e-05,0.1705277,0.003280595,3.505803,5.063455e-06,94.700676,psychologist_middle aged_47.png
1.0,49,Man,0.018085212,99.98192,middle eastern,3.109189,9.50911,1.6857654,28.706936,32.58296,24.40604,neutral,0.06613014,1.1399833e-09,0.0066599464,0.005331454,1.0758295,3.6823812e-06,98.84605,psychologist_middle aged_37.png
1.0,46,Man,0.023257194,99.976746,white,0.49481076,1.47143,0.15644631,62.90195,18.855713,16.11965,neutral,0.10308948,2.5001382e-08,0.0072678705,0.34722167,1.1986718,0.0005372934,98.34321,psychologist_middle aged_18.png
1.0,49,Man,0.013290627,99.98671,white,0.8871277,3.1702967,0.66349113,44.343384,24.403378,26.532328,neutral,0.001535984,2.15515e-25,2.5365166e-10,7.869886e-06,0.00014650654,4.5738224e-14,99.99831,psychologist_middle aged_34.png
1.0,39,Man,0.06641285,99.933586,white,0.21921454,0.37282163,0.03501203,69.46075,13.117318,16.794884,neutral,0.077252395,1.4761374e-12,1.9802956e-05,0.00030365892,0.4101654,3.3986036e-10,99.51226,psychologist_middle aged_6.png
1.0,49,Man,0.01136489,99.98864,white,0.11114768,1.428063,0.057830434,66.63893,22.365547,9.398482,neutral,1.925852,0.00014822085,0.012070041,0.016506225,1.6001923,3.3667056e-05,96.445206,psychologist_middle aged_7.png
1.0,47,Man,0.0148088755,99.98519,middle eastern,0.10192028,5.8021894,0.122426905,14.530561,68.45293,10.989973,neutral,19.289516,4.1323187e-06,0.026979055,0.39855638,5.1528068,0.0013450362,75.13079,psychologist_middle aged_19.png
1.0,45,Man,0.026707761,99.97329,white,0.181254,0.2914612,0.058810137,81.671295,8.385333,9.411842,neutral,4.4351287,4.752372e-09,0.08317484,0.0173524,11.260834,1.4917966e-05,84.20349,psychologist_middle aged_4.png
1.0,45,Man,0.009604607,99.990395,white,0.001389134,0.0463038,0.00081935927,88.68707,8.250627,3.013792,happy,1.43499,1.6325318e-06,0.0051667397,96.13431,0.37235594,4.8917395e-06,2.0531683,psychologist_middle aged_32.png
1.0,44,Man,0.093603134,99.9064,latino hispanic,3.479671,12.692502,3.0483088,17.20688,29.905287,33.667355,neutral,8.563951,1.0874341e-05,0.13606209,2.051986,1.0502248,0.00030439222,88.19746,psychologist_middle aged_26.png
1.0,41,Man,0.010801454,99.9892,middle eastern,3.8299744,16.728289,3.4686673,13.877808,38.558975,23.536295,neutral,42.094368,3.4798481e-06,0.0017482424,0.033515327,0.70448893,4.4882583e-07,57.165874,psychologist_middle aged_35.png
1.0,46,Man,0.0051239226,99.99487,white,0.0038609072,0.08412819,0.0010087187,92.49849,5.809621,1.60289,angry,98.54736,1.6268336e-09,0.008816374,0.56115365,0.2897494,2.2556389e-05,0.5928965,psychologist_middle aged_31.png
1.0,41,Man,0.024012214,99.97598,white,0.35545316,1.0262334,0.18894643,64.98724,17.252474,16.189657,neutral,4.0425982,7.7015684e-05,0.35956764,8.073005,3.209059,0.0037618196,84.311935,psychologist_middle aged_1.png
1.0,45,Man,0.048555046,99.95145,white,0.5606415,1.4823637,0.13103734,61.384842,22.088846,14.352269,neutral,23.261026,1.2742588e-16,0.00035958434,0.012644984,0.3056515,5.075903e-11,76.42032,psychologist_middle aged_44.png
1.0,47,Man,0.06250478,99.93749,white,0.51586956,1.932631,0.2019785,48.029408,25.489851,23.830267,happy,2.4247825,1.3605632e-09,0.00041324593,95.71771,0.14872791,2.5192337e-06,1.7083701,psychologist_middle aged_42.png
1.0,49,Man,0.020543737,99.979454,white,0.0019722364,0.0036930905,5.439083e-05,97.73811,1.0225629,1.2336047,neutral,3.6014376e-07,1.7914304e-15,1.8702625e-07,0.89996856,0.016677849,3.521968e-09,99.08336,psychologist_middle aged_15.png
1.0,45,Man,0.02118389,99.97882,white,0.0006440256,0.023418365,0.00035950454,90.6107,7.59016,1.7747201,sad,21.99704,8.231155e-07,0.011862634,2.7169166,46.90983,3.7206988e-05,28.36432,psychologist_middle aged_41.png
1.0,47,Man,0.016410345,99.98358,middle eastern,2.0107105,13.206796,2.3589785,17.567047,45.672195,19.184275,neutral,4.421845,4.2652032e-10,0.0003758136,29.805574,0.5829979,1.6027558e-06,65.18921,psychologist_middle aged_13.png
1.0,49,Man,0.0025748534,99.99742,white,0.05136582,0.41088876,0.024326703,72.98741,17.09886,9.427148,neutral,0.10795506,1.5379273e-08,0.3018806,0.27364776,1.5978394,0.001282541,97.71739,psychologist_middle aged_10.png
1.0,45,Man,0.015096677,99.98489,middle eastern,2.9622576,9.884602,2.742043,27.190384,34.73411,22.4866,angry,49.49172,1.1748009e-06,0.0057245847,0.15052405,1.4146959,3.4665456e-06,48.93732,psychologist_middle aged_11.png
1.0,47,Man,0.05957079,99.94043,white,1.8390949e-05,0.00011170968,9.358346e-07,98.88308,0.63384014,0.48293582,angry,96.49855,1.6195498e-08,0.05816005,0.37555307,0.67894363,1.1068126e-06,2.3887956,psychologist_middle aged_28.png
1.0,36,Man,0.023801396,99.9762,white,0.014282324,0.16384976,0.0029850372,69.99665,23.908476,5.913761,happy,0.027809814,8.467776e-12,1.5469622e-06,86.91389,4.4879213e-05,3.2419088e-08,13.058255,psychologist_middle aged_2.png
1.0,43,Man,0.046377145,99.95363,white,0.06558675,0.8309604,0.041589446,54.12007,33.85482,11.086973,neutral,8.268552e-06,4.0327573e-23,1.9083282e-09,5.4204076e-05,0.00026617915,4.495076e-15,99.999664,psychologist_middle aged_22.png
1.0,42,Man,0.011942171,99.98805,white,0.3086734,1.6695347,0.22172597,61.00452,25.50613,11.289422,angry,66.56014,8.728691e-08,0.009606658,32.82528,0.033135906,4.028864e-09,0.57183814,psychologist_middle aged_25.png
1.0,41,Woman,99.96247,0.037526827,white,0.00013895678,0.00014893035,6.555336e-06,99.20741,0.37985843,0.4124347,happy,0.06309449,7.830902e-07,0.05391695,99.42334,0.00019494939,0.41200414,0.04745127,psychologist_middle aged_43.png
1.0,44,Man,0.014325562,99.98567,middle eastern,0.6477527,14.304119,2.0185878,15.656536,43.887863,23.485144,angry,73.62299,0.008197369,1.6804577,0.017066577,20.560276,0.0008162167,4.110196,psychologist_middle aged_24.png
1.0,39,Man,0.0031017144,99.9969,white,0.20841083,1.1493928,0.099853225,59.82901,22.874146,15.839195,neutral,0.10685974,2.438136e-13,1.9864128e-05,0.00027341943,0.034042332,1.568567e-07,99.8588,psychologist_middle aged_39.png
1.0,46,Man,0.04655558,99.953445,white,0.058793403,0.3972896,0.023453379,68.84096,23.063097,7.6164117,neutral,1.4512743,1.2331917e-09,0.0004887437,0.047344588,0.46711856,3.524558e-06,98.033775,psychologist_middle aged_29.png
1.0,45,Man,0.13266526,99.86733,white,0.000621712,0.00673825,7.755877e-05,96.363525,2.4876013,1.1414388,angry,58.265697,1.9886142e-05,0.0047208806,0.43643528,4.661044,0.0008926654,36.63119,psychologist_middle aged_23.png
1.0,50,Man,0.011114374,99.98889,latino hispanic,6.1706214,9.368115,2.4237552,25.62432,20.046925,36.36627,neutral,34.11406,2.6085033e-06,0.02466759,2.4667983,2.2153976,0.00012398303,61.17895,psychologist_middle aged_17.png
1.0,44,Man,0.011569164,99.98843,middle eastern,0.38338012,10.830118,0.61036766,8.956622,57.90761,21.3119,neutral,0.0019032606,4.174468e-09,0.00010463282,10.181186,0.13724233,2.9149433e-05,89.67954,psychologist_middle aged_45.png
1.0,51,Man,0.006950455,99.99305,white,0.018903438,0.13365142,0.010115262,78.01969,18.476585,3.341052,neutral,2.4941286e-05,2.527717e-16,8.118408e-07,0.01934018,0.008148466,1.1398652e-10,99.97249,psychologist_middle aged_16.png
1.0,41,Man,0.16357563,99.836426,white,0.009828422,0.02633277,0.0013479142,90.75903,5.0706553,4.1328015,neutral,0.0011230068,4.6497253e-10,0.000103828206,0.045147035,0.05556144,1.6810251e-06,99.89806,psychologist_middle aged_12.png
1.0,44,Man,0.013866853,99.98614,middle eastern,0.96190673,11.888565,2.125283,17.164278,43.545265,24.314703,neutral,3.599611e-05,1.2951096e-13,3.162452e-08,22.006554,0.0044595795,1.1458558e-08,77.98895,psychologist_middle aged_46.png
1.0,48,Man,0.00955309,99.99045,middle eastern,0.0013138424,0.4976574,0.0038098446,36.6512,59.050594,3.7954233,neutral,5.807606,1.0232459e-08,0.0007812845,0.019166134,3.3637483,4.2560724e-09,90.8087,psychologist_middle aged_30.png
1.0,45,Man,0.04734642,99.95265,white,4.6645107,5.704258,1.5408742,37.66019,22.416603,28.013567,angry,67.9767,6.475141e-08,0.10318817,0.0023723515,13.279241,5.7640136e-07,18.6385,psychologist_middle aged_48.png
1.0,34,Man,0.00931089,99.99069,white,0.06944242,1.1181933,0.046633705,47.935337,42.603264,8.227135,neutral,0.28446653,1.5876309e-06,0.00024601602,4.748397,0.10115368,9.280241e-05,94.86565,psychologist_middle aged_49.png
1.0,49,Man,0.12167067,99.87833,white,0.3258696,1.9337325,0.15840176,49.668854,27.550308,20.362837,neutral,5.21234,6.202776e-07,0.0015182622,0.4516306,2.2512357,2.4535145e-08,92.083275,psychologist_middle aged_3.png
1.0,33,Man,0.12266075,99.87734,white,1.2680833,2.2893589,0.46185753,50.602554,27.726246,17.6519,neutral,30.143332,1.5668886e-05,0.75822026,4.0133753,1.0507994,0.24845204,63.7858,psychologist_middle aged_38.png
1.0,45,Man,0.012233243,99.98777,white,1.7350234,3.8127086,0.5592494,45.461693,21.211668,27.219656,neutral,0.23867293,1.4688993e-12,0.00014380015,0.016197085,0.040666744,3.2043616e-07,99.70432,psychologist_middle aged_33.png
1.0,33,Man,0.07089364,99.92911,white,0.0054973257,0.12827007,0.0014571715,72.34429,21.101463,6.4190197,angry,92.36931,4.2021586e-07,0.049635295,0.016667003,1.0950516,0.00017080826,6.4691772,psychologist_middle aged_14.png
1.0,44,Man,0.03728902,99.96271,white,0.87390804,1.6619254,0.16254136,61.158474,18.268637,17.874517,angry,94.08347,9.555309e-13,2.9157216e-06,0.14374748,0.023982476,1.0945997e-06,5.7487984,psychologist_middle aged_20.png
1.0,45,Man,0.010318297,99.98968,white,0.19682284,1.3763318,0.1417463,66.65096,19.004095,12.630039,neutral,4.901449,1.3131435e-10,0.00031699036,0.0009043564,0.5019435,3.1222592e-06,94.59538,psychologist_middle aged_8.png
1.0,43,Man,0.16473971,99.835266,white,0.03140142,0.17920807,0.0077793445,83.60271,10.537496,5.641402,disgust,24.800707,68.50419,1.9791281,0.12574172,3.7971356,0.015592958,0.77750254,psychologist_middle aged_40.png
1.0,48,Man,0.011274221,99.98872,white,0.52754754,1.1925502,0.18130253,55.36296,18.918648,23.816994,neutral,0.039511222,4.144631e-12,0.00043702713,0.010617055,0.24490497,1.4309142e-06,99.70454,psychologist_middle aged_36.png
1.0,36,Woman,99.99783,0.002174411,white,0.01786046,0.03769646,0.0046720253,85.316086,5.007359,9.616324,neutral,1.2706875,4.633715e-11,0.021257889,5.539765,0.07251145,0.056553032,93.03923,psychologist_middle aged_9.png
1.0,44,Man,0.017268594,99.982735,middle eastern,1.8601935,13.820069,2.8975213,16.426453,42.951687,22.044083,angry,87.245705,7.393431e-05,0.030116545,0.08207512,5.73452,4.9809183e-05,6.9074645,psychologist_middle aged_5.png
1.0,47,Man,0.063326694,99.93667,white,0.115594305,0.16242719,0.00691076,87.83805,6.887763,4.989249,neutral,17.343699,6.9549685e-08,0.002492833,0.22613803,2.6258857,7.809499e-05,79.80171,psychologist_middle aged_27.png
1.0,45,Man,0.009446299,99.990555,latino hispanic,1.8952712,11.655701,3.2686265,27.976492,26.795046,28.408869,neutral,0.94800043,1.0691239e-10,0.0014406702,0.026596839,0.20739374,9.187189e-06,98.81657,psychologist_middle aged_21.png
