face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_24_face0.png,Indian,Indian,Female,20-29,"[2.0080090e-05 1.8160792e-05 1.1568727e-03 3.3615274e-07 4.1940320e-06
 9.9836516e-01 4.3519167e-04]",[5.8014772e-05 8.8798997e-06 1.1831670e-05 9.9992126e-01],[9.923413e-04 9.990077e-01],"[6.5721778e-08 1.1781633e-03 2.6130497e-01 7.1438301e-01 2.2956794e-02
 1.7625460e-04 6.9111360e-07 1.6754381e-08 2.5689004e-10]","[(382, 401) (564, 582)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_17_face0.png,Indian,Indian,Female,20-29,"[1.8076080e-05 4.7366630e-06 5.1178876e-04 6.5243745e-07 3.8609446e-06
 9.9819952e-01 1.2612812e-03]",[9.8317811e-05 1.6839374e-05 1.0741909e-05 9.9987411e-01],[0.00136299 0.998637  ],"[8.8299217e-08 1.0130799e-03 1.2163931e-01 8.5437000e-01 2.2840830e-02
 1.3635172e-04 4.3348814e-07 8.4674934e-09 1.7539264e-10]","[(377, 202) (753, 578)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_27_face0.png,Indian,Indian,Female,20-29,"[2.3254546e-05 4.1290983e-05 1.0604237e-03 7.0197052e-07 9.1371876e-06
 9.9879575e-01 6.9391856e-05]",[7.9362770e-05 1.7747278e-05 6.9356574e-06 9.9989593e-01],[9.5334726e-05 9.9990463e-01],"[3.8731731e-08 4.3687533e-04 7.0135079e-02 8.8113439e-01 4.8013654e-02
 2.7806201e-04 1.9047960e-06 2.7590524e-08 3.1356098e-10]","[(437, 346) (619, 527)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_29_face0.png,Indian,Indian,Female,20-29,"[6.5810391e-06 7.6194698e-07 6.3875705e-05 1.5513203e-07 1.4309863e-06
 9.9991226e-01 1.4917755e-05]",[4.1966690e-05 2.1036840e-06 2.8215059e-06 9.9995315e-01],[7.854184e-04 9.992146e-01],"[3.5667412e-07 9.7590382e-04 8.3275996e-02 8.3560169e-01 7.8433231e-02
 1.6922163e-03 2.0150159e-05 4.3962635e-07 6.0958465e-09]","[(419, 309) (600, 491)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_20_face0.png,Indian,Indian,Female,20-29,"[2.4953174e-06 5.7865082e-06 2.8287308e-05 5.0257705e-07 5.1530833e-06
 9.9995172e-01 6.0183206e-06]",[2.7246374e-06 2.1958072e-06 9.7962684e-06 9.9998528e-01],[8.946264e-04 9.991054e-01],"[8.4417962e-08 8.1525132e-04 1.4494786e-01 8.3278471e-01 2.1350989e-02
 1.0081092e-04 3.1315255e-07 7.8689828e-09 1.1134369e-10]","[(363, 162) (624, 423)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_26_face0.png,Indian,Indian,Female,20-29,"[1.0976847e-03 5.5064345e-05 2.8444545e-03 1.9111576e-05 7.1196722e-05
 9.6181339e-01 3.4099087e-02]",[9.7546628e-04 2.1341964e-04 2.9299132e-05 9.9878174e-01],[0.00138496 0.998615  ],"[2.70216105e-07 1.12247704e-04 1.97900981e-02 8.39995146e-01
 1.35512441e-01 4.50216094e-03 8.50757933e-05 2.48006700e-06
 7.11559736e-08]","[(294, 235) (608, 549)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_21_face0.png,Indian,Indian,Female,20-29,"[2.5362880e-05 1.1886226e-05 7.5794128e-04 7.6658716e-07 6.0571670e-06
 9.9893582e-01 2.6217347e-04]",[9.3974937e-05 1.4022279e-05 1.3610704e-05 9.9987835e-01],[9.557839e-04 9.990442e-01],"[7.6108250e-08 4.6967092e-04 1.0422329e-01 8.3593529e-01 5.8478732e-02
 8.8669086e-04 6.0699081e-06 1.4803044e-07 2.9615899e-09]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_41_face0.png,Indian,Indian,Female,20-29,"[3.5706620e-05 1.3210342e-05 1.2596481e-03 1.1382657e-06 2.3030121e-05
 9.9853951e-01 1.2776747e-04]",[3.3857392e-05 4.9948612e-06 4.3634145e-06 9.9995679e-01],[6.051474e-04 9.993949e-01],"[6.6213289e-08 3.0489004e-04 5.3650621e-02 8.8424116e-01 6.0977295e-02
 8.2028628e-04 5.5292762e-06 1.4830344e-07 3.0115956e-09]","[(363, 216) (624, 477)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_0_face0.png,Indian,Indian,Female,20-29,"[2.4086268e-05 6.8290524e-06 5.7907501e-04 7.9740335e-07 7.8068288e-06
 9.9928737e-01 9.3998133e-05]",[5.3265347e-05 5.4531974e-06 6.1443561e-06 9.9993515e-01],[1.48058025e-05 9.99985218e-01],"[4.7051270e-09 5.9226768e-05 4.9378969e-02 9.1354579e-01 3.6583964e-02
 4.3012449e-04 1.8338268e-06 3.2895528e-08 4.7581405e-10]","[(451, 381) (577, 508)]"
fairface/detected_faces/Stablexl1.0_receptionist_indian/receptionist_indian_45_face0.png,Indian,Indian,Female,20-29,"[1.4327615e-05 9.7730654e-06 1.0001526e-04 2.4713066e-07 2.0619982e-06
 9.9985099e-01 2.2637107e-05]",[1.11336034e-04 6.14361561e-05 2.11746028e-05 9.99806046e-01],[2.5912099e-05 9.9997407e-01],"[3.1583255e-07 4.8304733e-04 5.1570609e-02 7.7487850e-01 1.7010503e-01
 2.9213300e-03 4.0308380e-05 8.6441815e-07 9.8360848e-09]","[(400, 199) (582, 381)]"
