face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,28,Man,0.002769893,99.99724,white,1.2736664,3.6171775,0.4466278,43.581493,26.691103,24.389938,happy,2.7323676e-06,1.0961866e-12,3.2934406e-09,99.9731,6.61497e-06,3.6794703e-09,0.026895246,receptionist_male_48.png
1.0,28,Man,0.0204535,99.97955,white,0.008528279,0.015536918,0.0007776717,92.71965,2.9524338,4.3030796,neutral,7.209628,0.0010968094,0.03674633,0.5611587,5.062489,0.033110607,87.09577,receptionist_male_30.png
1.0,31,Man,0.0067742863,99.993225,white,2.09784e-06,2.0392627e-05,2.9969502e-07,99.72332,0.1474838,0.12916766,neutral,0.8250341,1.8395529e-08,0.0014363726,1.347056,0.34317923,6.782314e-05,97.48322,receptionist_male_10.png
1.0,32,Man,0.094040975,99.90596,white,1.5533458,2.6258783,0.46487823,49.2936,26.091442,19.970863,neutral,0.72889453,8.156671e-09,0.0016829241,24.138208,0.19840616,0.0009096046,74.93189,receptionist_male_12.png
1.0,31,Man,0.022761688,99.977234,white,0.019623943,0.051199168,0.0038541283,86.566696,5.580022,7.778609,happy,5.2501807e-08,3.6230255e-13,1.2182863e-08,99.82789,4.2349064e-05,4.886649e-07,0.17207167,receptionist_male_1.png
1.0,27,Man,0.030249286,99.96976,white,0.5933427,0.9687953,0.15132852,60.338707,18.499052,19.44878,neutral,0.60953516,4.162834e-08,0.06753747,0.00981202,9.203004,0.030698024,90.079414,receptionist_male_18.png
1.0,32,Man,0.007829754,99.992165,white,1.4540939e-06,1.6377586e-05,3.3965614e-07,99.61006,0.19438612,0.1955335,happy,5.5769994e-13,5.844801e-28,3.986357e-20,99.99811,3.53131e-14,4.623729e-11,0.0018971933,receptionist_male_16.png
1.0,30,Man,0.047542613,99.95246,white,0.00076928554,0.002734018,0.00014099426,95.78421,1.6441385,2.5680065,happy,1.5882946e-11,6.8128847e-28,4.3163153e-21,100.0,6.715216e-15,4.543289e-16,1.9280428e-06,receptionist_male_6.png
1.0,30,Man,0.0008333466,99.99917,white,2.0233426e-06,2.6052621e-05,1.01825826e-07,99.6973,0.17877357,0.12389904,angry,46.81213,1.0575478e-07,0.0016869344,7.5700665,0.3389452,0.0006709464,45.276505,receptionist_male_36.png
1.0,29,Man,0.0028339226,99.99716,white,5.071059e-09,2.0523048e-08,6.09565e-11,99.9879,0.010014756,0.0020841025,happy,14.108504,7.2612584e-06,1.859934,83.99124,0.034003574,0.004374913,0.0019332082,receptionist_male_43.png
