face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,29,Man,0.0024991387,99.9975,indian,0.45204467,67.90358,5.5253277,2.2396164,8.905447,14.9739895,neutral,0.0005440273,8.786511e-15,1.2426986e-07,0.04231053,0.0028231964,1.20369945e-08,99.95432,scientist_indian_19.png
1.0,30,Man,0.0018615905,99.99814,indian,0.1543418,94.0444,0.6183996,0.1550133,0.2782143,4.7496343,neutral,0.00033545966,2.144701e-17,3.7453627e-09,0.001047081,0.0011208423,3.1094635e-10,99.9975,scientist_indian_12.png
1.0,27,Man,0.00058874727,99.99941,middle eastern,0.044663135,28.446411,0.28332102,3.0184748,57.427555,10.779573,neutral,7.27863,1.4869986e-13,0.00062128145,0.016657675,0.09028198,1.6644699e-06,92.61381,scientist_indian_0.png
1.0,27,Man,0.0006519973,99.999344,indian,0.18945247,91.98299,0.6657464,0.4864268,3.3074076,3.3679779,neutral,30.099314,5.5807845e-07,0.3356714,1.8135507,2.3777087,0.00019582843,65.37356,scientist_indian_48.png
1.0,30,Man,0.04161676,99.95838,indian,0.6773045,60.553734,3.0667517,3.3438683,18.535957,13.82238,neutral,3.922949,3.7272614e-14,8.916744e-07,2.694207,0.02628973,1.7119421e-06,93.35655,scientist_indian_41.png
1.0,37,Man,0.00715974,99.992836,indian,0.53120124,47.99894,0.68366075,3.0000384,29.30382,18.482344,neutral,1.8739119,0.0017832669,9.873001,3.6745949,8.499836,0.74219126,75.33469,scientist_indian_18.png
1.0,39,Man,0.6092883,99.39072,middle eastern,3.6169014,15.437654,1.5698777,14.446516,47.726917,17.202135,neutral,1.6324769,8.162212e-18,3.1142278e-08,0.06873768,0.0026309013,2.4271401e-08,98.29616,scientist_indian_27.png
1.0,39,Man,0.11826381,99.88174,indian,0.07236051,98.5025,0.25642756,0.18107872,0.2777597,0.7098824,neutral,3.5373867,9.074655e-09,0.00020455632,0.0151576605,0.7740824,0.0014753838,95.67169,scientist_indian_28.png
1.0,32,Man,0.000641073,99.99936,indian,0.14840882,44.611862,0.5330902,2.0516593,41.282166,11.372816,neutral,0.4152189,4.972284e-10,5.4711025e-05,0.009284772,0.32073516,1.6854244e-07,99.25471,scientist_indian_20.png
1.0,46,Man,0.77883595,99.22117,white,5.924045,18.827686,4.0341134,24.572947,23.092022,23.549175,neutral,30.616013,3.5230935e-13,7.188237e-05,0.0057027754,0.13499376,5.498303e-07,69.24322,scientist_indian_49.png
