face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,50,Man,0.054045364,99.94595,middle eastern,0.027230347,0.6626729,0.01391531,44.637848,48.57423,6.0840964,angry,82.07389,0.005182133,1.0423564,0.1213785,9.355869,0.00903993,7.3922944,scientist_middle aged_32.png
1.0,44,Man,0.013899921,99.9861,white,0.11988872,0.7364555,0.04316702,66.55997,24.104416,8.436112,neutral,0.48969886,6.9230865e-09,4.6949035e-06,0.033002354,0.19686949,5.991717e-09,99.280426,scientist_middle aged_25.png
1.0,42,Man,0.10041527,99.89958,latino hispanic,1.8940125,7.4622436,1.9330356,27.836077,29.574682,31.299952,angry,43.115616,2.4229923e-05,0.58203393,0.43432355,28.785965,0.002639755,27.079401,scientist_middle aged_26.png
1.0,46,Man,0.0028476496,99.997154,white,0.7083315,3.1029418,0.42097172,41.131565,40.553192,14.082996,neutral,47.63642,2.9574228e-06,0.16818787,0.6307854,0.5402553,0.00016280856,51.024185,scientist_middle aged_3.png
1.0,48,Man,0.010214624,99.989784,middle eastern,0.097338006,3.3990998,0.095888376,22.075726,64.58728,9.744667,happy,0.44284123,1.03772294e-07,4.9586986e-05,68.65518,0.016985059,0.00052317913,30.88442,scientist_middle aged_29.png
1.0,43,Man,0.010116562,99.989876,middle eastern,1.0866313,5.7202344,1.3492352,36.494705,39.71485,15.634341,neutral,0.5822889,3.0806852e-08,0.001979672,0.015093266,0.42675456,5.8821684e-06,98.97387,scientist_middle aged_47.png
1.0,43,Man,0.14501433,99.85499,white,0.12760907,0.123540185,0.028121037,84.76708,3.9254103,11.028237,angry,94.26996,0.00973823,0.060958304,2.673891,0.50958765,0.01100999,2.4648612,scientist_middle aged_42.png
1.0,36,Man,0.010121368,99.989876,white,0.15222764,0.5712095,0.06155661,56.856068,21.572226,20.786716,happy,0.032965645,0.0034102458,0.013261124,49.900433,0.87510276,0.0027957454,49.17204,scientist_middle aged_46.png
1.0,34,Man,0.105378054,99.89462,middle eastern,0.6680163,5.757345,0.6525181,27.024378,51.39297,14.504775,neutral,29.051184,1.3231203e-06,0.001187771,0.21728528,2.1884642,2.3696171e-05,68.541855,scientist_middle aged_5.png
1.0,48,Man,0.07779581,99.9222,white,1.2605692,2.7699053,0.5297483,48.445366,23.830519,23.163889,neutral,2.0068445,1.669559e-07,0.06719363,0.0011756545,10.139242,1.9410575e-06,87.785545,scientist_middle aged_37.png
1.0,35,Man,0.04254157,99.95746,middle eastern,0.11090522,2.2848084,0.10644236,39.179058,42.24148,16.077309,angry,87.377266,9.5365544e-07,0.22613233,0.05548443,0.33375916,0.5395335,11.467812,scientist_middle aged_30.png
1.0,36,Man,0.026081782,99.97392,middle eastern,1.2872945,11.014932,2.623366,19.029154,37.455044,28.590218,neutral,30.605364,6.831386e-06,0.017754398,0.041777954,20.755465,1.9691772e-06,48.57963,scientist_middle aged_1.png
1.0,42,Man,0.004936899,99.99506,middle eastern,4.9880915,17.102219,3.0998874,15.949908,33.586067,25.273823,neutral,0.3211028,9.993051e-08,0.0036106962,0.19995631,0.19111897,0.0014617972,99.282745,scientist_middle aged_7.png
1.0,47,Man,0.10202691,99.89797,white,1.4213321,3.4630919,0.7260164,44.23332,27.780523,22.375721,happy,0.001138912,6.352887e-16,1.591573e-10,99.60744,7.544879e-07,2.8563443e-10,0.39142564,scientist_middle aged_13.png
1.0,45,Man,0.013924731,99.98608,middle eastern,0.6358554,13.498839,1.0604125,8.223974,69.13938,7.4415402,neutral,32.53645,0.00078822696,0.047070507,0.038150184,2.7946835,0.00028834934,64.58257,scientist_middle aged_40.png
1.0,39,Man,0.1991632,99.80084,white,0.00017446149,0.0008826985,1.1601768e-05,99.00866,0.5330034,0.45727202,neutral,11.355322,6.146952e-08,0.05664793,0.0023405,5.6064925,7.4830736e-05,82.979126,scientist_middle aged_48.png
1.0,53,Man,0.05150727,99.94849,white,4.1195197e-08,7.219633e-08,2.0967476e-10,99.99473,0.0041517452,0.0011192712,neutral,1.0706675,1.10789266e-07,0.14527905,4.550094,4.371023,0.0001514708,89.86279,scientist_middle aged_9.png
1.0,43,Man,0.035145003,99.96486,white,0.00033290146,0.0024536,2.2794313e-05,96.554184,2.00289,1.4401191,angry,83.07686,5.4535344e-06,0.35199907,0.059495267,12.491366,0.00023376108,4.0200434,scientist_middle aged_31.png
1.0,50,Man,0.0067167142,99.993286,white,0.2860521,1.7151234,0.08967715,61.4416,27.361494,9.106052,angry,41.216892,5.6539143e-08,0.20829031,0.03133193,21.539658,6.938373e-05,37.003754,scientist_middle aged_28.png
1.0,48,Man,0.0023157315,99.99769,middle eastern,1.8417131,20.073555,2.1701324,10.725608,35.881912,29.30708,angry,84.01291,3.830391e-12,2.401724e-05,11.512141,0.005553782,4.5536117e-06,4.469369,scientist_middle aged_17.png
1.0,39,Man,0.0024352858,99.99757,middle eastern,1.7566662,8.677139,1.3610858,23.558142,40.503845,24.143118,neutral,6.7531567,0.001534689,0.292388,3.6105475,4.2329593,0.02553966,85.08388,scientist_middle aged_14.png
1.0,40,Man,0.027945515,99.97205,latino hispanic,4.762457,8.840049,2.5956542,29.161598,25.039627,29.600616,neutral,28.969753,2.1895472e-07,0.03139068,0.0017935378,2.6568172,5.0482042e-05,68.340195,scientist_middle aged_35.png
