face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,29,Woman,99.67494,0.32505485,white,0.068992026,0.35241076,0.051295564,60.818726,13.424592,25.283987,angry,69.31972,0.023104545,2.7506313,5.0928607,2.1030383,1.791718,18.918938,software engineer_female_39.png
1.0,29,Woman,99.663216,0.33678737,white,1.7122941,1.6826432,0.552326,46.22671,15.95326,33.872765,neutral,1.6283394e-12,7.05572e-27,4.136069e-14,0.0045946473,8.5948255e-07,1.899621e-14,99.99541,software engineer_female_27.png
1.0,30,Woman,99.99991,9.3716146e-05,white,0.008167612,0.017683296,0.0004315424,91.7435,2.5140224,5.7162023,neutral,1.3339264e-05,6.160873e-10,0.0017173147,4.783445,0.012096003,0.0037824458,95.198944,software engineer_female_40.png
1.0,31,Woman,100.0,4.432433e-06,white,0.007195502,0.006168811,0.00048467168,92.069885,1.9688048,5.947467,happy,1.515824e-05,1.3222429e-10,2.050812e-05,72.901115,0.02101546,1.4762817e-06,27.077835,software engineer_female_10.png
1.0,29,Woman,99.992775,0.007228274,white,0.014830381,0.02543147,0.0019621565,86.40427,3.8728957,9.68062,happy,3.0998555e-07,1.3411817e-10,7.0686297e-09,99.95852,0.0036353136,5.190565e-08,0.03784652,software engineer_female_14.png
1.0,32,Woman,88.42614,11.573868,white,6.609986,6.3085027,2.9307988,31.92902,23.126036,29.095655,neutral,0.6412073,3.5073163e-11,0.07178123,0.00011605807,2.9863603,0.002650741,96.29788,software engineer_female_17.png
1.0,31,Woman,99.99888,0.0011251922,white,0.0654982,0.25606743,0.02874973,70.334755,13.120714,16.194218,happy,2.3574055e-06,2.8657013e-10,1.5275376e-06,98.25838,0.00030643123,6.0205097e-05,1.7412567,software engineer_female_46.png
1.0,27,Woman,99.99988,0.00011505831,white,1.8604476e-05,6.791904e-05,1.5506532e-06,98.85981,0.28528485,0.8548132,surprise,0.0058501232,0.029167145,30.694988,1.3358728,0.002582748,67.87123,0.06030239,software engineer_female_25.png
1.0,30,Woman,99.999405,0.00059312326,white,0.0036726044,0.018020887,0.0013542102,81.13454,4.194503,14.647905,neutral,0.24709529,2.7302815e-07,0.064509936,0.03173049,5.232387,0.0015914692,94.42268,software engineer_female_15.png
1.0,30,Woman,99.358505,0.6414969,white,0.04113204,0.09620976,0.008190827,79.72328,8.278905,11.852288,happy,0.22789179,0.045041252,0.06797356,84.85452,4.7464776,0.004881394,10.053214,software engineer_female_35.png
