face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,29,Man,0.014244015,99.985756,white,0.001095214,0.004927667,0.00022849384,97.26504,1.2325878,1.4961224,neutral,0.68826646,7.6861755e-12,6.237978e-05,15.005453,0.0021670898,1.5141028e-06,84.304054,software engineer_male_40.png
1.0,27,Man,0.14617725,99.85383,white,8.256957e-06,4.0108454e-05,5.346486e-07,99.70356,0.10520003,0.19118753,neutral,0.06866749,4.228975e-09,0.0030336326,0.012984316,0.21467105,9.68816e-06,99.70064,software engineer_male_28.png
1.0,25,Man,0.11977382,99.88023,white,1.3319591e-10,1.2834032e-09,1.208236e-12,99.99786,0.0009356729,0.0012024562,neutral,0.935684,2.107941e-07,0.010197056,0.006570667,0.2752804,0.00024885498,98.77202,software engineer_male_16.png
1.0,26,Man,0.026948016,99.97305,white,0.0949904,0.7405093,0.054261327,56.56302,26.518135,16.02908,happy,8.557606e-12,1.5096006e-30,1.5512852e-19,99.99808,1.8128992e-12,3.2905843e-16,0.0019196166,software engineer_male_22.png
1.0,31,Man,0.011858562,99.98814,white,0.0024135346,0.03540342,0.00078124466,85.77198,11.220074,2.969351,neutral,20.128895,3.4680365e-09,0.00057763647,31.80762,0.4141228,1.3870401e-06,47.648792,software engineer_male_19.png
1.0,32,Man,0.16904876,99.83095,white,0.092791334,0.20534706,0.015650619,85.53477,8.881205,5.2702346,happy,2.0200503e-06,3.899384e-20,1.9287045e-09,97.11406,4.760095e-06,3.470081e-10,2.8859305,software engineer_male_26.png
1.0,28,Man,0.004685756,99.995316,white,0.043807272,0.48133758,0.03327232,61.95685,25.422045,12.06269,fear,39.085545,5.8338766e-05,40.937344,0.66954243,0.3868211,0.05574329,18.864952,software engineer_male_30.png
1.0,31,Man,0.04031338,99.95969,white,0.03598481,0.38404867,0.014538067,63.877735,27.395575,8.292124,angry,63.841743,5.3189575e-05,1.4627886,4.4794197,1.7920003,0.019866634,28.404125,software engineer_male_4.png
1.0,29,Man,0.0006771549,99.99932,white,7.080095e-08,7.27477e-07,2.7787077e-09,99.971565,0.023038423,0.0054011466,happy,0.017590178,4.5034304e-07,0.008106106,99.82956,0.049699504,3.8888047e-06,0.09503666,software engineer_male_43.png
1.0,31,Man,0.011481224,99.98852,white,0.00051512284,0.0081972685,0.00014114352,95.398636,3.4060318,1.1864814,happy,2.7376452e-06,1.9615755e-23,6.1923745e-15,99.99173,3.0791444e-10,2.3977748e-10,0.0082767755,software engineer_male_44.png
1.0,28,Man,0.040530905,99.95947,white,0.50715965,0.7015393,0.12865208,60.297073,10.764628,27.600946,neutral,0.20932375,3.6341184e-08,0.07762394,0.0007494613,1.8668537,0.009728899,97.835724,software engineer_male_15.png
1.0,32,Man,0.04592764,99.95408,white,0.42272067,2.105611,0.20252205,53.530823,27.849535,15.888792,happy,0.0012376846,1.6340437e-06,0.002848558,72.513725,0.77568066,0.0025336083,26.703978,software engineer_male_17.png
1.0,27,Man,0.027843472,99.97216,white,0.0003776607,0.0024227065,7.639902e-05,98.2051,0.98668176,0.8053404,neutral,0.0010755438,1.4716337e-13,2.6785488e-05,3.403198e-06,0.09634724,6.7788414e-10,99.90255,software engineer_male_39.png
1.0,29,Man,0.00936443,99.99063,white,1.0163184e-09,3.0800216e-08,8.7595535e-11,99.98939,0.007050042,0.003563015,neutral,9.089577e-06,3.2076002e-18,4.0729297e-08,0.00029296934,0.03267661,7.623102e-13,99.967026,software engineer_male_9.png
1.0,31,Man,0.0033751898,99.99663,white,0.012795584,0.025574882,0.001414287,91.480736,3.9221609,4.5573254,neutral,8.991118,3.311025e-05,0.2640122,7.5322766,1.3770438,0.1477008,81.68782,software engineer_male_49.png
1.0,30,Man,0.0001550996,99.99985,white,0.010782617,0.0050982707,0.00031243503,97.43504,1.2162162,1.3325471,neutral,22.791458,0.00097225176,12.900792,0.029838035,31.945185,0.019032924,32.31273,software engineer_male_42.png
1.0,29,Man,0.003731701,99.99627,white,0.03816363,0.16689213,0.01226586,82.13678,9.407648,8.238253,neutral,0.028843172,2.8989266e-14,1.9160593e-06,0.004165752,0.012903944,2.8975476e-08,99.95408,software engineer_male_18.png
1.0,30,Man,0.017676804,99.98233,white,0.41926625,2.0937264,0.48485643,46.35842,25.23954,25.404192,neutral,1.5036305,1.3977591e-09,0.051146913,0.0099151395,0.9310656,0.000472637,97.50377,software engineer_male_33.png
1.0,31,Man,0.029354073,99.97064,latino hispanic,8.687022,14.200741,4.0482597,18.967686,22.278103,31.818188,happy,0.0037504646,1.3927949e-07,0.0019315333,72.00883,1.2683147,3.260381e-05,26.717148,software engineer_male_0.png
