face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_57_face0.png,Middle Eastern,White,Male,40-49,"[2.8287920e-01 3.4126671e-04 5.4379903e-02 2.3867008e-04 3.4062195e-04
 4.6495236e-03 6.5717083e-01]",[9.8385400e-01 3.5187928e-04 3.9628898e-03 1.1831259e-02],[9.9961483e-01 3.8516737e-04],"[1.2990605e-04 1.9527040e-04 1.1249753e-03 3.2115757e-02 4.1631955e-01
 5.1972973e-01 2.9651511e-02 7.0990459e-04 2.3355242e-05]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_14_face0.png,Latino_Hispanic,White,Male,40-49,"[3.1380248e-01 2.3670264e-03 6.4784253e-01 2.0905079e-04 3.2888152e-04
 2.1679657e-02 1.3770375e-02]",[9.0874708e-01 8.7204948e-03 4.8493152e-04 8.2047455e-02],[9.994148e-01 5.851927e-04],"[1.6362097e-05 2.1743275e-04 2.1722555e-02 3.2871857e-02 1.5072422e-01
 3.9248285e-01 3.8698748e-01 1.4762449e-02 2.1488778e-04]","[(385, 339) (602, 556)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_128_face0.png,Latino_Hispanic,White,Male,30-39,"[0.20958805 0.004867   0.7253152  0.00199931 0.00718027 0.00898463
 0.04206552]",[0.9365491  0.00246982 0.00390262 0.05707851],[0.9985246  0.00147538],"[8.01123133e-06 1.54808164e-03 1.34041220e-01 1.19714275e-01
 3.63008857e-01 2.89853096e-01 8.79515111e-02 3.75534804e-03
 1.19548342e-04]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_62_face0.png,White,White,Male,30-39,"[9.1834199e-01 3.2363113e-04 4.2772427e-02 1.2702841e-04 3.0146196e-04
 1.8864236e-03 3.6247034e-02]",[9.9613512e-01 3.4052209e-04 8.5157261e-04 2.6728234e-03],[9.9986434e-01 1.3570461e-04],"[6.23196456e-07 1.13329243e-05 5.49477001e-04 9.84206572e-02
 7.86975443e-01 1.12898394e-01 1.13955501e-03 4.40522081e-06
 8.68276331e-08]","[(337, 241) (599, 503)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_144_face0.png,White,White,Male,40-49,"[8.18217456e-01 3.44800646e-05 4.32372242e-02 1.39897065e-05
 2.88392330e-05 1.90169143e-03 1.36566281e-01]",[9.7624630e-01 9.9467032e-04 1.1316535e-04 2.2645885e-02],[9.9999815e-01 1.8405184e-06],"[1.4641853e-06 1.8155540e-06 1.8196100e-04 7.7440678e-03 3.3189902e-01
 6.2642479e-01 3.3551529e-02 1.9447380e-04 8.7585136e-07]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_63_face0.png,Latino_Hispanic,White,Male,30-39,"[0.18156755 0.00116093 0.5967974  0.00080403 0.00356513 0.01412706
 0.20197791]",[0.81969476 0.0023432  0.00221415 0.17574795],[0.9866353  0.01336465],"[3.3176414e-07 7.9599777e-06 7.2010970e-03 1.9425018e-01 5.3418136e-01
 2.3396754e-01 2.8696315e-02 1.6330535e-03 6.2116800e-05]","[(263, 240) (640, 615)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_141_face1.png,White,White,Male,30-39,"[8.7723047e-01 3.9563139e-04 2.7426876e-02 6.0198293e-03 5.9459978e-03
 2.8771302e-04 8.2693405e-02]",[9.8808765e-01 1.2018948e-04 1.0858080e-02 9.3414338e-04],[0.82700676 0.1729932 ],"[3.0774111e-06 1.9961153e-05 1.5756795e-03 1.7317156e-01 5.5214936e-01
 2.2591187e-01 4.1293617e-02 5.2691158e-03 6.0566852e-04]","[(235, 186) (884, 835)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_145_face0.png,White,White,Male,40-49,"[8.9859593e-01 3.1535787e-05 7.5556315e-02 4.7275590e-04 4.8725185e-04
 2.4199563e-03 2.2436310e-02]",[9.8648888e-01 1.7592036e-04 3.6925060e-04 1.2965969e-02],[9.999692e-01 3.081335e-05],"[7.9035335e-06 1.5701280e-05 5.3487264e-04 1.8421683e-02 3.3569691e-01
 6.0023177e-01 4.4732492e-02 3.5613807e-04 2.5401650e-06]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_8_face0.png,White,White,Male,50-59,"[8.4093851e-01 2.0114700e-05 8.7973597e-03 3.0327983e-05 6.6358880e-05
 3.9048388e-04 1.4975686e-01]",[9.7818673e-01 3.9695442e-04 1.0919664e-03 2.0324301e-02],[9.9974573e-01 2.5432586e-04],"[3.8077605e-06 3.8304511e-06 1.5541087e-04 6.8031432e-04 1.5736878e-02
 2.0117354e-01 6.4700323e-01 1.3119960e-01 4.0433914e-03]","[(358, 203) (670, 517)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_41_face0.png,White,White,Male,40-49,"[9.84705806e-01 3.32683499e-06 6.78493001e-04 7.11075409e-05
 1.27717925e-04 1.13104565e-04 1.43003967e-02]",[9.9819207e-01 7.6263677e-05 2.5482840e-04 1.4768497e-03],[9.9999857e-01 1.3781465e-06],"[5.3687404e-07 1.2069879e-06 9.3752853e-05 7.5658248e-03 2.2855034e-01
 7.0001179e-01 6.2989213e-02 7.7855901e-04 8.7531353e-06]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_45_face0.png,White,White,Male,40-49,"[9.4818425e-01 2.8235195e-06 9.4801681e-03 1.9511132e-05 8.8582019e-05
 1.0615198e-03 4.1163083e-02]",[9.9626392e-01 3.3658700e-05 1.6846269e-04 3.5338711e-03],[9.999954e-01 4.560097e-06],"[1.1240718e-07 3.6227706e-07 1.1980510e-04 2.1558600e-02 4.1870955e-01
 5.4466242e-01 1.4882012e-02 6.6488101e-05 6.2443706e-07]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_137_face0.png,Latino_Hispanic,White,Male,30-39,"[2.1405745e-01 4.9149483e-03 6.1337841e-01 6.0027296e-04 4.3958253e-03
 7.5206622e-03 1.5513229e-01]",[9.6451294e-01 9.3552913e-04 3.8706567e-03 3.0680915e-02],[0.97588575 0.02411428],"[1.42916599e-06 4.33838468e-05 9.60328057e-03 1.19611181e-01
 4.09451813e-01 3.47801447e-01 1.06138244e-01 7.06936978e-03
 2.79732689e-04]","[(70, 382) (252, 564)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_132_face0.png,White,White,Male,40-49,"[8.1662631e-01 9.1711903e-04 9.2360564e-02 1.1076647e-04 2.3535908e-04
 2.8420392e-02 6.1329518e-02]",[5.3238267e-01 4.6813469e-03 3.4242138e-04 4.6259347e-01],[9.9999851e-01 1.4475228e-06],"[1.86145064e-06 6.34308981e-06 2.71518657e-04 1.40873585e-02
 3.99647683e-01 5.53862870e-01 3.19131203e-02 2.07276491e-04
 1.97147597e-06]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_116_face0.png,White,White,Male,30-39,"[9.8520762e-01 9.5105236e-07 5.5210601e-04 5.3801969e-06 1.0197106e-05
 3.6765272e-05 1.4186905e-02]",[9.9856907e-01 9.8750301e-05 4.9722086e-05 1.2824126e-03],[9.9985576e-01 1.4430162e-04],"[6.4018735e-07 4.1516714e-06 1.7565282e-04 3.3266589e-02 5.5032563e-01
 4.0807369e-01 8.1141293e-03 3.7895214e-05 1.5370425e-06]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_133_face0.png,White,White,Male,40-49,"[9.68215466e-01 7.85641589e-07 7.23785022e-04 5.94485573e-06
 1.36711205e-05 1.17582400e-04 3.09227481e-02]",[9.8756927e-01 3.0704468e-05 5.6174216e-05 1.2343852e-02],[9.9997544e-01 2.4526362e-05],"[3.1712224e-07 1.7740601e-06 3.2255473e-04 2.0268222e-02 2.7741000e-01
 6.5247816e-01 4.9014602e-02 4.9383263e-04 1.0559849e-05]","[(202, 305) (654, 756)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_19_face0.png,Middle Eastern,White,Male,40-49,"[2.1429501e-01 3.6047844e-05 1.1036309e-02 3.1768152e-05 1.0039568e-04
 1.8913167e-03 7.7260917e-01]",[9.7869831e-01 4.5467423e-05 6.1298348e-04 2.0643188e-02],[9.9999565e-01 4.3359851e-06],"[1.0637328e-06 1.6595865e-06 4.5927103e-05 7.2457115e-03 2.8078410e-01
 6.5512818e-01 5.6403354e-02 3.8515174e-04 4.7593749e-06]","[(339, 279) (715, 654)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_81_face0.png,White,White,Male,40-49,"[9.6112114e-01 1.5967766e-05 2.0204741e-03 2.2971813e-05 6.4418491e-05
 1.6794804e-03 3.5075646e-02]",[9.2683852e-01 2.4824950e-03 5.2320503e-04 7.0155844e-02],[9.9975806e-01 2.4198077e-04],"[2.0641055e-06 9.9393492e-06 1.7319254e-04 1.2450788e-02 3.6153060e-01
 5.9651428e-01 2.9126028e-02 1.8887309e-04 4.2673346e-06]","[(400, 254) (582, 436)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_71_face0.png,White,White,Male,30-39,"[9.3258607e-01 1.9199315e-05 8.1288256e-03 1.3574219e-04 1.5721888e-04
 2.0392095e-03 5.6933641e-02]",[9.9220514e-01 3.5933179e-05 9.1397829e-05 7.6674996e-03],[9.9977070e-01 2.2929271e-04],"[1.8823735e-05 3.8093480e-05 1.0170669e-03 1.1533496e-01 6.6760719e-01
 2.1209200e-01 3.8441049e-03 4.6465633e-05 1.3199941e-06]","[(72, 84) (334, 344)]"
fairface/detected_faces/Stablexl1.0_surgeon_neutral/surgeon_neutral_33_face0.png,White,White,Male,30-39,"[5.82200885e-01 1.51852757e-04 1.02094814e-01 3.96296353e-04
 6.28229405e-04 3.60975638e-02 2.78430402e-01]",[9.5387363e-01 5.2543049e-04 7.8059215e-04 4.4820368e-02],[9.996593e-01 3.406782e-04],"[1.6479667e-05 5.8587055e-05 1.3143462e-03 1.3658893e-01 6.3563901e-01
 2.2035864e-01 5.9498185e-03 7.1879149e-05 2.3004748e-06]","[(628, 110) (889, 371)]"
