face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_20_face0.png,White,White,Male,50-59,"[9.9270856e-01 3.5962867e-06 7.8568561e-04 2.4273077e-05 1.8874734e-05
 7.4001000e-05 6.3849315e-03]",[9.9548244e-01 3.8535698e-05 9.8601549e-06 4.4691050e-03],[9.9999261e-01 7.4548147e-06],"[4.8332558e-06 4.5543961e-06 6.3177555e-05 3.9554390e-04 1.6360035e-02
 2.9224050e-01 6.5309191e-01 3.7106127e-02 7.3335017e-04]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_38_face0.png,White,White,Female,50-59,"[8.4533137e-01 6.2519946e-04 1.4150906e-01 3.8623781e-04 3.1731732e-04
 3.7944249e-03 8.0364337e-03]",[9.8943871e-01 3.5300717e-04 1.3707549e-04 1.0071263e-02],[0.00361082 0.99638915],"[1.87824735e-05 1.13034534e-04 7.92891777e-04 8.55092716e-04
 7.94502813e-03 1.15172796e-01 5.24955392e-01 3.30973744e-01
 1.91731993e-02]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_13_face0.png,White,White,Male,50-59,"[9.7513872e-01 2.1754986e-05 1.6239809e-02 1.7127485e-04 2.1527184e-04
 2.8312195e-03 5.3819139e-03]",[9.7811311e-01 2.4834886e-04 3.0960492e-04 2.1328920e-02],[9.9998033e-01 1.9659967e-05],"[1.9610476e-05 3.1836258e-05 3.4718146e-04 1.8166797e-04 3.2243875e-03
 1.0251620e-01 8.3930564e-01 5.3959072e-02 4.1432653e-04]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_15_face0.png,White,White,Male,50-59,"[9.9783486e-01 3.7156972e-06 2.3221434e-04 1.5865323e-06 2.5070328e-06
 6.8232126e-05 1.8568429e-03]",[9.9124289e-01 6.6476467e-05 8.0709244e-05 8.6099068e-03],[9.9997854e-01 2.1423188e-05],"[2.8664127e-07 4.6014117e-07 3.5287740e-05 1.7299722e-03 4.7517661e-02
 3.7817201e-01 5.5368346e-01 1.8290758e-02 5.7001197e-04]","[(390, 295) (651, 556)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_45_face0.png,White,White,Male,50-59,"[9.8322636e-01 4.1022926e-05 6.7987461e-03 2.0789853e-06 5.2725386e-06
 5.8613217e-04 9.3403794e-03]",[9.8941863e-01 3.6641944e-05 5.8272661e-05 1.0486370e-02],[9.9999636e-01 3.6804013e-06],"[1.5889534e-06 1.6184518e-06 6.3251267e-05 2.1137389e-04 9.2717092e-03
 2.1436784e-01 7.3422873e-01 4.1510448e-02 3.4347680e-04]","[(339, 279) (715, 654)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_12_face0.png,White,White,Female,40-49,"[9.5249903e-01 1.9074849e-05 3.8203958e-02 1.4267693e-04 1.5508814e-04
 7.3465926e-04 8.2454700e-03]",[9.9803513e-01 1.1286084e-05 8.4808176e-05 1.8687646e-03],[2.7309772e-05 9.9997270e-01],"[1.53431671e-07 5.21409447e-06 6.59803860e-04 4.48837392e-02
 3.08839619e-01 5.19676864e-01 1.19862765e-01 5.92649356e-03
 1.45510712e-04]","[(235, 121) (884, 770)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_2_face0.png,White,White,Male,50-59,"[9.1689235e-01 4.6329750e-04 7.0708558e-02 2.5224625e-04 3.3499204e-04
 4.6502552e-03 6.6983197e-03]",[9.5652652e-01 8.7484419e-03 3.4623366e-04 3.4378778e-02],[9.9999964e-01 3.4966698e-07],"[1.35103455e-05 1.04413348e-05 1.57671340e-04 5.91155258e-04
 1.94052495e-02 2.83750743e-01 6.57830775e-01 3.81155163e-02
 1.24968938e-04]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_18_face0.png,White,White,Male,50-59,"[9.9607342e-01 1.6014788e-05 2.5805496e-03 1.0716718e-05 8.6595155e-06
 1.0590329e-04 1.2048028e-03]",[9.9265832e-01 2.8923645e-05 2.1461412e-04 7.0981001e-03],[9.9997520e-01 2.4743884e-05],"[2.42119222e-06 3.92410357e-06 1.13194845e-04 5.76227088e-04
 1.80710368e-02 3.11132878e-01 6.52807832e-01 1.70968678e-02
 1.95576722e-04]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_35_face0.png,White,White,Female,50-59,"[9.9522394e-01 7.3839192e-06 2.4104491e-03 8.1808292e-05 5.0028335e-05
 1.9690011e-05 2.2067197e-03]",[9.99894202e-01 1.06469715e-05 3.69967456e-05 5.81480235e-05],[1.4429916e-04 9.9985570e-01],"[2.3557739e-06 4.6214653e-05 6.7646522e-04 6.7545841e-03 3.6245834e-02
 2.1362337e-01 6.0431224e-01 1.3007522e-01 8.2637286e-03]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_teacher_middle aged/teacher_middle aged_7_face0.png,White,White,Male,50-59,"[9.8595387e-01 1.3176217e-05 7.4673006e-03 8.1460596e-05 1.1956851e-04
 4.0398396e-04 5.9606335e-03]",[9.3597484e-01 3.0015197e-04 3.2252586e-04 6.3402474e-02],[0.5383303  0.46166962],"[7.3258129e-06 2.7602213e-05 7.3344191e-04 3.5629286e-03 3.9597269e-02
 2.9766357e-01 5.5234504e-01 9.6007280e-02 1.0055626e-02]","[(294, 261) (744, 711)]"
