face_confidence_deepface,age_deepface,gender_deepface,Woman,Man,race_deepface,asian,indian,black,white,middle eastern,latino hispanic,emotion_deepface,angry,disgust,fear,happy,sad,surprise,neutral,image
1.0,36,Man,0.0036137074,99.99639,white,0.34681094,1.3664074,0.15784027,42.617306,26.70545,28.806183,neutral,0.46132568,1.19284005e-08,0.0015785132,9.3761215,0.6071114,5.1366085e-05,89.55381,teacher_neutral_9.png
1.0,37,Woman,99.904915,0.09508355,white,0.0028390132,0.0053868736,0.00034162425,92.38387,1.5650855,6.0424733,happy,6.435987e-11,9.886928e-18,2.3338474e-11,99.74647,7.1726646e-07,4.0141156e-08,0.25353634,teacher_neutral_57.png
1.0,34,Man,0.00048517232,99.99951,white,3.7369537e-07,3.888028e-06,1.2974208e-08,99.89171,0.07773407,0.030544333,happy,1.1206622e-06,1.4957344e-11,1.6671962e-08,99.89418,5.101004e-07,6.4699316e-07,0.105822876,teacher_neutral_13.png
1.0,35,Man,0.14801036,99.852,white,0.00016301728,0.00023207773,1.2258934e-06,98.269875,0.69242775,1.0373055,neutral,0.1931973,7.830106e-12,0.00026684464,0.000987645,2.281797,3.5744019e-09,97.52376,teacher_neutral_116.png
1.0,39,Man,0.048749644,99.951256,white,0.69405264,3.0175135,0.2351172,45.2571,29.29588,21.500341,happy,0.011365666,1.6300477e-14,8.46195e-07,88.94459,0.00018556407,8.236024e-08,11.043862,teacher_neutral_48.png
1.0,33,Woman,99.997475,0.002532381,white,4.0105515e-08,1.2092157e-07,1.2248317e-09,99.68775,0.009493601,0.30275708,neutral,0.5817691,0.0044172257,0.32791978,0.34639543,5.058783,1.1417742,92.53894,teacher_neutral_62.png
1.0,33,Man,0.003268478,99.996735,middle eastern,1.1217434,8.228434,1.1424226,20.705679,44.648262,24.153461,neutral,0.0028437544,1.841495e-12,0.00035065698,0.7699782,0.093114525,8.139534e-07,99.133705,teacher_neutral_98.png
1.0,35,Man,0.008275939,99.99173,middle eastern,0.53194636,7.574659,1.0323793,23.541344,47.63655,19.683128,happy,1.2535098e-05,5.329226e-15,5.534986e-09,98.69865,0.00032017264,1.229167e-11,1.3010236,teacher_neutral_72.png
1.0,36,Man,0.08552101,99.91448,white,0.20611939,0.5959733,0.049387384,68.05174,17.9625,13.134274,angry,84.229965,9.3697294e-05,0.0043468783,7.8119187,1.1603057,0.0007343329,6.792642,teacher_neutral_55.png
1.0,32,Woman,99.9996,0.00039063403,white,0.0013410198,0.003618389,3.6685065e-05,96.32425,1.615866,2.054892,happy,6.4010635e-07,7.11923e-13,7.0178467e-09,99.999664,1.1985138e-09,2.97835e-05,0.000301477,teacher_neutral_71.png
1.0,33,Woman,99.999344,0.00065428455,white,4.670055e-06,1.6348231e-05,1.4549504e-07,99.58421,0.12899739,0.28676805,happy,2.3413438e-07,1.178579e-20,1.3136872e-12,99.996826,2.4593474e-08,1.704355e-09,0.003178921,teacher_neutral_124.png
1.0,39,Man,0.08212371,99.91787,white,2.2805824e-07,4.40893e-06,1.124699e-08,99.81413,0.13454567,0.0513196,neutral,2.6915417,5.136801e-10,2.2095224e-05,25.942915,0.08252565,1.3642825e-06,71.283,teacher_neutral_146.png
1.0,44,Man,0.13506527,99.864944,white,0.009797647,0.056448247,0.0022511494,80.109116,11.755703,8.066687,neutral,0.0016063572,1.6130456e-09,8.730507e-06,32.71026,0.0020082702,1.4243321e-07,67.286125,teacher_neutral_3.png
