face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_98_face0.png,Middle Eastern,White,Male,20-29,"[2.4066699e-01 1.5400668e-03 4.8458889e-02 2.3498555e-05 6.1622050e-05
 1.4973312e-03 7.0775163e-01]",[9.4906867e-01 6.2059220e-03 5.6539086e-04 4.4160083e-02],[9.999997e-01 2.404607e-07],"[1.5215331e-06 2.0891860e-04 4.3820608e-02 8.3564794e-01 1.1886234e-01
 1.4546377e-03 3.9552924e-06 6.1925419e-08 9.6921482e-10]","[(385, 140) (602, 358)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_91_face0.png,Middle Eastern,Indian,Male,20-29,"[1.1359670e-02 6.9483218e-04 5.3992096e-02 5.1806533e-06 3.6820300e-05
 1.8104464e-02 9.1580695e-01]",[1.3649809e-01 1.3449293e-02 5.4674706e-04 8.4950584e-01],[9.999991e-01 9.210665e-07],"[5.3794370e-08 3.0088813e-05 1.8897668e-02 9.0936494e-01 7.1286000e-02
 4.2062814e-04 6.1423441e-07 9.4038191e-09 1.8743435e-10]","[(358, 299) (670, 611)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_15_face0.png,Middle Eastern,White,Male,20-29,"[1.2110416e-01 1.4955753e-03 7.4704975e-02 7.5115677e-06 5.1433733e-05
 2.6544906e-02 7.7609140e-01]",[7.1428114e-01 1.7870028e-02 4.0190795e-04 2.6744691e-01],[9.9999613e-01 3.8688513e-06],"[4.23974967e-07 4.26091719e-05 4.99606971e-03 7.43282735e-01
 2.48418182e-01 3.25304107e-03 6.80604990e-06 1.03824654e-07
 1.84347926e-09]","[(326, 203) (640, 517)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_137_face0.png,White,White,Male,20-29,"[4.78886038e-01 1.34423713e-03 1.10690415e-01 1.11433401e-05
 6.78474244e-05 1.75840631e-02 3.91416192e-01]",[9.1027945e-01 3.0008508e-03 1.8863010e-04 8.6531051e-02],[9.9998522e-01 1.4771909e-05],"[2.5457155e-07 2.0028410e-05 1.0186360e-02 7.2281420e-01 2.6164925e-01
 5.2928091e-03 3.6380785e-05 7.2408255e-07 1.6376489e-08]","[(363, 268) (624, 529)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_48_face0.png,White,White,Male,20-29,"[5.1677197e-01 1.7345576e-03 1.8765588e-01 4.0198713e-05 1.8822518e-04
 8.1695551e-03 2.8543958e-01]",[0.81045175 0.00677537 0.00096296 0.18181   ],[9.9999678e-01 3.2507644e-06],"[7.7852057e-08 8.9698369e-06 8.4102079e-03 7.9115188e-01 1.9793986e-01
 2.4795963e-03 9.3443732e-06 1.0429537e-07 1.9715845e-09]","[(385, 185) (602, 403)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_147_face0.png,Middle Eastern,White,Male,20-29,"[1.9969879e-02 3.8443678e-03 1.3603848e-01 2.1545840e-05 2.0196430e-04
 2.5276572e-02 8.1464720e-01]",[0.672504   0.02677033 0.00173394 0.29899174],[9.999994e-01 5.251124e-07],"[2.7966809e-07 2.0237885e-05 6.5068239e-03 7.1843624e-01 2.7175280e-01
 3.2766825e-03 6.8792597e-06 8.9048903e-08 1.4191620e-09]","[(419, 144) (600, 326)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_77_face0.png,Middle Eastern,White,Male,20-29,"[2.6957396e-01 8.6014753e-04 5.3160101e-02 3.4290428e-05 1.1807295e-04
 1.9211484e-03 6.7433232e-01]",[0.95969504 0.00622264 0.00110329 0.03297903],[9.9999261e-01 7.3783776e-06],"[1.6902655e-07 4.1049014e-05 2.2835584e-02 8.7389040e-01 1.0243437e-01
 7.9645950e-04 1.9016919e-06 2.7975730e-08 5.4561311e-10]","[(417, 216) (677, 477)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_99_face0.png,Middle Eastern,Indian,Male,20-29,"[4.2708293e-02 2.7029202e-03 1.4025103e-01 1.0271112e-05 1.0754490e-04
 3.1821858e-02 7.8239810e-01]",[2.5937369e-01 4.0945783e-02 6.3837296e-04 6.9904220e-01],[9.9999946e-01 4.6667208e-07],"[4.4305116e-07 4.1820913e-05 1.0819354e-02 8.7386429e-01 1.1433916e-01
 9.3311927e-04 1.7452792e-06 2.7484878e-08 4.1643886e-10]","[(390, 268) (651, 529)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_61_face0.png,Middle Eastern,White,Male,20-29,"[2.4154234e-01 2.3709060e-04 1.2647347e-01 1.5983848e-04 4.7689205e-04
 3.2984531e-03 6.2781197e-01]",[9.3251365e-01 5.9734465e-04 1.3256620e-02 5.3632382e-02],[9.9999917e-01 8.6626636e-07],"[4.7912128e-08 1.5038892e-05 1.4403913e-02 9.0458906e-01 8.0319002e-02
 6.7168463e-04 1.2901286e-06 1.4591472e-08 2.0606396e-10]","[(442, 216) (704, 477)]"
fairface/detected_faces/Stablexl1.0_waiter_neutral/waiter_neutral_56_face0.png,White,White,Male,20-29,"[5.4301947e-01 4.8729605e-03 3.1119430e-01 1.5910619e-04 6.1572541e-04
 6.1387927e-03 1.3399968e-01]",[0.7018924  0.03606908 0.0012253  0.26081327],[9.9999988e-01 1.7624137e-07],"[4.7877922e-08 7.5471926e-06 1.2663952e-02 8.8620102e-01 9.9964194e-02
 1.1575657e-03 5.6216795e-06 6.0107652e-08 1.0878654e-09]","[(459, 244) (610, 395)]"
