face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_35_face0.png,East Asian,Asian,Male,40-49,"[3.1907417e-05 1.9315081e-05 1.0122192e-04 7.7117431e-01 2.2857650e-01
 9.2957402e-05 3.8452858e-06]",[1.4145322e-05 2.0347920e-06 9.9994457e-01 3.9187060e-05],[9.9995899e-01 4.1040556e-05],"[5.6495844e-07 4.8078523e-06 4.9441267e-04 1.7147204e-02 1.2476170e-01
 4.2265964e-01 3.6364481e-01 6.9480658e-02 1.8061677e-03]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_27_face0.png,East Asian,Asian,Male,40-49,"[7.6440156e-05 3.7977227e-06 1.7217590e-04 8.8392723e-01 1.1570510e-01
 7.0974820e-05 4.4318753e-05]",[2.6735603e-05 7.2507446e-06 9.9980885e-01 1.5714612e-04],[9.9987358e-01 1.2636716e-04],"[1.5735527e-06 2.5900290e-06 1.5120096e-04 9.5025590e-03 1.6119899e-01
 4.8719129e-01 2.8972539e-01 5.1285647e-02 9.4074442e-04]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_42_face0.png,East Asian,Asian,Male,30-39,"[1.3142294e-05 1.5133361e-06 5.6124769e-05 8.8636976e-01 1.1350791e-01
 4.5732286e-05 5.7867096e-06]",[4.04343264e-05 1.08877532e-06 9.99843359e-01 1.15123294e-04],[9.999977e-01 2.345437e-06],"[2.3598660e-07 1.0857143e-06 9.8927565e-05 3.7688170e-02 5.5365139e-01
 3.6537042e-01 4.1248169e-02 1.9244129e-03 1.7092889e-05]","[(302, 354) (677, 730)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_49_face0.png,East Asian,Asian,Male,50-59,"[1.5097022e-05 3.8723494e-05 2.7833757e-04 5.9836751e-01 4.0050316e-01
 7.9314015e-04 4.0666114e-06]",[2.4702856e-06 2.5224044e-06 9.9978065e-01 2.1430627e-04],[9.9988425e-01 1.1574532e-04],"[3.50254686e-06 7.89514434e-06 1.14829905e-04 1.94412249e-03
 2.70894170e-02 2.49245435e-01 4.38025653e-01 2.69707501e-01
 1.38616133e-02]","[(339, 279) (715, 654)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_46_face0.png,East Asian,Asian,Male,50-59,"[1.0823947e-03 1.0256333e-04 2.8254963e-03 6.7974019e-01 3.1280142e-01
 3.1492312e-03 2.9867757e-04]",[1.0053582e-04 1.3512511e-05 9.9946314e-01 4.2285546e-04],[0.9983794  0.00162054],"[3.0638010e-05 4.8724898e-05 7.7883666e-04 5.5226469e-03 6.7993708e-02
 3.3248326e-01 4.8102063e-01 1.0912016e-01 3.0013996e-03]","[(339, 126) (715, 501)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_30_face0.png,East Asian,Asian,Male,50-59,"[6.2184750e-05 2.8185518e-06 9.5418785e-05 9.0766835e-01 9.2119694e-02
 4.1094325e-05 1.0449184e-05]",[9.1806673e-05 5.1363891e-06 9.9959010e-01 3.1298373e-04],[9.9988836e-01 1.1161219e-04],"[1.9152305e-06 5.2989753e-06 7.6716082e-05 2.5775596e-03 5.1310781e-02
 2.9566351e-01 4.6019864e-01 1.8402031e-01 6.1453041e-03]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_48_face0.png,East Asian,Asian,Male,40-49,"[1.9197727e-05 1.7459338e-06 7.9960337e-06 9.4443208e-01 5.5537745e-02
 9.4738493e-07 2.5733652e-07]",[1.8902274e-05 3.6469184e-05 9.9994069e-01 3.9268580e-06],[0.9988344  0.00116567],"[3.4014877e-06 3.0361394e-05 9.0685231e-04 2.1929460e-02 1.8905830e-01
 4.6043348e-01 2.4502154e-01 7.5957134e-02 6.6594467e-03]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_15_face0.png,East Asian,Asian,Male,40-49,"[2.0861953e-05 3.6454923e-05 2.2695841e-04 7.4818581e-01 2.5129712e-01
 2.2095761e-04 1.1829647e-05]",[1.1254280e-05 4.8635438e-06 9.9981874e-01 1.6521722e-04],[9.9987918e-01 1.2078402e-04],"[1.5396995e-06 4.8987536e-06 2.2782016e-04 1.3406709e-02 1.3942708e-01
 4.4055796e-01 2.9758090e-01 1.0442806e-01 4.3649594e-03]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_23_face0.png,East Asian,Asian,Male,50-59,"[2.6846345e-05 1.6640681e-04 2.2673147e-04 5.8975613e-01 4.0908992e-01
 7.2729489e-04 6.6879820e-06]",[6.0932898e-06 1.5875157e-05 9.9979514e-01 1.8288690e-04],[9.996688e-01 3.312614e-04],"[2.7136680e-06 1.7406648e-05 2.8674418e-04 3.2501402e-03 3.5863414e-02
 2.8802165e-01 4.5849514e-01 2.0136270e-01 1.2700016e-02]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_writer_asian/writer_asian_8_face0.png,East Asian,Asian,Male,40-49,"[6.7978130e-05 1.0890154e-05 1.0666892e-04 8.4208959e-01 1.5764789e-01
 6.8537192e-05 8.3582972e-06]",[1.0548745e-04 7.5832218e-06 9.9944985e-01 4.3703784e-04],[9.999219e-01 7.802552e-05],"[1.82543522e-06 8.70418899e-06 3.89368273e-04 1.14906598e-02
 1.37040347e-01 3.86888891e-01 3.53038669e-01 1.04901545e-01
 6.23996276e-03]","[(358, 235) (670, 549)]"
