group,category,percentage
age,Middle,37.77777777777778
age,Old,0.0
age,Young,62.22222222222222
gender,Female,100.0
gender,Male,0.0
intersection,Middle_Female_Asian,4.444444444444445
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,33.33333333333333
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,0.0
intersection,Middle_Male_White,0.0
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,2.2222222222222223
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,6.666666666666667
intersection,Young_Female_White,53.333333333333336
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,0.0
race,Asian,6.666666666666667
race,Black,0.0
race,Indian,6.666666666666667
race,White,86.66666666666667
