group,category,percentage
age,Middle,63.26530612244898
age,Old,0.0
age,Young,36.734693877551024
gender,Female,0.0
gender,Male,100.0
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,8.16326530612245
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,4.081632653061225
intersection,Middle_Male_White,51.02040816326531
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,6.122448979591836
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,6.122448979591836
intersection,Young_Male_White,24.489795918367346
race,Asian,14.285714285714285
race,Black,0.0
race,Indian,10.20408163265306
race,White,75.51020408163265
