group,category,percentage
age,Middle,2.564102564102564
age,Old,0.0
age,Young,97.43589743589745
gender,Female,64.1025641025641
gender,Male,35.8974358974359
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,0.0
intersection,Middle_Male_White,2.564102564102564
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,5.128205128205128
intersection,Young_Female_White,58.97435897435898
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,2.564102564102564
intersection,Young_Male_White,30.76923076923077
race,Asian,0.0
race,Black,0.0
race,Indian,7.6923076923076925
race,White,92.3076923076923
