image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
cashier_40 years old_40.png,40,Man,white,sad,1.0,0.045261454,99.95473,0.09551407,0.23326716,0.025934746,73.83483,8.512434,17.29802,23.543167,0.00066680467,0.14725202,0.16042376,48.0728,5.0069233e-05,28.075644
cashier_40 years old_2.png,36,Man,white,neutral,1.0,0.0025653362,99.99744,0.41577157,0.7390734,0.119222544,60.836098,14.561251,23.328579,7.1107626,0.0034382793,0.13052712,0.6772792,10.862176,0.0069251168,81.20889
cashier_40 years old_6.png,39,Man,middle eastern,neutral,1.0,0.0007510521,99.99925,0.59994066,3.5435326,0.7406393,30.153763,37.646282,27.31584,6.0561395,1.2889953e-08,0.00044043362,1.3602098,0.7238144,2.4452564e-05,91.85937
cashier_40 years old_42.png,47,Man,white,neutral,1.0,0.1072319,99.89277,0.51862866,3.9273744,0.39534286,38.044506,31.376606,25.737549,0.007459471,2.376578e-09,0.0036921846,0.0026103153,0.15489851,3.7074997e-06,99.83133
cashier_40 years old_36.png,37,Man,latino hispanic,neutral,1.0,0.08101079,99.91899,2.2333186,5.3798747,0.87645423,35.335392,16.555292,39.61967,4.6471705,0.007265967,0.5174303,7.302271,18.479057,0.07223723,68.97456
cashier_40 years old_15.png,30,Man,white,neutral,1.0,0.036758427,99.963234,0.019929076,0.074601345,0.0054302905,85.3064,7.6828017,6.910845,1.0206746,0.00039603765,0.3620609,11.89624,2.1830435,0.23871785,84.29887
cashier_40 years old_17.png,39,Man,white,neutral,1.0,0.5263353,99.47366,9.9199515e-06,0.00015366804,7.760058e-07,98.86213,0.5692091,0.5685009,4.5481296,0.01540557,0.7024279,1.066278,12.551101,0.005733017,81.11092
cashier_40 years old_33.png,42,Man,latino hispanic,neutral,1.0,0.012528231,99.98747,3.220011,16.18263,4.0367436,12.049822,28.217781,36.293015,3.4081779,0.00035302635,0.03893408,0.11534791,20.88302,0.0001921521,75.55397
cashier_40 years old_21.png,43,Man,white,neutral,1.0,0.04794862,99.95206,1.4036832,2.3445678,0.48898685,49.68347,19.28777,26.791527,1.4514586,3.8290027e-06,0.0016198575,16.542023,2.0681233,0.0006830781,79.93609
cashier_40 years old_26.png,34,Man,white,neutral,1.0,0.04161081,99.95839,0.07906572,0.68613774,0.054880623,59.91927,24.172842,15.087809,0.017378228,2.2640606e-05,0.0023261039,26.359936,0.39423043,0.0020021466,73.224106
cashier_40 years old_20.png,33,Man,white,neutral,1.0,0.0038122952,99.996185,0.10252839,1.0347283,0.06815361,57.753773,24.791878,16.248938,5.829679,0.0027509178,0.18331532,15.469943,28.361746,0.015934907,50.13663
cashier_40 years old_14.png,44,Man,white,neutral,1.0,0.0011309044,99.99887,0.08273707,0.8717251,0.04377711,58.846554,28.443783,11.711415,0.36733505,8.122565e-06,0.0064284783,2.4945211,1.7698003,0.00022065514,95.36169
cashier_40 years old_35.png,31,Man,white,neutral,1.0,0.18185759,99.818146,0.27261898,1.5018502,0.11156232,43.679,33.69419,20.740778,0.10436753,1.6496459e-05,0.0022067337,2.9400303,2.0360787,0.00075481215,94.91655
cashier_40 years old_9.png,33,Man,white,neutral,1.0,0.688059,99.31195,4.153787e-05,0.00015166475,5.4369116e-07,99.58311,0.20153552,0.21516143,6.4951644,4.2972924e-06,0.07227011,0.021984711,8.027168,0.000105244326,85.38331
cashier_40 years old_1.png,36,Man,white,neutral,1.0,0.022249144,99.97775,0.01760476,0.045079157,0.00091805134,85.34397,7.7147617,6.877665,0.10140735,1.889814e-07,0.008464602,9.174243,0.6120327,0.0010287763,90.10282
cashier_40 years old_18.png,33,Man,white,neutral,1.0,0.0024754591,99.99752,0.00989554,0.036280014,0.00090535183,88.63667,6.8143516,4.501897,0.000729221,3.8954306e-09,5.1127836e-06,19.232325,0.0154993525,4.2279098e-05,80.7514
cashier_40 years old_32.png,36,Man,middle eastern,neutral,1.0,0.0064067207,99.9936,0.25515503,6.108963,0.55085635,23.516651,48.52587,21.0425,0.08393033,2.433635e-07,0.0024854003,45.59247,0.12262058,0.00112458,54.197376
cashier_40 years old_7.png,42,Man,white,neutral,1.0,0.0005708746,99.99943,1.4861289,4.29164,0.6943407,36.658062,20.636591,36.23324,0.1299298,1.4117664e-08,0.002230578,0.2386454,0.42894423,2.8630453e-05,99.200226
cashier_40 years old_10.png,30,Man,white,happy,1.0,0.023414563,99.97658,4.5752838e-10,5.8476286e-09,1.389873e-11,99.99343,0.0031505432,0.0034146644,0.032646865,2.3711946e-08,7.8730656e-05,93.67054,0.025692403,2.4180812e-05,6.27103
cashier_40 years old_46.png,36,Man,white,sad,1.0,0.01319257,99.9868,0.005102592,0.055036407,0.0007560941,89.357414,3.9247863,6.6569014,1.6643988,0.0025212148,1.1442306,0.11305242,80.44256,4.1115934e-05,16.633202
cashier_40 years old_5.png,35,Man,middle eastern,neutral,1.0,0.004631375,99.99536,0.40904215,4.3900924,0.45891353,33.023453,38.73265,22.98585,6.958655,1.0393823e-05,0.074050345,0.12567933,13.320336,5.5203098e-05,79.52122
cashier_40 years old_19.png,39,Man,white,happy,1.0,0.02859154,99.971405,0.00014151062,0.0070198905,6.373579e-05,85.34424,13.052802,1.5957346,0.00013491836,1.2204034e-10,4.2930023e-06,55.75567,0.010749716,3.3281704e-05,44.23341
cashier_40 years old_38.png,32,Man,white,fear,1.0,0.016329179,99.983665,0.009916561,0.09708713,0.0048448336,79.07033,16.136692,4.6811414,10.257186,0.037792914,40.66934,10.440822,2.3240936,10.432416,25.838358
cashier_40 years old_43.png,36,Man,white,neutral,1.0,0.013645401,99.98635,0.14538124,0.9332238,0.1903956,63.48233,20.943134,14.305531,3.6655414,4.0819596e-05,0.028971711,5.4400764,3.351664,0.0011326366,87.51257
cashier_40 years old_47.png,32,Man,white,neutral,1.0,0.038862403,99.96114,0.14318603,1.1906328,0.060802255,50.380676,29.570711,18.653988,0.12519564,6.7371555e-05,0.0019371391,0.93317145,2.590718,2.611717e-05,96.348885
cashier_40 years old_41.png,36,Man,white,neutral,1.0,0.034060888,99.96594,3.6295484e-07,1.9472325e-06,1.4922701e-08,99.930664,0.02751619,0.041817162,0.16351825,1.9800758e-10,0.0008567388,0.026586434,0.15703839,0.00029776187,99.6517
cashier_40 years old_31.png,38,Man,latino hispanic,neutral,1.0,0.002296681,99.997696,2.4969106,5.821336,1.0721115,27.676767,18.73606,44.196815,0.06969197,6.248416e-08,0.002926113,0.24806629,0.46787727,1.1815182e-05,99.21143
