image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
cashier_middle aged_prompt_0_21.png,36,Woman,latino hispanic,happy,1.0,99.99938,0.00061675627,1.657946,0.58080965,0.13600244,44.867695,7.7564692,45.001076,2.8740862e-05,1.5935928e-11,5.5990517e-05,97.2791,0.00019637668,0.003123015,2.717504
cashier_middle aged_prompt_1_30.png,40,Man,middle eastern,neutral,1.0,0.08633436,99.913666,0.13507496,5.9495816,0.14171496,8.814712,67.98194,16.97698,13.248428,2.487804e-05,0.19637968,0.02666311,13.63621,9.5158866e-05,72.892204
cashier_middle aged_prompt_1_38.png,33,Woman,asian,sad,1.0,99.97786,0.022148523,75.95056,3.3921478,0.48480925,2.6748214,0.3002173,17.19745,0.41184723,0.003612432,21.715971,0.08457628,51.232918,0.0027871726,26.548294
cashier_middle aged_prompt_0_25.png,53,Woman,white,happy,1.0,99.999916,8.767555e-05,5.8318556e-06,1.6960598e-06,8.576062e-09,99.883644,0.031713117,0.08463508,0.004579198,1.1562118e-10,2.4888668e-05,66.13999,0.01858857,2.5969966e-05,33.836796
cashier_middle aged_prompt_0_27.png,51,Woman,white,happy,1.0,99.99993,7.497959e-05,0.07390349,0.049096763,0.0053869737,80.46972,3.2259226,16.175976,1.1277357e-07,7.258116e-21,6.605394e-12,99.03915,1.3968133e-07,1.3334284e-07,0.96085596
cashier_middle aged_prompt_0_47.png,41,Woman,white,neutral,1.0,99.80795,0.19204673,4.5865744e-07,8.326452e-07,7.057886e-09,99.8342,0.11182472,0.053978145,0.48819828,0.022649854,6.477119,13.296095,4.2925143,0.029203778,75.394226
cashier_middle aged_prompt_1_10.png,35,Man,white,happy,1.0,0.37308607,99.62691,0.19119152,0.2918189,0.017195655,77.63888,10.040272,11.820645,0.45166257,0.004072974,0.014773995,71.30658,1.4623808,0.019712817,26.740826
cashier_middle aged_prompt_1_12.png,46,Man,white,neutral,1.0,5.8196974,94.1803,1.436687,3.089425,0.4141309,45.928967,18.355291,30.775503,1.7091479,9.234992e-07,0.09290704,1.0666493,2.6214547,0.002322398,94.507515
cashier_middle aged_prompt_0_34.png,29,Woman,white,happy,1.0,99.999916,8.5183514e-05,3.575413e-05,2.1162055e-05,4.4152054e-07,99.7534,0.06579601,0.18074009,0.015597973,2.3219806e-07,0.00034013556,90.17847,0.058361437,0.02142763,9.725806
cashier_middle aged_prompt_1_15.png,32,Woman,white,neutral,1.0,99.999954,4.228045e-05,0.01953883,0.024358476,0.00064397295,94.855774,2.7280061,2.371676,0.30283478,0.00012579474,0.7167823,20.118053,4.8313074,1.4949515,72.53594
cashier_middle aged_prompt_1_17.png,25,Woman,white,happy,1.0,99.98908,0.010918389,0.00015752544,0.00020908471,6.0445072e-06,98.0443,0.379213,1.576118,0.0060214526,0.0002006081,0.07983282,86.47563,0.38296974,0.0041958136,13.05114
cashier_middle aged_prompt_1_41.png,38,Man,white,neutral,1.0,0.063218564,99.936775,0.08793129,0.41118035,0.029672833,73.86069,12.031141,13.579395,0.06333847,3.6423294e-06,0.14799927,3.212957,0.4834442,0.10130446,95.99096
cashier_middle aged_prompt_1_42.png,43,Woman,white,happy,1.0,97.06556,2.9344444,0.34504512,0.4608156,0.0419871,61.690186,12.23202,25.229948,0.22356792,0.0022377481,0.39424443,66.69504,0.8335668,0.04735075,31.803995
cashier_middle aged_prompt_0_13.png,40,Woman,white,happy,1.0,99.99805,0.0019520075,0.32197222,0.35062793,0.03506067,60.851173,9.49931,28.941858,5.6130113e-05,3.6585057e-10,1.0828063e-06,92.08943,0.0010568193,3.0138182e-05,7.909428
cashier_middle aged_prompt_0_5.png,33,Woman,white,happy,1.0,99.99479,0.0052071055,0.0038104223,0.001493155,5.010826e-05,97.418526,0.9243398,1.6517866,7.487242e-09,1.518642e-15,8.123767e-11,99.814926,1.5881245e-05,7.9819563e-07,0.18505144
cashier_middle aged_prompt_0_8.png,34,Woman,latino hispanic,happy,1.0,99.99597,0.0040292516,1.0490168,0.94889617,0.29856694,36.731373,5.726992,55.245163,1.8079902e-12,1.1214219e-18,9.67269e-10,99.98691,2.1466926e-09,1.3074109e-08,0.01308837
cashier_middle aged_prompt_0_35.png,50,Woman,white,happy,1.0,99.98034,0.019660342,0.040991575,0.07052027,0.005083983,86.28877,4.961371,8.633256,0.17119166,1.2596675e-07,0.0006543451,55.266144,0.065814346,5.405784e-06,44.496197
cashier_middle aged_prompt_1_49.png,35,Woman,white,neutral,1.0,99.139046,0.8609457,0.18920146,0.4451782,0.045744352,64.62762,16.534004,18.15825,2.093247,0.39833826,4.374449,22.200436,34.054657,0.010061781,36.86881
