face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_5_face0.png,White,White,Male,20-29,"[6.6811329e-01 2.0392988e-02 2.7308664e-01 2.0387000e-05 2.0465438e-04
 6.6628568e-03 3.1519301e-02]",[9.4798809e-01 1.8369202e-02 2.0468009e-04 3.3437986e-02],[9.999998e-01 1.619363e-07],"[3.6410544e-08 1.3271835e-05 2.4150116e-02 8.8830763e-01 8.6507984e-02
 1.0158154e-03 5.0501358e-06 4.2133298e-08 7.6948992e-10]","[(248, 124) (698, 574)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_3_face0.png,Middle Eastern,Indian,Male,20-29,"[4.1191503e-02 1.1826617e-02 1.7239237e-01 1.7183738e-05 1.7032702e-04
 1.2940901e-02 7.6146114e-01]",[0.28173324 0.20418501 0.01666715 0.49741456],[9.9999905e-01 9.6091549e-07],"[9.6859409e-08 7.0624487e-06 3.3913781e-03 5.3341293e-01 4.5005193e-01
 1.3074042e-02 6.1726569e-05 8.8148749e-07 1.1540538e-08]","[(294, 168) (744, 619)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_0_46_face0.png,White,White,Male,20-29,"[8.7364203e-01 1.6338088e-03 7.0074618e-02 6.6373927e-05 3.3756645e-04
 1.5072897e-04 5.4094795e-02]",[0.98228204 0.01106427 0.00552877 0.00112492],[9.9999970e-01 3.5099495e-07],"[2.65341757e-08 7.65012555e-06 8.11764691e-03 8.56872141e-01
 1.34140462e-01 8.60704342e-04 1.33443518e-06 1.26745645e-08
 2.18600998e-10]","[(263, 279) (640, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_26_face0.png,White,White,Male,20-29,"[4.5555651e-01 6.6644894e-03 3.6586174e-01 4.7345693e-05 3.9078042e-04
 7.8656273e-03 1.6361359e-01]",[0.9432437  0.03924753 0.00138892 0.01611984],[9.999991e-01 9.292067e-07],"[1.7125069e-08 2.0482628e-06 3.9926525e-03 8.4679395e-01 1.4791301e-01
 1.2938685e-03 4.3996820e-06 4.9603202e-08 9.4025088e-10]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_34_face0.png,White,White,Male,20-29,"[8.1768954e-01 5.3175550e-04 6.9681376e-02 2.5416593e-05 2.4737522e-04
 2.5645271e-04 1.1156807e-01]",[9.916481e-01 6.679112e-03 9.109358e-04 7.618981e-04],[1.0000000e+00 3.8090764e-08],"[2.8852448e-08 4.5741240e-06 4.6006721e-03 7.4689728e-01 2.4450929e-01
 3.9790720e-03 8.9411251e-06 7.5977447e-08 7.4407358e-10]","[(294, 215) (744, 665)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_0_35_face0.png,White,White,Male,20-29,"[8.06175113e-01 3.11163766e-03 6.56134784e-02 1.92304040e-04
 6.38791535e-04 1.74338376e-04 1.24094285e-01]",[9.8645055e-01 7.1489094e-03 5.9858081e-03 4.1468552e-04],[9.9999934e-01 6.2161837e-07],"[1.4512426e-07 4.0031337e-05 1.6427880e-02 8.9536476e-01 8.7803110e-02
 3.6339494e-04 6.4908693e-07 1.3151804e-08 2.1608804e-10]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_48_face0.png,Latino_Hispanic,White,Male,20-29,"[2.5725979e-01 1.2449020e-02 5.6415224e-01 1.5339993e-04 7.5360649e-04
 1.6560421e-03 1.6357587e-01]",[0.9673527  0.02671603 0.00193144 0.00399981],[9.9999833e-01 1.6879072e-06],"[5.2463896e-08 1.2987671e-05 3.7783381e-02 8.7571323e-01 8.5183010e-02
 1.2989305e-03 8.2422421e-06 1.2102046e-07 2.2055098e-09]","[(302, 202) (677, 578)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_30_face0.png,Latino_Hispanic,White,Male,20-29,"[3.6743498e-01 1.5216781e-02 4.4860020e-01 1.1715689e-04 1.1017474e-03
 1.8654851e-02 1.4887422e-01]",[0.93460935 0.01758633 0.00248211 0.04532226],[9.9998784e-01 1.2138131e-05],"[6.3994875e-08 1.1010213e-06 1.7358249e-03 5.4545462e-01 4.4230121e-01
 1.0429371e-02 7.6809054e-05 9.4277476e-07 1.7936419e-08]","[(248, 168) (698, 619)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_45_face0.png,Latino_Hispanic,White,Male,20-29,"[1.7927229e-01 6.3496329e-02 4.5929477e-01 1.8788836e-05 1.8120524e-04
 5.2902754e-03 2.9244626e-01]",[0.8523587  0.09240858 0.00122164 0.05401109],[9.9999988e-01 1.1192471e-07],"[6.9799320e-08 3.5401968e-06 3.7030566e-03 5.4026163e-01 4.3806207e-01
 1.7844703e-02 1.2415095e-04 7.2772940e-07 6.3801586e-09]","[(294, 168) (744, 619)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_11_face0.png,White,Black,Male,20-29,"[5.3887314e-01 5.9421718e-02 3.2812986e-01 4.9697686e-05 5.7420257e-04
 4.5332007e-04 7.2498113e-02]",[0.41114366 0.5694293  0.01576706 0.00366003],[9.9999976e-01 2.0878596e-07],"[5.3031055e-09 3.5896885e-06 2.3531441e-02 9.5033008e-01 2.6076505e-02
 5.8321151e-05 8.1652161e-08 1.0670320e-09 1.8168992e-11]","[(248, 124) (698, 574)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_0_5_face0.png,White,White,Male,20-29,"[6.3771331e-01 1.6867880e-02 2.8319091e-01 4.1369418e-05 2.8323688e-04
 5.9231846e-03 5.5980183e-02]",[9.80319500e-01 6.59026112e-03 9.88028114e-05 1.29914135e-02],[9.999999e-01 7.372227e-08],"[5.9880101e-08 1.7547593e-05 2.1191157e-02 8.7353426e-01 1.0409230e-01
 1.1599320e-03 4.6744317e-06 4.2682942e-08 6.8574929e-10]","[(326, 267) (640, 581)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_1_42_face0.png,White,White,Male,20-29,"[6.66930437e-01 1.08446795e-02 1.06180996e-01 2.81368884e-05
 2.08646583e-04 2.27104896e-03 2.13535964e-01]",[0.796588   0.18354315 0.00112603 0.01874282],[9.9999642e-01 3.6002407e-06],"[4.4372236e-08 3.5982962e-06 3.6944526e-03 6.1684573e-01 3.6926693e-01
 1.0139174e-02 4.9641098e-05 4.2650535e-07 7.6081248e-09]","[(302, 202) (677, 578)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_0_19_face0.png,Latino_Hispanic,White,Male,20-29,"[3.0661464e-01 2.0107066e-02 5.1201183e-01 5.3316955e-05 5.8179256e-04
 5.2906815e-03 1.5534061e-01]",[0.94209445 0.02360819 0.00206346 0.03223392],[1.0000000e+00 2.4372257e-08],"[3.4079310e-08 1.8244995e-05 2.5741180e-02 8.3954406e-01 1.3349637e-01
 1.1978032e-03 2.3372813e-06 2.0698652e-08 2.2038998e-10]","[(302, 202) (677, 578)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_0_23_face0.png,Latino_Hispanic,White,Male,20-29,"[1.5244064e-01 3.3094823e-02 4.3343470e-01 1.4495002e-05 1.6924716e-04
 3.3685337e-03 3.7747759e-01]",[7.9054278e-01 1.9219390e-01 7.0670049e-04 1.6556589e-02],[9.9999982e-01 2.0083783e-07],"[6.3076691e-09 2.2723598e-06 1.3179687e-02 9.2525107e-01 6.1330091e-02
 2.3639883e-04 4.8477926e-07 5.4776637e-09 7.8062126e-11]","[(302, 165) (677, 540)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_professional athlete_male/professional athlete_male_prompt_0_15_face0.png,Latino_Hispanic,White,Male,20-29,"[9.2499577e-02 7.9966281e-03 4.6207550e-01 1.7206279e-05 1.9485330e-04
 6.6897543e-03 4.3052647e-01]",[0.940729   0.02391815 0.00134994 0.03400287],[1.0000000e+00 2.7396949e-08],"[7.5534182e-08 1.3691719e-05 1.6103761e-02 8.4938985e-01 1.3318159e-01
 1.3079691e-03 3.0643148e-06 3.8370526e-08 3.3422809e-10]","[(302, 202) (677, 578)]"
