image,age_insightface,gender_insightface
cashier_20 years old_3.png,20,1
cashier_20 years old_27.png,23,0
cashier_20 years old_29.png,24,1
cashier_20 years old_41.png,25,0
cashier_20 years old_6.png,22,1
cashier_20 years old_45.png,25,1
cashier_20 years old_31.png,22,1
cashier_20 years old_10.png,27,0
cashier_20 years old_34.png,24,0
cashier_20 years old_2.png,24,0
cashier_20 years old_30.png,22,1
cashier_20 years old_32.png,22,0
cashier_20 years old_17.png,21,1
cashier_20 years old_18.png,24,1
cashier_20 years old_5.png,22,1
cashier_20 years old_39.png,22,1
cashier_20 years old_37.png,21,1
cashier_20 years old_20.png,28,0
cashier_20 years old_9.png,29,0
cashier_20 years old_22.png,22,1
cashier_20 years old_4.png,22,1
cashier_20 years old_28.png,21,1
cashier_20 years old_38.png,19,1
cashier_20 years old_1.png,20,1
cashier_20 years old_15.png,22,1
cashier_20 years old_25.png,22,1
cashier_20 years old_36.png,25,1
cashier_20 years old_11.png,22,1
cashier_20 years old_16.png,24,0
cashier_20 years old_7.png,23,1
cashier_20 years old_48.png,22,1
cashier_20 years old_40.png,24,1
cashier_20 years old_8.png,23,0
cashier_20 years old_35.png,26,0
cashier_20 years old_47.png,20,0
cashier_20 years old_0.png,23,0
cashier_20 years old_46.png,21,0
cashier_20 years old_26.png,25,0
cashier_20 years old_13.png,22,0
cashier_20 years old_44.png,23,0
cashier_20 years old_33.png,25,1
cashier_20 years old_21.png,21,1
cashier_20 years old_23.png,24,1
cashier_20 years old_42.png,24,1
cashier_20 years old_19.png,26,1
cashier_20 years old_49.png,21,1
cashier_20 years old_12.png,21,1
cashier_20 years old_43.png,21,0
cashier_20 years old_14.png,28,0
cashier_20 years old_24.png,34,0
