image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
cashier_40 years old_40.png,40,Man,white,neutral,1.0,0.012232334,99.98777,0.074320115,0.43193847,0.03209626,61.645462,26.153708,11.662479,0.7973208,0.00058118853,1.8953302,15.778874,0.086674996,0.92493564,80.51629
cashier_40 years old_2.png,35,Man,middle eastern,neutral,1.0,0.008221648,99.991776,0.14018285,3.9410229,0.22595794,24.98004,58.93204,11.780753,1.4003558,4.2210413e-15,5.104053e-07,1.4379898,0.017698964,1.0994542e-07,97.14395
cashier_40 years old_6.png,37,Man,white,neutral,1.0,0.0230291,99.976974,0.07004902,0.20779823,0.015876966,81.05118,12.431791,6.2233095,1.1183462,4.175214e-10,2.7177364e-05,0.014710422,9.759241,7.4126505e-10,89.10767
cashier_40 years old_42.png,41,Man,middle eastern,angry,1.0,0.0008812153,99.999115,0.0058430554,1.2651622,0.021166697,22.303585,68.30124,8.103004,74.239334,8.6255184e-08,3.5665567,3.9551005,0.06506452,0.00861888,18.16532
cashier_40 years old_36.png,44,Man,middle eastern,neutral,1.0,4.276677e-05,99.999954,0.03688968,6.597473,0.17895569,3.7892313,74.39512,15.002333,6.1834946,6.889466e-08,0.04093148,8.068995,0.6572499,0.002320092,85.047005
cashier_40 years old_15.png,45,Man,latino hispanic,neutral,1.0,0.0022097456,99.997795,1.702388,7.1082907,2.6643214,22.531185,32.887413,33.106403,19.236391,0.0008104578,0.19071089,0.012482666,25.21001,0.003179238,55.346413
cashier_40 years old_17.png,42,Man,middle eastern,happy,1.0,0.0007496524,99.99925,1.1913693,11.599584,2.183722,21.427717,43.277237,20.32037,0.017650435,3.583833e-17,7.042389e-09,93.66891,1.0364211e-05,1.24742865e-08,6.313429
cashier_40 years old_33.png,38,Man,middle eastern,neutral,1.0,0.017013516,99.98299,0.38479277,8.096652,1.0311407,20.564407,47.604538,22.318466,0.12539916,9.225374e-10,0.0003510542,3.3261976,0.1541854,3.3004588e-05,96.39384
cashier_40 years old_21.png,34,Man,white,happy,1.0,0.034178708,99.96582,0.41807872,2.2075472,0.37575468,47.975636,30.147928,18.87506,0.004348212,1.9795096e-14,1.7882645e-08,77.35126,7.641833e-06,2.627906e-07,22.64439
cashier_40 years old_26.png,45,Man,middle eastern,neutral,1.0,0.002121768,99.99788,0.051056013,6.2977815,0.41500825,2.9703233,83.338715,6.927127,0.3666789,0.00064802764,0.4395382,32.417385,1.8759869,0.89083046,64.00894
cashier_40 years old_20.png,46,Man,white,happy,1.0,0.11752527,99.88248,2.5458658e-05,8.3031584e-05,9.274492e-07,99.5946,0.3027769,0.10251742,0.036580775,2.448676e-07,0.0011414085,91.95109,0.025392696,0.0010736906,7.984724
cashier_40 years old_14.png,36,Man,middle eastern,happy,1.0,0.0031634371,99.99684,0.3051355,6.038705,0.2813848,18.652403,47.004887,27.71749,0.00014186364,9.118696e-14,2.3906818e-05,99.648155,0.00034550388,0.0870899,0.26424322
cashier_40 years old_35.png,48,Man,white,neutral,1.0,0.0065555153,99.99345,2.104244,6.823936,2.730705,31.462906,26.474796,30.403414,14.541295,0.0020204047,1.7259599,2.050819,31.682932,0.04590078,49.951073
cashier_40 years old_9.png,43,Man,middle eastern,neutral,1.0,0.0019396933,99.998055,0.02008244,1.7186733,0.16576058,37.835472,45.045597,15.2144165,0.009061219,8.950614e-11,3.2847212e-05,20.372238,0.0017502184,0.00012822497,79.61679
cashier_40 years old_1.png,35,Man,middle eastern,neutral,1.0,0.0023407745,99.997665,0.42056757,13.072178,1.0696292,12.207489,53.044678,20.185463,2.522816,4.60169e-06,0.01195168,5.135883,0.80701584,0.0019439539,91.520386
cashier_40 years old_18.png,42,Man,latino hispanic,neutral,1.0,0.004069799,99.99593,1.5232284,7.5090647,1.9594944,26.406551,29.617584,32.984085,0.10388443,5.985562e-06,0.07188783,0.70716465,0.20247974,0.020016382,98.89456
cashier_40 years old_32.png,35,Man,middle eastern,neutral,1.0,0.0021536232,99.99784,0.0905864,3.5256715,0.08423923,17.932667,61.886215,16.480627,1.3371074,0.0076112514,3.1467173,2.1944604,4.9344554,0.30446616,88.07519
cashier_40 years old_7.png,39,Man,middle eastern,neutral,1.0,0.0033424287,99.99666,0.7047152,3.5988557,0.4982931,31.238451,33.704063,30.255627,8.500667,1.504351e-06,0.032471213,4.8331184,3.786032,0.025373546,82.822334
cashier_40 years old_10.png,41,Man,white,neutral,1.0,0.00046703452,99.999535,0.0010356335,0.0560333,0.00050797104,74.783394,22.744402,2.4146302,21.097736,2.0980187e-07,0.1589954,0.004815181,3.4300447,0.00027630708,75.308136
cashier_40 years old_46.png,32,Man,white,happy,1.0,0.00032752968,99.99968,0.1710489,1.2540207,0.20965585,45.404156,22.153597,30.807531,0.54286027,7.031705e-06,0.0022724029,81.39403,0.053236775,3.1116248e-05,18.007563
cashier_40 years old_5.png,43,Man,middle eastern,angry,1.0,0.004046101,99.99596,0.71000814,13.172676,2.1831112,13.551458,50.7487,19.634047,84.27084,3.0573146e-06,0.011140737,0.008853517,1.3701042,4.4696397e-05,14.339021
cashier_40 years old_19.png,38,Man,latino hispanic,neutral,1.0,0.00078305486,99.999214,2.4322407,9.885484,2.9368162,23.411259,28.444096,32.89011,2.232605,3.6894378e-16,2.7609942e-06,12.256052,0.00075481203,3.5452996e-07,85.51058
cashier_40 years old_38.png,42,Man,white,neutral,1.0,0.010760845,99.989235,0.001626107,0.29679528,0.004342319,58.6068,37.210106,3.880336,0.19274527,3.2548443e-05,0.0075938255,2.2064571,0.8950282,0.00019078168,96.69795
cashier_40 years old_43.png,34,Man,white,happy,1.0,0.010067866,99.98993,0.056806117,0.16937087,0.023225728,74.42273,11.039498,14.288373,1.3883257e-05,1.8752585e-08,0.00054761174,71.03516,0.0010903436,3.9187566e-05,28.963152
cashier_40 years old_47.png,34,Man,middle eastern,neutral,1.0,0.019300917,99.980705,1.1585646,10.580441,1.196578,19.73482,50.875847,16.453747,0.3083005,1.0404554e-07,0.006792281,0.0016860034,1.5646646,1.3947782e-08,98.11856
cashier_40 years old_41.png,32,Man,white,happy,1.0,0.02429362,99.97571,1.842316e-07,6.6358293e-06,2.4454843e-08,99.664795,0.2538808,0.081315845,0.007200465,3.1189074e-08,1.1743355e-05,82.20728,0.23593155,6.5194305e-05,17.549503
cashier_40 years old_31.png,36,Man,white,neutral,1.0,0.0025662123,99.99744,0.0017085598,0.05733671,0.003696579,91.48442,6.584488,1.8683549,0.061706442,1.028945e-11,6.2193146e-07,18.675833,0.0029550216,1.0816087e-07,81.25951
cashier_40 years old_13.png,41,Man,white,happy,1.0,0.02885657,99.971146,3.566096,7.0316358,3.0705695,32.33126,22.44678,31.553656,0.3828686,1.3202781e-06,0.004891225,76.4852,0.09118125,0.007898145,23.027958
cashier_40 years old_30.png,39,Man,middle eastern,neutral,1.0,0.007805876,99.992195,0.019860195,1.3929702,0.045360446,32.13202,58.911674,7.4981155,8.564132,4.1759936e-08,0.004776411,0.003831393,1.2787864,1.0329979e-05,90.14847
cashier_40 years old_39.png,37,Man,white,neutral,1.0,0.00096643023,99.99903,1.4969124,4.3360972,1.2464882,34.852207,26.431196,31.637093,5.5903006,1.6484786e-05,0.014953228,0.2379201,8.72993,0.00089922117,85.42598
cashier_40 years old_22.png,37,Man,middle eastern,happy,1.0,0.00077228126,99.99922,0.2502786,12.042379,0.5426848,5.6464486,67.735634,13.7825775,0.0057872934,1.4772493e-08,4.8685302e-05,68.64303,0.012454063,0.0013000831,31.337387
cashier_40 years old_34.png,47,Man,white,happy,1.0,0.013590475,99.98641,0.54748535,2.701017,0.550698,47.76972,27.329647,21.101437,0.059872437,7.705131e-08,0.0007478547,84.89808,0.015081119,0.0001883695,15.026035
cashier_40 years old_28.png,41,Man,middle eastern,neutral,1.0,0.0133026205,99.986694,0.03710947,3.3498466,0.07299599,8.449405,78.92298,9.167662,3.3220112,9.949948e-07,0.13033533,0.059570715,16.060772,1.5584821e-05,80.42729
cashier_40 years old_24.png,39,Man,white,neutral,1.0,0.0075230054,99.99248,0.032297343,1.0564466,0.041536253,54.820408,33.589397,10.459917,27.362974,0.00016422695,0.4179897,0.04399267,34.290833,0.0008122434,37.883244
cashier_40 years old_4.png,47,Man,middle eastern,neutral,1.0,0.00036282474,99.99964,0.11939313,9.45151,0.21421981,8.681929,67.04141,14.491536,2.6632416,1.07524855e-07,0.0004090227,16.2478,0.78774536,0.000266178,80.300545
cashier_40 years old_49.png,44,Man,middle eastern,angry,1.0,0.0061942176,99.993805,0.09078574,4.5920453,0.15708046,23.34973,59.80302,12.0073395,59.726215,1.6446077e-06,0.024213351,2.527268,1.695611,0.00022954623,36.026463
cashier_40 years old_11.png,40,Man,white,neutral,1.0,0.0016953204,99.99831,4.3854127,7.840354,5.6145353,29.013569,27.892986,25.253143,12.7546835,6.9261846e-06,0.52271897,0.3829268,7.8816056,0.0007655739,78.45729
cashier_40 years old_16.png,36,Man,white,neutral,1.0,0.007362819,99.99263,0.26401734,0.52782923,0.06961167,69.38546,13.40124,16.35184,29.448065,0.0015753448,0.48848173,2.0534413,8.925672,0.012093047,59.070675
cashier_40 years old_29.png,48,Man,white,neutral,1.0,0.0022266412,99.99777,0.042569485,1.4617229,0.0673147,56.02648,32.131622,10.2702875,17.376991,1.9153173,26.454844,12.5321455,3.541627,1.506674,36.672405
cashier_40 years old_25.png,40,Man,white,angry,1.0,0.011512511,99.98849,0.02452697,0.16375533,0.011272054,76.90122,15.641113,7.2581005,53.96785,0.005268712,0.41530514,0.002678153,18.574923,0.00037569692,27.0336
cashier_40 years old_27.png,48,Man,white,neutral,1.0,0.0013448353,99.99865,0.0018463383,0.03382066,0.0009931877,86.87364,8.896924,4.192774,20.407278,6.208532e-06,0.2663313,0.17555942,14.448955,0.0009867921,64.70088
