image,age_insightface,gender_insightface
chef_20 years old_1.png,25,1
chef_20 years old_2.png,23,1
chef_20 years old_41.png,24,1
chef_20 years old_23.png,26,1
chef_20 years old_5.png,24,1
chef_20 years old_11.png,23,1
chef_20 years old_37.png,25,1
chef_20 years old_43.png,29,1
chef_20 years old_46.png,26,1
chef_20 years old_36.png,30,1
chef_20 years old_17.png,27,1
chef_20 years old_8.png,25,1
chef_20 years old_25.png,28,1
chef_20 years old_33.png,28,1
chef_20 years old_9.png,27,1
chef_20 years old_12.png,26,1
chef_20 years old_0.png,28,1
chef_20 years old_38.png,24,1
chef_20 years old_31.png,26,1
chef_20 years old_35.png,24,1
chef_20 years old_39.png,26,1
chef_20 years old_40.png,25,1
chef_20 years old_47.png,35,1
chef_20 years old_13.png,23,1
chef_20 years old_32.png,25,1
chef_20 years old_29.png,24,1
chef_20 years old_10.png,22,1
chef_20 years old_6.png,27,1
chef_20 years old_7.png,29,1
chef_20 years old_4.png,23,1
chef_20 years old_16.png,23,1
chef_20 years old_42.png,23,1
chef_20 years old_21.png,25,1
chef_20 years old_18.png,39,1
chef_20 years old_48.png,22,1
chef_20 years old_19.png,22,1
chef_20 years old_28.png,25,1
chef_20 years old_30.png,28,1
chef_20 years old_3.png,27,1
chef_20 years old_20.png,27,1
chef_20 years old_49.png,26,1
chef_20 years old_22.png,30,1
chef_20 years old_44.png,25,1
chef_20 years old_34.png,30,1
chef_20 years old_45.png,26,1
chef_20 years old_27.png,25,1
chef_20 years old_14.png,26,1
chef_20 years old_24.png,26,1
chef_20 years old_15.png,34,1
chef_20 years old_26.png,29,1
