image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
professional athlete_indian_prompt_0_43.png,32,Man,indian,neutral,1.0,0.0030288484,99.99697,0.00074381975,99.33519,0.11648927,0.03471731,0.13288948,0.37996107,9.0469104e-05,1.1592839e-20,9.675488e-10,2.9961288,2.8953564e-06,1.2043282e-07,97.00377
professional athlete_indian_prompt_1_45.png,27,Man,indian,neutral,1.0,0.0013808475,99.99862,0.0041354317,97.556,2.2684045,0.006952465,0.012337232,0.1521701,13.059744,2.5688343e-09,0.0012008353,0.008182807,0.7545241,0.00011269753,86.17623
professional athlete_indian_prompt_1_44.png,38,Man,indian,angry,1.0,0.0042969077,99.99571,0.7183655,66.12683,13.853643,2.5363417,4.124533,12.64029,37.557076,0.0005049349,19.731386,0.09211243,9.347712,2.7964263e-05,33.271183
professional athlete_indian_prompt_0_11.png,31,Man,indian,neutral,1.0,0.012801062,99.9872,1.022836,58.73147,4.4085894,5.2827454,13.665399,16.888968,9.503516,1.279955e-09,4.8026868e-05,0.0004409916,1.3814123,4.008318e-08,89.114586
professional athlete_indian_prompt_0_27.png,31,Man,indian,neutral,1.0,0.0009149564,99.999084,0.012178683,96.43591,0.5539148,0.20907195,1.2717346,1.517199,45.838257,7.1606456e-07,0.007465803,1.2347803,1.0330538,0.0005166735,51.88593
professional athlete_indian_prompt_0_33.png,29,Man,black,sad,1.0,0.011003405,99.989,0.09467655,11.2691145,88.29637,0.0025737816,0.0015475544,0.33571404,15.771236,5.8777277e-05,18.514757,0.04077704,45.99223,0.012137564,19.668798
professional athlete_indian_prompt_0_46.png,25,Man,indian,neutral,1.0,0.0011210386,99.99888,1.1285462,76.377426,3.7113059,1.9016247,3.575325,13.30577,0.74230677,6.564289e-15,4.4335407e-06,4.067496,0.00073683314,1.4005309e-05,95.189445
professional athlete_indian_prompt_0_19.png,27,Man,indian,neutral,1.0,0.014412732,99.98559,0.21556556,81.20269,1.5734797,1.7269994,5.7563696,9.524901,0.94938296,2.5453755e-06,0.18710636,0.025370196,5.561837,0.0032848304,93.27302
professional athlete_indian_prompt_0_36.png,31,Man,indian,neutral,1.0,0.0011211562,99.99888,0.10996666,78.86878,4.137696,1.2617506,5.0716653,10.550139,8.332099,3.5500198e-05,0.77898526,0.07550619,18.745878,0.02031611,72.04718
professional athlete_indian_prompt_1_13.png,31,Man,indian,neutral,1.0,0.0022151214,99.99778,0.0012083431,98.58566,1.1598712,0.0049725296,0.014389671,0.23389298,0.9977721,1.03579545e-08,0.021096341,0.13315336,2.7738845,0.0006144466,96.07349
professional athlete_indian_prompt_1_17.png,32,Man,indian,neutral,1.0,0.0004004773,99.999596,0.00982023,94.863144,0.72874266,0.21581589,1.5329674,2.649506,10.923228,2.5112099e-08,0.3110849,0.0012136478,30.344734,9.938121e-06,58.419727
professional athlete_indian_prompt_1_34.png,33,Man,indian,neutral,1.0,0.00905734,99.99094,0.003004432,99.00978,0.2645744,0.010539525,0.010698874,0.70140487,19.045574,2.699065e-05,0.148998,0.040286552,20.536861,0.0026053605,60.225647
professional athlete_indian_prompt_0_22.png,28,Man,indian,neutral,1.0,0.0010973302,99.9989,0.04495968,86.33341,11.953942,0.057579786,0.09608257,1.5140228,0.06849805,2.2460649e-10,0.00014417172,0.005889486,0.11574242,1.048224e-05,99.80972
professional athlete_indian_prompt_1_42.png,29,Man,indian,neutral,1.0,0.0049900203,99.995,0.0007667182,99.44016,0.14722906,0.0067055305,0.013977512,0.39115924,0.5211744,1.9907178e-07,0.0013123268,9.960165,0.8643996,0.00017804725,88.65277
professional athlete_indian_prompt_1_6.png,31,Man,indian,neutral,1.0,0.0001419082,99.999855,0.23267448,71.696304,7.412995,2.2529874,6.066654,12.338385,8.347114,5.0947985e-08,0.0008646205,0.0009037093,8.345125,1.5542476e-07,83.306
professional athlete_indian_prompt_0_16.png,31,Man,indian,neutral,1.0,0.00045978767,99.999535,1.565781,49.73151,3.366872,6.2594934,11.048312,28.028036,29.270168,5.827366e-05,8.840995,1.0415616,11.406019,0.048279725,49.392918
professional athlete_indian_prompt_1_10.png,34,Man,indian,neutral,1.0,0.011535027,99.988464,0.08252783,96.105995,0.8673482,0.12701285,0.20983131,2.6072845,0.0029714892,1.5636155e-15,2.4739736e-06,1.3484725e-05,0.00090706313,2.8997507e-08,99.99611
professional athlete_indian_prompt_1_14.png,26,Man,indian,neutral,1.0,0.0018230341,99.99818,0.18464991,71.692375,2.7617068,4.7063036,8.942323,11.712635,0.8956677,3.2703316e-08,0.0033768169,0.16722015,1.5705388,8.707193e-07,97.36319
professional athlete_indian_prompt_1_15.png,30,Man,indian,neutral,1.0,0.00018263765,99.999825,0.061062437,93.41489,3.2868552,0.15908524,0.44292602,2.6351857,8.497106,7.0651685e-09,0.05244683,0.002877922,8.234184,1.3647064e-05,83.21337
professional athlete_indian_prompt_1_48.png,29,Man,indian,neutral,1.0,0.0012390848,99.998764,1.8341597,61.607952,5.7327366,3.7169733,8.325327,18.78285,3.6399908,2.2100446e-10,0.002122124,0.012872676,2.2424254,1.963224e-05,94.10257
professional athlete_indian_prompt_0_18.png,32,Man,indian,neutral,1.0,0.0019404889,99.998055,0.017062757,98.48636,0.82615614,0.03372458,0.029048514,0.6076506,13.196284,3.8836954e-13,0.00014570315,0.0015598196,0.05773657,8.7363117e-10,86.74427
