face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_1_10_face0.png,White,White,Male,30-39,"[9.6174675e-01 2.1091152e-03 2.4762863e-02 1.5301473e-05 1.6828500e-04
 2.2466283e-03 8.9510521e-03]",[9.8648220e-01 8.2337754e-03 7.6470419e-04 4.5191897e-03],[9.9999964e-01 3.6308202e-07],"[1.9865527e-06 2.2428678e-05 1.0054979e-03 5.8443461e-02 5.1049674e-01
 3.9527321e-01 3.4281798e-02 4.6727550e-04 7.5945641e-06]","[(311, 136) (572, 398)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_1_36_face0.png,White,White,Male,40-49,"[9.8754424e-01 1.0439786e-03 3.8918073e-03 1.0729769e-05 4.6678095e-05
 2.2790847e-04 7.2345990e-03]",[9.9364537e-01 1.5369768e-03 2.3303980e-04 4.5846980e-03],[9.9999988e-01 1.6312937e-07],"[1.35612152e-06 2.75740581e-06 1.09938446e-04 3.93778738e-03
 1.23634815e-01 5.93740165e-01 2.70872176e-01 7.62920827e-03
 7.18092997e-05]","[(326, 267) (640, 581)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_1_25_face0.png,White,White,Male,50-59,"[9.5679814e-01 3.8414478e-04 1.8705171e-02 5.5402819e-05 1.7939185e-04
 2.7367207e-03 2.1141017e-02]",[9.4052917e-01 1.9849611e-03 9.3870040e-05 5.7392016e-02],[9.999985e-01 1.531314e-06],"[1.7020208e-06 1.3261662e-06 2.6798834e-05 1.1169201e-04 7.2172089e-03
 2.0510393e-01 7.3866469e-01 4.8253424e-02 6.1921217e-04]","[(302, 165) (677, 540)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_0_29_face0.png,White,White,Male,40-49,"[9.3959266e-01 2.5819294e-04 8.9458665e-03 6.1153507e-05 1.8713294e-04
 1.3644206e-03 4.9590655e-02]",[0.9797596  0.00131741 0.00236459 0.0165585 ],[0.99874765 0.00125236],"[1.20602745e-05 4.43732170e-05 9.97379655e-04 1.66826285e-02
 1.66335955e-01 4.44057107e-01 3.55762690e-01 1.56703815e-02
 4.37417824e-04]","[(294, 305) (744, 756)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_0_12_face0.png,White,White,Male,40-49,"[9.8521429e-01 7.8559358e-05 8.3628092e-03 2.9929546e-05 9.8887918e-05
 1.3657708e-03 4.8497543e-03]",[9.86935616e-01 1.70232801e-04 3.30312119e-04 1.25637995e-02],[9.9972516e-01 2.7481481e-04],"[5.6197132e-06 1.1506938e-05 2.4167240e-04 3.6192802e-03 6.1381213e-02
 4.6075249e-01 4.5632496e-01 1.7217260e-02 4.4602825e-04]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_0_48_face6.png,White,White,Male,50-59,"[9.7750562e-01 6.1520383e-05 7.9257153e-03 1.1703321e-05 4.9986316e-05
 1.1534265e-03 1.3292006e-02]",[9.9602866e-01 5.6537654e-05 2.6814497e-04 3.6467502e-03],[9.999110e-01 8.902527e-05],"[4.8453271e-06 1.9456385e-05 8.9435250e-04 6.5136543e-03 8.5134588e-02
 4.2685005e-01 4.6382079e-01 1.6578564e-02 1.8371349e-04]","[(426, 88) (551, 215)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_1_31_face0.png,White,Indian,Male,40-49,"[5.0343794e-01 3.2373916e-02 4.1143572e-01 1.3520513e-04 1.1469760e-03
 4.1552812e-02 9.9174799e-03]",[0.46488744 0.06574564 0.00088616 0.46848068],[9.9996966e-01 3.0399344e-05],"[7.2152598e-06 6.3168745e-06 3.3063907e-04 3.1717750e-03 8.9918233e-02
 5.1926154e-01 3.7484160e-01 1.2361943e-02 1.0083537e-04]","[(302, 316) (677, 692)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_0_42_face0.png,White,White,Male,40-49,"[9.9805802e-01 3.7474252e-05 1.0258661e-03 1.1060513e-06 1.2233087e-05
 2.8662483e-04 5.7870819e-04]",[9.913133e-01 7.700171e-04 7.203010e-05 7.844675e-03],[9.9998420e-01 1.5794472e-05],"[5.3256349e-07 6.3642588e-06 4.2346097e-04 8.0394568e-03 1.5963736e-01
 5.9814692e-01 2.3044516e-01 3.2334509e-03 6.7305060e-05]","[(62, 718) (213, 869)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_0_38_face0.png,White,White,Male,50-59,"[0.82423466 0.00181911 0.09840052 0.00155682 0.01057485 0.03387194
 0.02954211]",[9.6828336e-01 2.5475325e-04 2.1184853e-03 2.9343469e-02],[9.9990946e-01 9.0473484e-05],"[2.0531534e-05 5.0532864e-05 5.0610543e-04 9.3683746e-04 1.4099710e-02
 1.9446646e-01 6.1068326e-01 1.7346470e-01 5.7719313e-03]","[(67, 85) (172, 190)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_professional athlete_middle aged/professional athlete_middle aged_prompt_1_49_face0.png,White,White,Male,50-59,"[8.3884364e-01 7.1631931e-03 1.4251615e-01 7.6829927e-04 4.2694313e-03
 2.3879681e-03 4.0512909e-03]",[0.9703862  0.00377123 0.00162611 0.02421651],[9.9998587e-01 1.4119255e-05],"[4.78463744e-06 1.25333345e-05 4.37861658e-04 2.54307478e-03
 5.96627370e-02 4.36824232e-01 4.77603883e-01 2.26785354e-02
 2.32285471e-04]","[(56, 445) (181, 570)]"
