image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
writer_20 years old_21.png,21,Man,white,neutral,1.0,0.6599275,99.34007,0.041700236,0.14319368,0.0041415063,77.48179,13.896776,8.432396,1.2831469,6.1307546e-06,0.16524869,0.01748637,8.680495,0.017720778,89.83589
writer_20 years old_6.png,23,Man,white,neutral,1.0,0.1634265,99.83657,7.35744e-05,2.9478257e-05,8.3254315e-07,99.53033,0.11524525,0.35433435,0.025810566,7.3448414e-13,6.113446e-05,0.00039231285,0.21959923,5.0032077e-06,99.75413
writer_20 years old_36.png,20,Man,white,neutral,1.0,0.18249768,99.817505,0.023740228,0.11261014,0.0028906104,77.461945,12.857602,9.54121,0.0012256227,1.9005227e-12,8.83758e-05,1.4438477e-06,0.08957975,1.7764671e-07,99.9091
writer_20 years old_29.png,24,Man,white,neutral,1.0,0.021600729,99.97841,0.07551176,0.15823513,0.013398021,80.134125,12.425938,7.1927943,3.6819165,5.4032543e-09,0.065656476,0.00025240242,8.034533,1.1465704e-05,88.217636
writer_20 years old_32.png,21,Man,white,angry,1.0,0.285836,99.714165,0.00087365886,0.002101928,1.5770283e-05,95.7854,2.8100896,1.4015185,55.238487,3.0118338e-07,0.32616073,0.22012158,1.9646357,0.003529448,42.247066
writer_20 years old_26.png,27,Man,middle eastern,fear,1.0,0.57054555,99.42946,7.0003405,17.865353,2.7111738,19.26914,29.854216,23.29977,0.096598074,1.367155e-05,99.12975,0.07098967,0.010139077,0.54539746,0.1471103
writer_20 years old_14.png,29,Man,white,neutral,1.0,0.4336465,99.56636,0.0022615998,0.0128746545,0.00023949606,86.75348,7.9120593,5.319089,0.04652407,8.363979e-12,0.071792714,0.0006351765,2.0883303,0.001293572,97.79143
writer_20 years old_38.png,23,Man,white,neutral,1.0,0.27065137,99.729355,0.6889011,0.7203687,0.0802383,70.455635,14.224846,13.830014,10.135182,3.3640867e-05,0.345316,0.013342744,9.379606,0.0002675484,80.12625
writer_20 years old_12.png,22,Man,white,neutral,1.0,4.0425696,95.95743,1.0916742,1.606173,0.13351211,52.16681,21.850082,23.151756,0.035708442,2.009836e-12,5.8831723e-05,7.072674e-06,0.15237257,9.6719805e-09,99.81185
writer_20 years old_9.png,25,Man,white,neutral,1.0,0.041729126,99.95827,2.7835604e-05,4.5443776e-05,3.6599573e-07,99.182175,0.31848723,0.4992647,28.369383,1.209159e-05,0.18865477,4.215356e-05,15.255769,9.800159e-06,56.186127
writer_20 years old_31.png,23,Man,white,neutral,1.0,0.123807706,99.87619,0.101385884,0.31407565,0.020441357,67.654976,15.763484,16.145632,4.5206923,7.890467e-06,0.5237002,0.0006981772,41.483288,2.301625e-05,53.471592
writer_20 years old_48.png,20,Man,white,neutral,1.0,1.9592986,98.0407,0.34992084,0.5697163,0.033916138,64.817955,16.861202,17.367294,2.4999968e-08,2.6000807e-16,5.856167e-08,0.49371976,0.00243273,1.1091674e-09,99.503845
writer_20 years old_35.png,20,Man,white,neutral,1.0,0.1868327,99.81317,0.08093162,0.07388365,0.009205791,87.26415,5.2645893,7.3072414,16.1568,1.5335997e-06,0.75664604,0.00058018655,10.718382,2.6208867e-05,72.36757
writer_20 years old_27.png,21,Man,white,neutral,1.0,0.18582422,99.81418,0.4197366,1.9173518,0.10740184,50.682434,29.272835,17.600248,3.0318512e-05,9.370235e-18,1.6566013e-05,1.1864102,1.8918963e-05,0.0050075096,98.80852
writer_20 years old_4.png,25,Man,white,neutral,1.0,0.3834,99.6166,5.198202,1.9418253,0.53477913,55.47904,17.550493,19.295664,3.3331041,0.023524512,2.0076442,5.782599,19.200886,18.578772,51.073475
writer_20 years old_2.png,21,Man,white,neutral,1.0,0.6475882,99.35241,0.8039679,1.374773,0.10017749,53.80045,22.930607,20.99003,0.07508945,3.0736275e-11,3.5877478e-05,0.00032157742,0.013262402,6.422174e-08,99.91129
writer_20 years old_0.png,22,Man,white,neutral,1.0,0.83431286,99.16569,0.9275097,2.0638702,0.30041352,46.107048,23.02269,27.578468,0.00010896043,7.355329e-18,5.459985e-06,1.5453023e-07,0.016154317,2.248681e-10,99.983734
writer_20 years old_41.png,25,Man,white,sad,1.0,0.59070414,99.4093,0.0008549818,0.00083659426,8.940938e-05,96.67664,1.1876493,2.133932,1.7571721,6.24914e-07,0.098855115,0.046857342,93.21358,0.0033283073,4.8802123
writer_20 years old_17.png,25,Man,white,neutral,1.0,0.119321525,99.880684,0.025274025,0.044200975,0.0038149995,86.82764,7.122171,5.976905,0.33861342,6.9879644e-09,0.14772046,8.847629e-05,3.382834,9.577695e-07,96.13074
writer_20 years old_28.png,23,Man,white,neutral,1.0,0.10146527,99.89854,0.002872135,0.0047870902,0.00023375971,92.87818,1.9431171,5.1708126,1.7031761,1.2806981e-06,6.8478136,0.0003269782,44.845478,0.00016035575,46.603043
