group,category,percentage
age,Middle,79.48717948717949
age,Old,20.51282051282051
age,Young,0.0
gender,Female,38.46153846153847
gender,Male,61.53846153846154
intersection,Middle_Female_Asian,15.384615384615383
intersection,Middle_Female_Black,7.6923076923076925
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,2.564102564102564
intersection,Middle_Male_Asian,5.128205128205128
intersection,Middle_Male_Black,17.94871794871795
intersection,Middle_Male_Indian,20.51282051282051
intersection,Middle_Male_White,10.256410256410255
intersection,Old_Female_Asian,7.6923076923076925
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,5.128205128205128
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,2.564102564102564
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,5.128205128205128
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,0.0
race,Asian,30.76923076923077
race,Black,25.64102564102564
race,Indian,25.64102564102564
race,White,17.94871794871795
