group,category,percentage
age,Middle,3.8461538461538463
age,Old,0.0
age,Young,96.15384615384616
gender,Female,55.76923076923077
gender,Male,44.230769230769226
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,3.8461538461538463
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,0.0
intersection,Middle_Male_White,0.0
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,21.15384615384616
intersection,Young_Female_Black,13.461538461538462
intersection,Young_Female_Indian,7.6923076923076925
intersection,Young_Female_White,13.461538461538462
intersection,Young_Male_Asian,3.8461538461538463
intersection,Young_Male_Black,7.6923076923076925
intersection,Young_Male_Indian,15.384615384615383
intersection,Young_Male_White,13.461538461538462
race,Asian,28.846153846153843
race,Black,21.15384615384616
race,Indian,23.07692307692308
race,White,26.923076923076923
