group,category,percentage
age,Middle,69.33333333333334
age,Old,9.333333333333334
age,Young,21.333333333333336
gender,Female,0.0
gender,Male,100.0
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,30.666666666666664
intersection,Middle_Male_Black,13.333333333333334
intersection,Middle_Male_Indian,10.666666666666668
intersection,Middle_Male_White,14.666666666666666
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,2.666666666666667
intersection,Old_Male_White,6.666666666666667
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,4.0
intersection,Young_Male_Black,9.333333333333334
intersection,Young_Male_Indian,6.666666666666667
intersection,Young_Male_White,1.3333333333333337
race,Asian,34.66666666666667
race,Black,22.666666666666664
race,Indian,20.0
race,White,22.666666666666664
