group,category,percentage
age,Middle,88.37209302325581
age,Old,0.0
age,Young,11.627906976744184
gender,Female,41.86046511627907
gender,Male,58.13953488372093
intersection,Middle_Female_Asian,11.627906976744184
intersection,Middle_Female_Black,9.30232558139535
intersection,Middle_Female_Indian,4.651162790697675
intersection,Middle_Female_White,9.30232558139535
intersection,Middle_Male_Asian,9.30232558139535
intersection,Middle_Male_Black,9.30232558139535
intersection,Middle_Male_Indian,23.25581395348837
intersection,Middle_Male_White,11.627906976744184
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,2.3255813953488373
intersection,Young_Female_Black,4.651162790697675
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,2.3255813953488373
intersection,Young_Male_Indian,2.3255813953488373
intersection,Young_Male_White,0.0
race,Asian,23.25581395348837
race,Black,25.58139534883721
race,Indian,30.23255813953488
race,White,20.930232558139537
