group,category,percentage
age,Middle,41.26984126984127
age,Old,19.84126984126984
age,Young,38.88888888888889
gender,Female,42.85714285714285
gender,Male,57.14285714285714
intersection,Middle_Female_Asian,5.555555555555555
intersection,Middle_Female_Black,3.968253968253968
intersection,Middle_Female_Indian,2.380952380952381
intersection,Middle_Female_White,4.761904761904762
intersection,Middle_Male_Asian,7.142857142857142
intersection,Middle_Male_Black,7.936507936507936
intersection,Middle_Male_Indian,7.142857142857142
intersection,Middle_Male_White,2.380952380952381
intersection,Old_Female_Asian,3.1746031746031744
intersection,Old_Female_Black,0.7936507936507936
intersection,Old_Female_Indian,1.5873015873015872
intersection,Old_Female_White,2.380952380952381
intersection,Old_Male_Asian,3.1746031746031744
intersection,Old_Male_Black,3.1746031746031744
intersection,Old_Male_Indian,3.1746031746031744
intersection,Old_Male_White,2.380952380952381
intersection,Young_Female_Asian,5.555555555555555
intersection,Young_Female_Black,4.761904761904762
intersection,Young_Female_Indian,1.5873015873015872
intersection,Young_Female_White,6.349206349206349
intersection,Young_Male_Asian,3.968253968253968
intersection,Young_Male_Black,8.73015873015873
intersection,Young_Male_Indian,2.380952380952381
intersection,Young_Male_White,5.555555555555555
race,Asian,28.57142857142857
race,Black,29.365079365079367
race,Indian,18.253968253968253
race,White,23.809523809523807
