group,category,percentage
age,Middle,25.0
age,Old,75.0
age,Young,0.0
gender,Female,60.41666666666666
gender,Male,39.58333333333333
intersection,Middle_Female_Asian,6.25
intersection,Middle_Female_Black,10.416666666666668
intersection,Middle_Female_Indian,2.083333333333333
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,4.166666666666666
intersection,Middle_Male_White,2.083333333333333
intersection,Old_Female_Asian,18.75
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,8.333333333333332
intersection,Old_Female_White,14.583333333333334
intersection,Old_Male_Asian,14.583333333333334
intersection,Old_Male_Black,10.416666666666668
intersection,Old_Male_Indian,2.083333333333333
intersection,Old_Male_White,6.25
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,0.0
race,Asian,39.58333333333333
race,Black,20.833333333333336
race,Indian,16.666666666666664
race,White,22.916666666666664
