group,category,percentage
age,Middle,2.5
age,Old,97.5
age,Young,0.0
gender,Female,35.0
gender,Male,65.0
intersection,Middle_Female_Asian,2.5
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,0.0
intersection,Middle_Male_White,0.0
intersection,Old_Female_Asian,10.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,5.0
intersection,Old_Female_White,17.5
intersection,Old_Male_Asian,12.5
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,20.0
intersection,Old_Male_White,32.5
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,0.0
race,Asian,25.0
race,Black,0.0
race,Indian,25.0
race,White,50.0
