group,category,percentage
age,Middle,97.5
age,Old,0.0
age,Young,2.5
gender,Female,50.0
gender,Male,50.0
intersection,Middle_Female_Asian,10.0
intersection,Middle_Female_Black,15.0
intersection,Middle_Female_Indian,7.5
intersection,Middle_Female_White,15.0
intersection,Middle_Male_Asian,7.5
intersection,Middle_Male_Black,10.0
intersection,Middle_Male_Indian,17.5
intersection,Middle_Male_White,15.0
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,0.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,2.5
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,0.0
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,0.0
race,Asian,17.5
race,Black,25.0
race,Indian,25.0
race,White,32.5
