group,category,percentage
age,Middle,45.0
age,Old,28.57142857142857
age,Young,26.42857142857143
gender,Female,40.71428571428572
gender,Male,59.285714285714285
intersection,Middle_Female_Asian,3.571428571428571
intersection,Middle_Female_Black,2.142857142857143
intersection,Middle_Female_Indian,2.857142857142857
intersection,Middle_Female_White,4.285714285714286
intersection,Middle_Male_Asian,5.714285714285714
intersection,Middle_Male_Black,7.142857142857142
intersection,Middle_Male_Indian,10.714285714285714
intersection,Middle_Male_White,8.571428571428571
intersection,Old_Female_Asian,6.428571428571428
intersection,Old_Female_Black,2.142857142857143
intersection,Old_Female_Indian,2.142857142857143
intersection,Old_Female_White,4.285714285714286
intersection,Old_Male_Asian,4.285714285714286
intersection,Old_Male_Black,1.4285714285714286
intersection,Old_Male_Indian,2.857142857142857
intersection,Old_Male_White,5.0
intersection,Young_Female_Asian,5.0
intersection,Young_Female_Black,2.857142857142857
intersection,Young_Female_Indian,3.571428571428571
intersection,Young_Female_White,1.4285714285714286
intersection,Young_Male_Asian,2.857142857142857
intersection,Young_Male_Black,5.714285714285714
intersection,Young_Male_Indian,2.142857142857143
intersection,Young_Male_White,2.857142857142857
race,Asian,27.857142857142858
race,Black,21.428571428571427
race,Indian,24.285714285714285
race,White,26.42857142857143
