group,category,percentage
age,Middle,51.51515151515152
age,Old,18.181818181818183
age,Young,30.303030303030305
gender,Female,36.36363636363637
gender,Male,63.63636363636363
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,18.181818181818183
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,33.33333333333333
intersection,Middle_Male_Indian,0.0
intersection,Middle_Male_White,0.0
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,6.0606060606060606
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,12.12121212121212
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,12.12121212121212
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,18.181818181818183
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,0.0
race,Asian,0.0
race,Black,100.0
race,Indian,0.0
race,White,0.0
