group,category,percentage
age,Middle,2.7777777777777777
age,Old,0.0
age,Young,97.2222222222222
gender,Female,50.0
gender,Male,50.0
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,2.7777777777777777
intersection,Middle_Male_White,0.0
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,11.11111111111111
intersection,Young_Female_Black,11.11111111111111
intersection,Young_Female_Indian,11.11111111111111
intersection,Young_Female_White,16.666666666666664
intersection,Young_Male_Asian,13.88888888888889
intersection,Young_Male_Black,13.88888888888889
intersection,Young_Male_Indian,11.11111111111111
intersection,Young_Male_White,8.333333333333332
race,Asian,25.0
race,Black,25.0
race,Indian,25.0
race,White,25.0
