image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"writer_female, elderly, indian_27.png",Female,Old,Indian,Female,Female,Female,True,[2.7109103e-04 9.9972898e-01],"[0.06391683, 0.9360831500000001]",70+,46,59.0,Old,Middle,False,"[1.3824448e-06 2.0917669e-05 1.8662409e-05 2.2001661e-06 1.7137305e-05
 2.2646021e-04 1.0572500e-02 2.4974748e-01 7.3939323e-01]",29,Indian,Indian,True,0,[248 215 698 665]
"writer_female, elderly, indian_94.png",Female,Old,Indian,Female,Female,Female,True,[7.687701e-04 9.992313e-01],"[0.49846703, 0.50153297]",70+,45,78.0,Old,Old,False,"[9.0196841e-07 1.4028846e-05 1.1025536e-05 1.5775634e-06 1.1780846e-05
 1.0250038e-04 3.9461786e-03 1.2362416e-01 8.7228787e-01]",30,Indian,Indian,True,0,[339 202 715 578]
"writer_female, middle aged, indian_115.png",Female,Middle,Indian,Female,Female,Female,True,[3.1902226e-05 9.9996805e-01],"[0.41930354999999997, 0.58069653]",50-59,34,72.0,Middle,Old,True,"[5.2592563e-06 6.1914950e-05 3.3780638e-04 8.1199111e-04 3.0044870e-02
 2.7597597e-01 4.9808687e-01 1.8556049e-01 9.1147600e-03]",21,Indian,Indian,True,0,[294 261 744 711]
"writer_female, middle aged, indian_117.png",Female,Middle,Indian,Female,Female,Female,True,[8.0618775e-05 9.9991935e-01],"[0.15075418000000002, 0.8492457600000001]",40-49,33,61.0,Middle,Old,True,"[8.0190637e-07 1.9960822e-05 3.8243539e-04 2.0502377e-03 7.0092686e-02
 4.2421165e-01 4.0627584e-01 9.3175620e-02 3.7907807e-03]",12,Indian,Indian,True,0,[248 305 698 756]
"writer_female, middle aged, indian_133.png",Female,Middle,Indian,Female,Female,Female,True,[1.2986676e-04 9.9987012e-01],"[0.11684597000000001, 0.8831541]",40-49,32,33.0,Middle,Middle,True,"[2.0224977e-06 5.0701248e-05 7.1590143e-04 1.5781099e-02 2.5121108e-01
 5.6778818e-01 1.5552934e-01 8.7978365e-03 1.2385195e-04]",13,Indian,Indian,True,0,[302 279 677 654]
"writer_female, young, indian_22.png",Female,Young,Indian,Female,Female,Female,True,[1.163133e-05 9.999884e-01],"[0.06813981499999999, 0.9318601]",10-19,30,21.0,Young,Young,False,"[2.9708829e-07 4.3893777e-02 8.8754016e-01 6.7315169e-02 1.2409163e-03
 9.6315243e-06 1.5505787e-08 1.4624932e-09 2.6151699e-11]",15,Indian,Indian,True,0,[302 240 677 615]
"writer_female, young, indian_95.png",Female,Young,Indian,Female,Female,Female,True,[1.0304078e-05 9.9998969e-01],"[0.21325502, 0.7867449000000001]",10-19,30,21.0,Young,Young,False,"[8.5056364e-08 1.6624598e-02 8.2832223e-01 1.5351766e-01 1.5270635e-03
 8.3477926e-06 1.7554633e-08 1.8931994e-09 6.5253948e-11]",15,Indian,White,False,0,[302 240 677 615]
"writer_male, elderly, indian_102.png",Male,Middle,Indian,Male,Male,Male,True,[9.9999285e-01 7.1715558e-06],"[0.9997676, 0.00023243584000000002]",50-59,36,74.0,Middle,Old,True,"[8.7959688e-06 5.1745439e-05 1.0252725e-03 1.1778801e-03 9.0014944e-03
 1.1397403e-01 6.2940550e-01 2.3714888e-01 8.2064671e-03]",19,Indian,Indian,True,0,[202 183 743 724]
"writer_male, elderly, indian_131.png",Male,Old,Indian,Male,Male,Male,True,[9.9981093e-01 1.8903468e-04],"[0.99955505, 0.00044495154]",60-69,47,72.0,Old,Old,False,"[3.1570649e-05 1.3666840e-04 4.5850905e-04 1.1687170e-04 6.5862207e-04
 1.6863305e-02 2.9626384e-01 6.2708950e-01 5.8381096e-02]",18,Indian,Indian,True,0,[248 215 698 665]
"writer_male, elderly, indian_4.png",Male,Old,Indian,Male,Male,Male,True,[9.9999595e-01 4.0757923e-06],"[0.99860344, 0.0013966006]",60-69,47,58.0,Old,Middle,False,"[3.6121419e-06 1.4461084e-05 7.7192970e-05 4.5169887e-05 2.4216184e-04
 1.0025044e-02 2.2842827e-01 7.0612633e-01 5.5037737e-02]",18,Indian,Indian,True,0,[363 189 624 450]
