image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"doctor_female, middle aged, asian_114.png",Female,Middle,Asian,Female,Female,Female,True,[1.2597398e-05 9.9998742e-01],"[0.00018394375, 0.9998161]",30-39,36,38.0,Middle,Middle,True,"[9.1999041e-08 2.8855964e-05 7.6801800e-03 3.6552763e-01 5.6170416e-01
 6.3565783e-02 1.4148426e-03 7.7939643e-05 5.4662780e-07]",1,Asian,Asian,True,0,[302 279 677 654]
"doctor_female, middle aged, asian_128.png",Female,Middle,Asian,Female,Female,Female,True,[5.7007863e-05 9.9994302e-01],"[1.6819724e-06, 0.9999983]",30-39,44,53.0,Middle,Middle,True,"[7.1850951e-07 5.2556228e-05 1.2809529e-03 7.5793579e-02 5.2842486e-01
 3.3003274e-01 6.1108299e-02 3.2805330e-03 2.5785372e-05]",9,Asian,Asian,True,0,[358 267 670 581]
"doctor_female, middle aged, asian_145.png",Female,Middle,Asian,Female,Female,Female,True,[4.2882739e-04 9.9957114e-01],"[0.009571922, 0.9904281]",40-49,36,52.0,Middle,Middle,True,"[4.31407500e-07 1.50174965e-05 3.84936051e-04 1.68917701e-02
 2.44929910e-01 4.52517420e-01 2.47142360e-01 3.76452245e-02
 4.72922082e-04]",9,Asian,Asian,True,0,[337 136 599 398]
"doctor_female, middle aged, asian_22.png",Female,Middle,Asian,Female,Female,Female,True,[2.0369268e-06 9.9999797e-01],"[7.808221e-05, 0.99992195]",30-39,36,41.0,Middle,Middle,True,"[1.1504308e-07 2.3367094e-05 4.2600478e-03 2.8329784e-01 6.0376841e-01
 1.0491767e-01 3.5850222e-03 1.4659953e-04 9.8354701e-07]",1,Asian,Asian,True,0,[339 279 715 654]
"doctor_female, middle aged, asian_73.png",Female,Middle,Asian,Female,Female,Female,True,[9.745577e-06 9.999902e-01],"[2.7249049999999997e-08, 1.0]",30-39,53,55.0,Middle,Middle,True,"[6.0375709e-07 1.9769295e-05 1.2856328e-03 7.5570911e-02 5.4727173e-01
 3.0874532e-01 6.3236542e-02 3.8465650e-03 2.2846601e-05]",18,Asian,Asian,True,0,[302 240 677 615]
"doctor_female, middle aged, black_124.png",Female,Middle,Black,Female,Female,Female,True,[2.2535343e-04 9.9977463e-01],"[0.10244708, 0.89755295]",30-39,36,39.0,Middle,Middle,True,"[3.0375389e-07 8.9901005e-06 1.5860446e-03 1.1832091e-01 6.1166418e-01
 2.4866010e-01 1.9563701e-02 1.9361090e-04 2.2207846e-06]",1,Black,Black,True,0,[339 165 715 540]
"doctor_female, middle aged, black_3.png",Female,Middle,Black,Female,Female,Female,True,[2.5182049e-05 9.9997485e-01],"[0.0009920018, 0.999008]",30-39,32,38.0,Middle,Middle,True,"[3.2367723e-08 2.1409087e-06 9.2980807e-04 9.2498496e-02 6.8861765e-01
 2.0349376e-01 1.4322813e-02 1.3456136e-04 7.3850919e-07]",3,Black,Black,True,0,[389 235 702 549]
"doctor_female, middle aged, black_99.png",Female,Middle,Black,Female,Female,Female,True,[1.1749318e-05 9.9998826e-01],"[0.015229667, 0.9847704]",40-49,31,56.0,Middle,Middle,True,"[8.5750770e-08 1.6959016e-06 2.4083552e-04 9.1055464e-03 1.9873793e-01
 5.2604109e-01 2.5846002e-01 7.3853149e-03 2.7470765e-05]",14,Black,Black,True,0,[358 235 670 549]
"doctor_female, middle aged, indian_1.png",Female,Middle,Indian,Female,Female,Female,True,[1.9324769e-05 9.9998069e-01],"[0.001565938, 0.998434]",40-49,39,46.0,Middle,Middle,True,"[1.4059728e-07 1.4502367e-05 2.4773222e-03 7.1147792e-02 3.6061016e-01
 4.6984035e-01 9.0379462e-02 5.3159790e-03 2.1422547e-04]",6,Indian,Indian,True,0,[363 216 624 477]
"doctor_female, middle aged, indian_7.png",Female,Middle,Indian,Female,Female,Female,True,[5.7717296e-04 9.9942279e-01],"[0.00022044087000000002, 0.9997795]",40-49,34,41.0,Middle,Middle,True,"[6.3269172e-06 2.8840784e-04 6.8958709e-03 3.8012240e-02 1.7956743e-01
 3.5821939e-01 3.0527094e-01 9.4958805e-02 1.6780572e-02]",11,Indian,Indian,True,0,[ 76 135 855 915]
"doctor_female, middle aged, indian_83.png",Female,Middle,Indian,Female,Female,Female,True,[6.445814e-05 9.999355e-01],"[0.008659065, 0.9913409400000001]",40-49,35,40.0,Middle,Middle,True,"[2.4216924e-06 1.8036466e-04 4.3233926e-03 7.4993744e-02 3.8753501e-01
 3.8809910e-01 1.3618715e-01 8.4269848e-03 2.5176577e-04]",10,Indian,Indian,True,0,[363 241 624 503]
"doctor_female, middle aged, indian_97.png",Female,Middle,Indian,Female,Female,Female,True,[1.2623848e-06 9.9999875e-01],"[0.028055017, 0.97194496]",40-49,33,55.0,Middle,Middle,True,"[3.9681233e-08 3.3098772e-06 9.9173887e-04 1.5801162e-02 1.9921280e-01
 4.7247794e-01 2.9301488e-01 1.8244667e-02 2.5343322e-04]",12,Indian,Indian,True,0,[363 241 624 503]
