image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"professional athlete_female, elderly, white_119.png",Female,Old,White,Female,Female,Female,True,[6.4021784e-05 9.9993598e-01],"[0.0011262750600000001, 0.9988737000000001]",60-69,59,67.0,Old,Old,False,"[7.6567926e-07 7.7530976e-06 2.0344931e-05 1.3314225e-05 3.1264979e-04
 9.5804650e-03 1.7380041e-01 5.3023249e-01 2.8603181e-01]",6,White,White,True,0,[ 83 113 170 200]
"professional athlete_female, elderly, white_18.png",Female,Old,White,Female,Female,Female,True,[5.4295780e-04 9.9945706e-01],"[0.0014075133, 0.99859245]",70+,46,74.0,Old,Old,False,"[7.4742695e-07 4.8926386e-06 1.2364837e-05 5.6884164e-06 6.7565612e-05
 1.1197733e-03 3.9416134e-02 4.3072906e-01 5.2864373e-01]",29,White,White,True,0,[248 215 698 665]
"professional athlete_female, elderly, white_3.png",Female,Old,White,Female,Female,Female,True,[0.00109711 0.9989029 ],"[0.00057998173, 0.99942]",60-69,45,75.0,Old,Old,False,"[2.6366160e-06 2.1582779e-05 3.8933253e-05 9.2451337e-06 1.8715652e-04
 4.8478693e-03 1.4251734e-01 5.8857578e-01 2.6379943e-01]",20,White,White,True,0,[326 267 640 581]
"professional athlete_female, middle aged, white_114.png",Female,Middle,White,Female,Female,Female,True,[2.5504172e-05 9.9997449e-01],"[0.00107287176, 0.9989271]",30-39,36,45.0,Middle,Middle,True,"[8.5115005e-08 3.5080893e-06 7.6278631e-04 1.4319119e-01 6.5636313e-01
 1.8849647e-01 1.0833427e-02 3.4534032e-04 3.9669644e-06]",1,White,White,True,0,[363 241 624 503]
"professional athlete_female, middle aged, white_129.png",Female,Middle,White,Female,Female,Female,True,[9.5675081e-05 9.9990433e-01],"[0.000121667115, 0.9998783]",30-39,32,46.0,Middle,Middle,True,"[4.5570815e-08 1.0382960e-05 6.4979149e-03 3.2388425e-01 5.9903258e-01
 6.6695556e-02 3.8187006e-03 6.0068040e-05 5.8360638e-07]",3,White,White,True,0,[148 238 688 778]
"professional athlete_female, middle aged, white_143.png",Female,Middle,White,Female,Female,Female,True,[4.5705809e-05 9.9995434e-01],"[4.989559e-05, 0.99995]",30-39,32,57.0,Middle,Middle,True,"[1.4953978e-08 1.5492809e-06 1.7846168e-03 2.5231636e-01 6.5704376e-01
 8.6197428e-02 2.6258405e-03 2.9933302e-05 5.1570669e-07]",3,White,White,True,0,[263 279 640 654]
"professional athlete_female, middle aged, white_148.png",Female,Middle,White,Female,Female,Female,True,[0.00170068 0.99829936],"[0.00054198015, 0.9994580000000001]",30-39,33,57.0,Middle,Middle,True,"[2.2320828e-06 9.8134878e-05 5.7644458e-03 1.4778543e-01 6.1453539e-01
 2.1537535e-01 1.6093535e-02 3.3999828e-04 5.4864872e-06]",2,White,White,True,0,[248 305 698 756]
"professional athlete_female, middle aged, white_31.png",Female,Middle,White,Female,Female,Female,True,[9.2676759e-04 9.9907327e-01],"[0.0010370066, 0.9989629999999999]",30-39,33,44.0,Middle,Middle,True,"[6.4278453e-08 4.1903968e-06 1.7090443e-03 1.5602461e-01 6.5623462e-01
 1.7105077e-01 1.4792516e-02 1.8207043e-04 2.1081471e-06]",2,White,White,True,0,[337 162 599 423]
"professional athlete_female, middle aged, white_66.png",Female,Middle,White,Female,Female,Female,True,[5.632972e-06 9.999944e-01],"[0.00032373600000000003, 0.9996762]",30-39,32,51.0,Middle,Middle,True,"[8.0290206e-08 4.7417466e-06 1.1544239e-03 1.1668481e-01 6.3702106e-01
 2.3639357e-01 8.5991099e-03 1.3952161e-04 2.6486196e-06]",3,White,White,True,0,[326 235 640 549]
"professional athlete_female, middle aged, white_70.png",Female,Middle,White,Female,Female,Female,True,[7.8802288e-05 9.9992114e-01],"[3.3838396999999996e-05, 0.9999661000000001]",30-39,33,50.0,Middle,Middle,True,"[2.9993494e-08 1.2359217e-06 2.7950108e-04 2.3483371e-02 5.0075227e-01
 4.3749511e-01 3.7296109e-02 6.8721449e-04 5.2107957e-06]",2,White,White,True,0,[363 189 624 450]
