image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"teacher_female, elderly, indian_14.png",Female,Old,Indian,Female,Female,Female,True,[0.00174025 0.9982597 ],"[0.010271155999999998, 0.9897288000000001]",70+,39,65.0,Old,Old,False,"[9.2696491e-06 2.5541498e-04 1.9594825e-04 7.1421571e-05 5.8492459e-04
 4.8552882e-03 5.1489633e-02 3.4942853e-01 5.9310955e-01]",36,Indian,Indian,True,0,[302 240 677 615]
"teacher_female, elderly, indian_149.png",Female,Old,Indian,Female,Female,Female,True,[4.2626754e-05 9.9995738e-01],"[0.15379977, 0.8462002599999999]",60-69,39,70.0,Old,Old,False,"[8.9952277e-07 1.4961859e-05 2.7262176e-05 3.1252785e-05 5.4409431e-04
 7.5333891e-03 9.3320772e-02 5.1476079e-01 3.8376659e-01]",26,Indian,Indian,True,0,[326 203 640 517]
"teacher_female, elderly, indian_6.png",Female,Old,Indian,Female,Female,Female,True,[8.472787e-04 9.991527e-01],"[0.0052620053, 0.994738]",70+,36,65.0,Old,Old,False,"[2.5465094e-06 2.3363827e-05 2.3485576e-05 1.9653893e-05 3.3824678e-04
 6.4715561e-03 9.0144880e-02 4.5060697e-01 4.5236930e-01]",39,Indian,Indian,True,0,[294 261 744 711]
"teacher_female, middle aged, indian_104.png",Female,Middle,Indian,Female,Female,Female,True,[1.9706169e-04 9.9980295e-01],"[0.06918773, 0.9308123]",30-39,33,35.0,Middle,Middle,True,"[1.3216337e-06 2.4913938e-04 2.1878494e-02 2.7186221e-01 5.3458482e-01
 1.6027623e-01 1.0716773e-02 4.2273229e-04 8.2445586e-06]",2,Indian,Indian,True,0,[302 354 677 730]
"teacher_female, middle aged, indian_42.png",Female,Middle,Indian,Female,Female,,True,[7.2153256e-04 9.9927849e-01],"[0.07318425, 0.9268156999999999]",40-49,34,,Middle,,True,"[7.1552591e-07 9.2920891e-06 4.1003918e-04 4.0420089e-03 6.7907602e-02
 4.4953167e-01 4.0075698e-01 7.2892569e-02 4.4491491e-03]",11,Indian,Indian,True,0,[294 203 608 517]
"teacher_female, middle aged, indian_5.png",Female,Middle,Indian,Female,Female,Female,True,[1.3077434e-04 9.9986917e-01],"[0.027666800000000002, 0.9723332]",40-49,36,64.0,Middle,Old,True,"[3.2630185e-06 1.0416585e-04 1.3791950e-03 1.4971572e-02 1.7217118e-01
 4.7327814e-01 2.8803569e-01 4.7951262e-02 2.1055411e-03]",9,Indian,Indian,True,0,[358 203 670 517]
"teacher_female, middle aged, indian_69.png",Female,Middle,Indian,Female,Female,Female,True,[4.0481068e-04 9.9959522e-01],"[8.937686e-05, 0.9999106000000001]",40-49,33,32.0,Middle,Middle,True,"[1.8719653e-06 5.5311899e-05 2.4111459e-03 2.4421692e-02 2.2521557e-01
 5.0681913e-01 2.2397883e-01 1.6645432e-02 4.5094447e-04]",12,Indian,Indian,True,0,[358 267 670 581]
"teacher_female, young, indian_132.png",Female,Young,Indian,Female,Female,Female,True,[1.6942405e-04 9.9983054e-01],"[0.00011125134999999999, 0.9998887999999999]",20-29,31,34.0,Young,Middle,False,"[2.1638959e-08 1.3165412e-04 6.3942716e-02 8.7289065e-01 6.1682429e-02
 1.3437823e-03 8.5764559e-06 1.4004026e-07 2.3743285e-09]",6,Indian,Indian,True,0,[363 268 624 529]
"teacher_female, young, indian_26.png",Female,Young,Indian,Female,Female,Female,True,[1.6916645e-04 9.9983084e-01],"[0.007121715, 0.9928783]",20-29,30,27.0,Young,Young,False,"[2.9486807e-07 8.2694058e-04 1.4923444e-01 7.5379872e-01 9.3938269e-02
 2.1854453e-03 1.5554164e-05 3.2787139e-07 6.8124804e-09]",5,Indian,Indian,True,0,[302 202 677 578]
"teacher_female, young, indian_43.png",Female,Young,Indian,Female,Female,Female,True,[6.132642e-05 9.999387e-01],"[0.008948094, 0.9910519]",20-29,32,37.0,Young,Middle,False,"[2.0802110e-08 1.7223298e-04 7.6936364e-02 8.6607891e-01 5.6056049e-02
 7.5265887e-04 3.5972710e-06 1.4475745e-07 2.9924272e-09]",7,Indian,Indian,True,0,[407 185 624 403]
