face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, young, indian_120_face0.png",Indian,Indian,Female,20-29,"[1.5458089e-04 2.6349207e-05 1.5704216e-03 4.7962187e-04 5.3973761e-03
 9.9149466e-01 8.7697979e-04]",[9.4036448e-05 3.6177109e-05 2.7404127e-03 9.9712938e-01],[6.2344567e-04 9.9937660e-01],"[7.5313176e-07 7.4119598e-04 1.6409229e-01 7.7616018e-01 5.8112137e-02
 8.8636664e-04 6.5967715e-06 5.6528398e-07 1.0128129e-08]","[(302, 202) (677, 578)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, elderly, asian_49_face0.png",East Asian,Asian,Female,60-69,"[1.4643517e-04 1.4004332e-05 9.6071896e-04 8.6794490e-01 1.3073201e-01
 4.6248952e-05 1.5568848e-04]",[5.2749510e-05 3.1397336e-05 9.9979049e-01 1.2531609e-04],[0.00180701 0.998193  ],"[1.4977520e-06 3.7101670e-06 9.1895718e-06 4.3978998e-05 1.0444899e-03
 1.5151925e-02 1.6675258e-01 6.3380092e-01 1.8319173e-01]","[(339, 316) (715, 692)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, elderly, white_135_face0.png",White,White,Female,60-69,"[7.2008419e-01 1.3004629e-04 2.0932758e-01 2.5176927e-03 2.8220217e-03
 4.5505539e-04 6.4663425e-02]",[8.9272416e-01 1.3111896e-04 1.0590444e-01 1.2402548e-03],[0.001014 0.998986],"[5.1342595e-06 1.8027917e-05 5.9797210e-05 1.9233987e-05 4.6774026e-04
 1.1710608e-02 1.8497775e-01 6.5491766e-01 1.4782403e-01]","[(363, 216) (624, 477)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, young, asian_92_face0.png",East Asian,Asian,Female,20-29,"[3.0172723e-03 1.0708332e-05 9.6295066e-03 6.1974293e-01 3.6047429e-01
 2.3806873e-03 4.7445549e-03]",[1.1662848e-03 5.3257871e-05 9.9802035e-01 7.6011184e-04],[4.4770564e-05 9.9995524e-01],"[1.0247922e-08 9.3002876e-05 1.9971156e-01 7.8957963e-01 1.0584094e-02
 3.1666499e-05 3.9775163e-08 1.4771149e-09 2.6757837e-11]","[(202, 128) (743, 669)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, elderly, black_137_face0.png",Black,Black,Male,50-59,"[7.6776851e-05 9.3103737e-01 2.8899920e-03 2.0022087e-05 7.9433661e-04
 5.9619669e-02 5.5619595e-03]",[3.1381051e-04 9.2568260e-01 2.3483189e-03 7.1655266e-02],[9.9998939e-01 1.0596263e-05],"[3.7027563e-05 1.3385683e-04 7.9375005e-04 7.0578000e-04 1.0143756e-02
 1.6619761e-01 5.5695021e-01 2.5459358e-01 1.0444512e-02]","[(358, 203) (670, 517)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, elderly, asian_124_face0.png",East Asian,Asian,Male,60-69,"[1.8011408e-05 2.2894361e-05 9.6891730e-05 8.6721903e-01 1.3257334e-01
 6.3046777e-05 6.7651240e-06]",[1.7289956e-05 4.6694753e-05 9.9987614e-01 5.9894046e-05],[9.9999785e-01 2.1417197e-06],"[2.9761115e-06 4.4421977e-06 4.1174208e-05 2.6849733e-04 7.4245720e-03
 1.3053806e-01 3.9072791e-01 4.5853898e-01 1.2453331e-02]","[(339, 279) (715, 654)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, elderly, asian_1_face0.png",East Asian,Asian,Female,50-59,"[7.3074149e-03 1.1168995e-04 3.6326852e-02 7.5733286e-01 1.8773057e-01
 1.3284402e-03 9.8621538e-03]",[9.4776583e-04 3.9501883e-05 9.9879831e-01 2.1440479e-04],[0.01426423 0.9857358 ],"[1.40441116e-05 3.55549892e-05 1.14690854e-04 1.86333200e-04
 6.37752470e-03 6.63837045e-02 4.69768971e-01 4.28382218e-01
 2.87368279e-02]","[(294, 261) (744, 711)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, middle aged, white_117_face0.png",White,White,Male,40-49,"[0.5079045  0.00066006 0.27611092 0.00120826 0.00129611 0.01389277
 0.19892743]",[9.1003758e-01 4.4956803e-03 8.6402061e-04 8.4602669e-02],[9.9995083e-01 4.9204114e-05],"[7.3592899e-05 1.1858261e-04 9.7154028e-04 3.1643312e-03 1.5022522e-01
 7.2206789e-01 1.2191773e-01 1.4519731e-03 9.1032798e-06]","[(302, 240) (677, 615)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, elderly, indian_73_face0.png",Indian,Indian,Male,50-59,"[1.9635605e-03 9.8399092e-03 7.5057074e-02 3.6833371e-05 6.3299912e-04
 8.3418590e-01 7.8283630e-02]",[2.1395118e-03 2.7352529e-02 4.5076854e-04 9.7005719e-01],[9.999907e-01 9.293647e-06],"[2.4945699e-04 2.9096525e-04 9.4405311e-04 1.1018561e-04 1.5266039e-03
 4.4119246e-02 5.6897676e-01 3.7559927e-01 8.1834402e-03]","[(302, 240) (677, 615)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, middle aged, asian_101_face0.png",East Asian,Asian,Male,40-49,"[1.8942403e-04 2.6657695e-05 5.1923590e-03 8.5134119e-01 1.4282320e-01
 3.9010504e-04 3.7129303e-05]",[4.9464038e-04 7.3449105e-06 9.9907798e-01 4.2001711e-04],[9.9996525e-01 3.4763783e-05],"[2.4897714e-05 8.9068832e-05 7.1089173e-04 2.4001622e-03 9.5358111e-02
 5.1598829e-01 3.4911492e-01 3.6094669e-02 2.1903911e-04]","[(294, 305) (744, 756)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, middle aged, asian_51_face0.png",East Asian,Asian,Male,40-49,"[1.3108509e-04 7.2158213e-07 7.3725206e-04 9.3551540e-01 6.3583679e-02
 1.2164354e-05 1.9705225e-05]",[5.7600223e-04 7.2130644e-07 9.9936175e-01 6.1501232e-05],[9.9999833e-01 1.7036394e-06],"[3.2798516e-07 1.2038952e-06 6.9633825e-05 5.0345543e-03 2.4928196e-01
 5.7294571e-01 1.6553728e-01 7.1093822e-03 2.0057687e-05]","[(326, 299) (640, 611)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, elderly, asian_77_face0.png",East Asian,Asian,Female,50-59,"[2.1082154e-04 1.3920257e-05 2.2045595e-03 8.3210850e-01 1.6511573e-01
 6.6236622e-05 2.8020021e-04]",[3.6137935e-05 3.5165525e-05 9.9979174e-01 1.3699473e-04],[5.6891015e-04 9.9943107e-01],"[1.9008205e-06 5.7228362e-06 3.6398811e-05 1.8793088e-04 8.2341088e-03
 1.1276573e-01 5.5340654e-01 3.1383777e-01 1.1523929e-02]","[(202, 215) (654, 665)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, middle aged, white_34_face0.png",White,White,Female,50-59,"[5.19748449e-01 1.76724148e-04 1.09445095e-01 1.06431078e-03
 2.09705555e-03 9.77071119e-04 3.66491288e-01]",[0.9850967  0.00128092 0.00966451 0.00395794],[4.2430747e-05 9.9995756e-01],"[4.3605027e-07 1.3725440e-06 4.5160785e-05 5.4317701e-04 1.8165261e-02
 2.3918939e-01 5.8445305e-01 1.5330616e-01 4.2959587e-03]","[(302, 202) (677, 578)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, young, white_103_face0.png",Middle Eastern,White,Female,20-29,"[0.04222923 0.0010911  0.30639112 0.00078865 0.01097242 0.06969488
 0.5688326 ]",[0.46848938 0.02540271 0.0682592  0.43784863],[2.991579e-05 9.999701e-01],"[1.8284051e-09 9.1905340e-06 5.5492345e-02 8.7448114e-01 6.9589749e-02
 4.2672141e-04 7.8655756e-07 1.0212730e-08 1.4153115e-10]","[(302, 354) (677, 730)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, elderly, indian_114_face0.png",Indian,Indian,Male,60-69,"[4.2553298e-04 3.3519607e-02 1.3745779e-02 4.3656684e-05 1.2363910e-03
 9.2948335e-01 2.1545673e-02]",[3.5708744e-04 3.8840864e-02 1.5840890e-04 9.6064365e-01],[9.9961776e-01 3.8221932e-04],"[6.5619167e-04 1.2857921e-03 3.5069105e-03 5.2638183e-04 2.4036663e-03
 2.9496208e-02 2.8517774e-01 6.2075830e-01 5.6188844e-02]","[(248, 215) (698, 665)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, young, indian_140_face0.png",Middle Eastern,Indian,Female,20-29,"[6.3488138e-04 9.3325243e-06 4.1255550e-03 4.5150773e-05 6.1354117e-04
 5.6180485e-02 9.3839109e-01]",[3.7243960e-03 3.5177646e-04 4.7541955e-03 9.9116963e-01],[0.00806494 0.9919351 ],"[2.6767759e-07 1.4138949e-03 4.2308953e-01 5.6632322e-01 9.0639247e-03
 1.0886251e-04 2.9682974e-07 2.1253040e-08 1.1520929e-09]","[(326, 299) (640, 611)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, middle aged, black_60_face0.png",Black,Black,Female,30-39,"[5.4825837e-06 9.8331743e-01 9.0330740e-04 4.0782372e-05 1.1701024e-02
 3.9067883e-03 1.2509941e-04]",[1.1741214e-05 9.9408090e-01 4.4430704e-03 1.4643547e-03],[0.0028602 0.9971398],"[2.5929998e-07 2.9249726e-05 1.5424923e-02 3.6085078e-01 5.5927187e-01
 6.2314786e-02 2.0692085e-03 3.7743346e-05 1.2486488e-06]","[(302, 202) (677, 578)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, elderly, white_100_face0.png",White,White,Female,60-69,"[9.6704245e-01 2.9166717e-06 1.5563840e-02 2.3561753e-03 5.9641880e-04
 3.9807914e-05 1.4398239e-02]",[9.5682275e-01 1.7748160e-05 4.1850589e-02 1.3088654e-03],[3.0760694e-04 9.9969244e-01],"[2.7615502e-07 7.8038732e-07 7.6138763e-06 3.2480526e-05 1.0465179e-03
 3.8622092e-02 4.0664044e-01 4.9428254e-01 5.9367262e-02]","[(248, 215) (698, 665)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, young, black_29_face0.png",Black,Black,Female,10-19,"[1.2595979e-06 9.9800289e-01 7.4335818e-05 2.3631286e-05 1.5940297e-03
 2.8672215e-04 1.7129409e-05]",[3.1545151e-06 9.9837130e-01 1.5271964e-03 9.8360913e-05],[0.00137281 0.9986272 ],"[2.8492641e-07 3.1381107e-03 5.0074112e-01 4.7455266e-01 2.1401450e-02
 1.6564914e-04 8.3954114e-07 2.1141114e-08 2.1153506e-09]","[(248, 215) (698, 665)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, middle aged, indian_12_face0.png",Indian,Indian,Female,50-59,"[3.2311040e-03 3.6364095e-03 2.3994288e-01 2.9376594e-04 1.6859565e-02
 5.4840881e-01 1.8762751e-01]",[0.00146794 0.02902065 0.05524851 0.9142629 ],[6.329842e-05 9.999367e-01],"[7.1993912e-07 8.6338960e-06 2.8419850e-04 1.2860091e-03 3.7196890e-02
 3.1715089e-01 5.4018337e-01 9.9417277e-02 4.4719921e-03]","[(248, 261) (698, 711)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, young, white_121_face0.png",Middle Eastern,Indian,Male,30-39,"[4.3187208e-02 2.8783358e-03 1.1854581e-01 1.5017761e-04 4.3771684e-04
 2.9620413e-02 8.0518037e-01]",[0.37130907 0.03539029 0.00717529 0.5861253 ],[9.9999982e-01 1.7013282e-07],"[1.6288643e-05 1.0995158e-04 3.8667188e-03 2.5318253e-01 6.0951108e-01
 1.3019790e-01 3.0739557e-03 4.1223131e-05 3.8602542e-07]","[(294, 261) (744, 711)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_female, young, asian_7_face0.png",East Asian,Asian,Female,20-29,"[6.4342821e-05 2.9961495e-06 2.6747465e-04 8.2144248e-01 1.7800637e-01
 1.4508059e-04 7.1261929e-05]",[9.2030052e-05 3.3750505e-06 9.9979192e-01 1.1269379e-04],[3.0380013e-04 9.9969625e-01],"[1.3113821e-07 1.1106042e-04 1.2133863e-01 8.2774293e-01 5.0268307e-02
 5.3671194e-04 2.0576763e-06 1.2907813e-07 2.3273694e-09]","[(302, 279) (677, 654)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, elderly, asian_32_face0.png",East Asian,Asian,Male,40-49,"[1.27300576e-04 1.62821448e-06 1.11177345e-04 9.63729024e-01
 3.60197015e-02 5.47345780e-06 5.76094226e-06]",[1.3401428e-04 8.1062244e-06 9.9983841e-01 1.9443003e-05],[9.999629e-01 3.702630e-05],"[6.2670160e-06 1.4909564e-05 1.9517454e-04 1.7747899e-03 8.8848658e-02
 5.3664631e-01 3.2264769e-01 4.9355987e-02 5.1016419e-04]","[(248, 305) (698, 756)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, middle aged, black_36_face0.png",Black,Black,Male,40-49,"[3.9634047e-06 9.9910277e-01 1.3589703e-04 4.8271968e-08 1.3658632e-06
 7.0667453e-04 4.9332677e-05]",[6.9569301e-06 9.9884522e-01 3.4860784e-06 1.1443732e-03],[9.999999e-01 8.606313e-08],"[4.2489073e-06 3.1754906e-05 3.1936218e-03 4.7591232e-02 3.4002653e-01
 5.3389758e-01 7.4266136e-02 9.7368384e-04 1.5265252e-05]","[(248, 215) (698, 665)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_chef_neutral/chef_male, young, asian_2_face0.png",East Asian,Asian,Male,30-39,"[5.11715189e-05 3.35360005e-06 1.07612915e-03 8.89392734e-01
 1.09413646e-01 5.01861832e-05 1.27064859e-05]",[2.3743784e-04 1.0961241e-05 9.9931872e-01 4.3289032e-04],[9.999994e-01 6.470694e-07],"[2.2815679e-07 2.7527799e-06 6.1201723e-04 9.4095580e-02 7.3634636e-01
 1.6417226e-01 4.6187732e-03 1.5133584e-04 6.3052909e-07]","[(302, 165) (677, 540)]"
