image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
"judge_male, middle aged, black_21.png",36,Man,black,neutral,1.0,0.11305113,99.88695,7.758677e-15,1.7148774e-12,100.0,3.0657756e-20,1.0034585e-20,1.3888649e-14,4.5363526e-05,2.9060255e-12,1.3234264e-05,0.06399745,0.0012472353,0.000101222475,99.93459
"judge_female, young, black_37.png",29,Woman,black,neutral,1.0,96.24951,3.7504866,8.951732e-09,2.752811e-06,100.0,1.0481435e-12,6.667465e-13,5.2034267e-08,0.015091058,1.8100431e-09,0.011636913,0.21144792,0.14141013,0.05708916,99.56333
"judge_male, middle aged, white_26.png",51,Man,middle eastern,neutral,1.0,0.10776027,99.89225,3.06915,7.682244,1.3602463,26.682886,39.801247,21.404228,17.574997,0.0015641679,0.60505897,4.83518,20.059118,0.027022002,56.89706
"judge_female, young, black_44.png",27,Woman,black,neutral,1.0,98.34871,1.6512845,2.2894443e-11,2.9661e-09,100.0,1.6378061e-15,5.69213e-16,3.4131756e-11,5.231539e-05,6.666522e-14,4.652901e-06,0.0039131898,0.00080805155,0.0016865559,99.99354
"judge_female, elderly, asian_133.png",56,Woman,asian,happy,1.0,99.27756,0.722449,86.217354,2.1322908,0.13869551,0.5631395,0.028179005,10.920342,0.0008419205,6.543552e-08,0.00047305983,82.47822,0.0062839836,1.2809907e-05,17.514172
"judge_male, elderly, asian_78.png",45,Man,asian,neutral,1.0,0.017028121,99.98296,95.44887,0.8961821,0.005573496,0.058670845,0.0004813976,3.5902295,0.08821075,3.941055e-07,0.016936025,0.000279033,1.1495999,9.969025e-06,98.744965
"judge_female, elderly, black_36.png",47,Woman,black,happy,1.0,97.29513,2.7048676,17.815702,11.398712,67.26421,0.07269902,0.039398927,3.4092743,0.09662611,1.1111422e-05,0.048184235,62.771736,19.528276,0.012988261,17.542183
"judge_female, young, black_46.png",32,Woman,black,neutral,1.0,84.65083,15.349169,1.0917584e-09,8.350025e-06,99.99999,2.822482e-13,6.1369665e-14,6.819633e-09,0.0003708951,2.4953707e-21,2.476752e-08,0.00010015223,0.0001747269,2.2587103e-09,99.99936
"judge_female, middle aged, black_131.png",32,Woman,black,neutral,1.0,99.88067,0.119326286,7.5282564,3.0994751,87.32223,0.026108412,0.01173302,2.0122032,0.04194691,2.3907191e-08,0.03522028,0.006255214,0.24434389,0.049546454,99.62269
"judge_male, young, black_91.png",26,Man,black,neutral,1.0,0.35789093,99.64211,7.415365e-15,3.228154e-11,100.0,3.0441348e-20,9.381599e-21,2.6838662e-14,0.04440178,2.2354993e-08,0.8437533,0.0018536398,1.1452923,0.7512889,97.2134
"judge_male, elderly, white_4.png",45,Man,latino hispanic,neutral,1.0,0.005596801,99.9944,2.3840826,3.607668,0.837876,33.644974,19.580965,39.94444,4.06039,1.6558102e-05,0.0132512385,0.01717568,3.6136105,5.412149e-05,92.2955
"judge_female, young, indian_114.png",31,Man,indian,fear,1.0,1.2766068,98.7234,2.3892067e-05,99.927635,0.0018925994,6.175608e-05,2.4591687e-05,0.07036156,0.13372007,8.877345e-07,80.623146,0.8641351,0.7874995,15.5223875,2.069117
"judge_male, elderly, white_83.png",49,Man,white,neutral,1.0,0.0054684,99.99453,0.6273094,0.75890106,0.081654,67.871315,19.774319,10.886501,0.03242821,0.000109954635,0.0134871695,44.653625,0.9754369,0.003136706,54.321774
"judge_female, middle aged, asian_81.png",40,Woman,asian,neutral,1.0,99.18985,0.8101483,99.75494,0.08146082,7.005829e-05,0.0048593353,1.7754115e-05,0.15865763,2.7954059,1.1863244,2.4167042,0.05372989,27.562922,0.01810745,65.966805
"judge_female, middle aged, indian_58.png",33,Woman,indian,neutral,1.0,79.67203,20.327974,1.244189,68.46304,1.0006549,1.6361923,2.573482,25.082436,2.9628813,0.0072524096,1.9280562,0.23080015,24.840033,0.1615275,69.869446
"judge_female, middle aged, asian_121.png",49,Woman,asian,neutral,1.0,99.98851,0.011485876,99.482735,0.20700048,0.0013755145,0.041926473,0.0013217438,0.2656455,0.019945089,3.1169264e-05,0.2604408,25.010517,0.42418814,0.1775152,74.10736
"judge_male, middle aged, white_59.png",37,Man,white,neutral,1.0,0.015845224,99.98415,6.8775706,6.2196717,2.2240279,33.8759,21.997686,28.805143,0.33786798,0.00090924994,1.1857997,8.221878,4.295246,0.0011484146,85.95715
"judge_male, young, indian_138.png",31,Man,indian,neutral,1.0,0.023687428,99.97631,3.1435921,65.57694,10.825719,1.0616009,1.0315952,18.360558,0.48797432,4.213552e-11,0.0001425806,0.06316128,0.21247537,6.339623e-05,99.23618
"judge_male, elderly, black_70.png",36,Man,black,neutral,1.0,0.15526216,99.844734,3.4443196e-10,7.231697e-09,100.0,9.186003e-15,1.6525227e-15,6.265521e-10,2.8242437e-05,6.533812e-14,4.7270166e-07,2.9283698e-05,0.0011024715,6.459177e-08,99.99884
"judge_female, young, white_115.png",29,Woman,white,neutral,1.0,99.979454,0.020548617,0.08239078,0.15403609,0.009819008,73.33844,7.3746166,19.0407,0.4983853,5.4918874e-06,0.5494604,17.738758,0.7899925,2.1440263,78.27937
"judge_male, young, white_125.png",31,Man,white,neutral,1.0,0.16081333,99.83918,0.16218351,0.4773109,0.03904443,67.86982,10.34657,21.105078,0.8957924,7.564099e-06,13.612525,0.068483226,18.216738,0.54157776,66.66487
"judge_male, young, asian_108.png",28,Man,asian,neutral,1.0,0.043262813,99.95673,99.99681,0.0006682185,2.3297025e-08,0.00018132257,6.0710774e-09,0.0023436607,0.50513715,0.00153039,3.2915154,16.092564,6.774941,0.051276445,73.283035
"judge_male, elderly, black_85.png",49,Man,black,neutral,1.0,0.40160665,99.5984,1.1018544e-09,1.5824949e-07,100.0,2.975659e-13,4.0304674e-14,3.8970507e-09,0.019702649,4.724561e-12,2.6498183e-05,0.0102580935,0.34412646,1.8891264e-08,99.625885
"judge_male, elderly, indian_52.png",48,Man,middle eastern,sad,1.0,0.009657711,99.99034,0.0044207717,3.942193,0.0043365196,0.42884874,94.196365,1.423838,34.11175,0.00021060054,0.22008757,0.054287475,41.218594,0.00048301378,24.394588
"judge_male, young, white_104.png",27,Man,latino hispanic,neutral,1.0,0.060850747,99.93914,3.0371628,5.768512,0.90912765,31.788727,24.825827,33.670643,8.635736,8.887568e-09,0.010312228,0.09603945,1.0606154,0.0076303915,90.189674
"judge_male, elderly, asian_2.png",50,Man,latino hispanic,neutral,1.0,0.22091874,99.77908,36.861305,14.462444,4.496347,2.6588311,1.1285083,40.39257,0.009391331,6.9653694e-08,2.9381648e-05,0.02529199,0.13837439,6.561196e-07,99.82691
"judge_female, elderly, asian_24.png",54,Man,asian,neutral,1.0,3.9187841,96.081215,99.9916,0.0038089007,1.0213165e-07,0.000114123635,1.00115125e-08,0.0044824127,7.727324,0.12228581,0.9719133,0.121101126,31.63509,0.062411036,59.359875
"judge_female, elderly, white_47.png",52,Woman,white,neutral,1.0,84.7515,15.248497,2.0485575,0.8492193,0.13127783,66.18883,13.02513,17.75699,0.00017285092,6.559237e-12,8.535737e-05,5.8157845,0.0028556697,3.630708e-06,94.1811
"judge_male, middle aged, asian_60.png",44,Man,asian,neutral,1.0,0.008707739,99.99129,93.885544,1.111836,0.042547643,0.724488,0.034787826,4.2008038,3.6128337,0.24901544,0.31258714,0.7404273,6.1881914,0.0026105666,88.89434
"judge_male, young, asian_71.png",33,Man,asian,neutral,1.0,0.35860214,99.6414,99.86547,0.014690517,2.1749815e-05,0.0025480741,1.7060646e-06,0.11727229,0.29120827,1.1358811e-06,0.018063642,0.0024980216,1.0733242,7.131106e-05,98.61484
"judge_male, middle aged, white_93.png",49,Man,middle eastern,neutral,1.0,0.012806337,99.9872,2.2365448,4.788683,0.67740506,31.11536,36.934742,24.247272,7.028751,5.3168687e-06,0.09878748,0.619742,3.3097663,0.00044710317,88.9425
"judge_female, elderly, indian_136.png",39,Woman,indian,neutral,1.0,69.275246,30.724752,0.02737294,98.07299,0.009324551,0.030295966,0.0875882,1.772431,4.458413,0.013481246,3.1106665,0.25857595,19.890572,0.033599958,72.234695
"judge_male, elderly, white_109.png",52,Man,white,neutral,1.0,0.05802593,99.94198,0.23866168,0.08657597,0.0046293493,91.825874,4.2652736,3.5789833,5.9504673e-06,1.1138786e-18,8.3621145e-11,30.757177,9.37492e-05,2.2770041e-09,69.24273
