image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
"professional athlete_male, middle aged, indian_12.png",29,Man,latino hispanic,happy,1.0,0.0011123179,99.99889,1.6562388,10.184368,5.494703,18.934849,28.084457,35.645386,0.32414517,1.0970929e-05,0.079069875,65.02074,1.3704964,0.057088062,33.148457
"professional athlete_male, young, white_40.png",26,Man,white,neutral,1.0,0.07734819,99.92265,0.056032486,0.23067126,0.023155916,69.84514,15.868531,13.976467,0.052215524,3.153702e-05,0.034107428,2.9089355,0.5752515,0.0076575396,96.4218
"professional athlete_female, young, white_79.png",25,Woman,white,neutral,1.0,99.99443,0.005569595,0.12801051,0.22548465,0.021765316,71.02342,12.287225,16.314095,0.03111742,1.6931255e-08,0.00048701113,0.60926926,0.7005931,1.16530555e-05,98.65852
"professional athlete_female, middle aged, black_69.png",31,Woman,black,neutral,1.0,99.86078,0.13921699,0.24343862,4.1709127,94.75912,0.009563693,0.0041004936,0.8128655,0.008703396,2.4886237e-12,0.014711898,8.0630845e-05,1.2255906,4.243808e-05,98.75087
"professional athlete_male, middle aged, white_104.png",32,Man,white,happy,1.0,0.055443972,99.94455,7.465022e-08,1.8086366e-06,7.2649784e-09,99.92073,0.056058653,0.023213372,1.0615284,0.0002902288,0.008201737,91.170975,0.21487384,0.0010934398,7.5430374
"professional athlete_female, elderly, indian_53.png",51,Woman,latino hispanic,neutral,1.0,97.04793,2.9520745,5.428775,31.31611,1.6933713,12.083747,14.700306,34.77769,0.00013894442,8.0109736e-13,6.436944e-07,0.00041302288,0.006897653,5.3827304e-08,99.992546
"professional athlete_male, middle aged, black_71.png",30,Man,black,neutral,1.0,0.31350785,99.686485,3.2253393e-12,1.5305868e-10,100.0,1.01133074e-16,4.7531214e-17,4.8210737e-12,0.0013820613,1.6528834e-15,0.00037326102,8.611538e-07,0.09348857,8.3571265e-09,99.904755
"professional athlete_male, middle aged, black_148.png",31,Man,black,neutral,1.0,0.09560415,99.90439,3.2727523e-12,2.905071e-09,100.0,2.4444222e-16,6.9133764e-17,1.3799422e-11,0.14651564,5.702152e-10,0.0063364203,0.018913342,1.4940605,8.423942e-06,98.33416
"professional athlete_female, young, black_125.png",30,Woman,black,neutral,1.0,99.98883,0.011165256,7.805173e-05,0.002778059,99.997116,5.716641e-09,4.126237e-09,2.8165774e-05,2.507379,1.5939998e-08,0.21742465,6.65499e-05,11.021873,1.2041087e-05,86.25324
"professional athlete_female, middle aged, black_4.png",30,Woman,black,neutral,1.0,73.84909,26.15091,5.788707e-13,2.993303e-11,100.0,5.339529e-19,3.4278013e-19,2.558094e-13,0.00022542654,7.189308e-14,9.1823895e-05,0.06908939,0.093936026,0.0005377786,99.83612
"professional athlete_female, young, asian_6.png",28,Woman,asian,neutral,1.0,97.50148,2.498524,99.48569,0.1976358,0.00073578133,0.024057368,0.0003281145,0.2915579,0.19876833,1.2276031e-09,0.039559558,4.4782446e-05,1.0648743,4.703939e-08,98.69675
"professional athlete_male, middle aged, asian_96.png",33,Man,asian,neutral,1.0,0.12636712,99.873634,99.8467,0.026165085,0.0001780834,0.0070900153,4.193132e-06,0.119849294,0.00022164252,8.984586e-14,5.6901878e-05,0.0048005013,0.0044394205,1.1081036e-05,99.99048
"professional athlete_male, elderly, indian_140.png",47,Man,indian,neutral,1.0,0.010131536,99.98987,0.11127157,75.93991,23.4568,0.031976327,0.06798366,0.39205733,1.0398357,0.001193875,0.17502065,17.023735,30.212797,0.15040787,51.397
"professional athlete_male, elderly, black_75.png",47,Man,black,neutral,1.0,0.009700156,99.990295,5.226151e-13,6.1908412e-12,100.0,6.359912e-19,2.3799638e-19,1.6553005e-13,0.14035465,9.314635e-09,8.7733875e-05,2.8646064,1.2078964,1.2596316e-05,95.78704
"professional athlete_female, middle aged, white_55.png",33,Woman,white,neutral,1.0,99.27871,0.72128737,1.0681691,1.4771852,0.29344568,49.285774,17.10582,30.769611,1.9837653e-05,1.450384e-14,8.5796555e-06,0.0005162638,0.011777169,4.1063916e-10,99.98768
"professional athlete_male, middle aged, indian_133.png",32,Man,indian,neutral,1.0,0.009175261,99.99082,0.6264441,57.750736,2.2392669,3.3868563,15.597069,20.399622,8.1321224e-07,1.5968e-17,1.3260857e-06,0.008604205,0.00041525412,1.15810135e-08,99.990974
"professional athlete_male, young, black_54.png",25,Man,black,neutral,1.0,0.0517077,99.94829,4.3813237e-08,6.410003e-07,100.0,2.9694014e-12,1.2431537e-13,6.889214e-08,0.022443382,6.353048e-12,0.0005532928,0.00043184037,8.196696,7.22833e-10,91.77988
"professional athlete_male, young, black_15.png",24,Man,black,neutral,1.0,0.027899541,99.9721,0.005279626,0.025459206,99.9657,4.577926e-06,1.1053506e-06,0.0035541928,2.3310638e-05,3.5118474e-13,0.0001386623,0.24071003,0.011524553,0.00013965099,99.74746
"professional athlete_female, elderly, indian_144.png",51,Woman,indian,neutral,1.0,88.96919,11.030803,3.4977734,68.09099,0.97053295,2.282597,2.6682978,22.48982,0.10629399,1.3912597e-08,0.0148543725,49.24346,0.22837672,0.014629196,50.392384
