face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_male, young, black_74_face0.png",Black,Black,Male,20-29,"[3.7911448e-07 9.9924344e-01 3.6214336e-05 9.3055718e-08 7.2176886e-06
 7.1137445e-04 1.2260724e-06]",[7.5770612e-07 9.9986947e-01 3.5726682e-06 1.2618600e-04],[9.999486e-01 5.141230e-05],"[4.5759890e-08 1.0316188e-05 1.7866962e-02 8.5395408e-01 1.2602462e-01
 2.1362423e-03 7.7051209e-06 4.7461342e-08 2.4820175e-09]","[(294, 215) (744, 665)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_female, young, indian_135_face0.png",Indian,Indian,Female,10-19,"[1.12245625e-05 8.08144523e-06 3.34623008e-04 6.89761828e-06
 4.74422559e-05 9.99574304e-01 1.74028628e-05]",[1.1339888e-05 3.5052726e-05 1.8539887e-04 9.9976820e-01],[1.1790155e-04 9.9988216e-01],"[4.7924709e-06 1.7824565e-01 7.6247263e-01 5.8028005e-02 1.2342037e-03
 1.4663967e-05 5.3704817e-08 4.0684625e-09 9.0258738e-11]","[(389, 108) (702, 422)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_male, middle aged, black_18_face0.png",Black,Black,Male,30-39,"[2.0383018e-06 9.8915118e-01 3.2343721e-04 6.7912652e-07 6.2931998e-05
 1.0425700e-02 3.4046752e-05]",[8.7020071e-06 9.9887717e-01 1.7761669e-05 1.0964146e-03],[9.9999976e-01 1.8229296e-07],"[6.7324237e-08 1.1163709e-06 1.1096761e-03 1.9369870e-01 6.0944760e-01
 1.9098553e-01 4.7339159e-03 2.3074599e-05 3.3759403e-07]","[(202, 128) (743, 669)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_male, young, white_62_face0.png",Latino_Hispanic,White,Male,20-29,"[4.7598958e-01 1.0287839e-04 4.7675017e-01 2.9709947e-04 6.0299452e-04
 1.7219055e-02 2.9038146e-02]",[0.86807734 0.00162397 0.00106387 0.12923484],[9.9999940e-01 5.5819993e-07],"[4.9969731e-07 9.6114767e-05 6.3836671e-02 7.8487849e-01 1.4792769e-01
 3.2464471e-03 1.4005821e-05 8.9304088e-08 8.9287050e-10]","[(202, 238) (743, 778)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_male, young, white_47_face0.png",White,White,Male,20-29,"[7.6192510e-01 1.4012074e-04 8.7617174e-02 7.3322561e-04 9.6436049e-04
 1.9746034e-03 1.4664544e-01]",[9.9203914e-01 2.4937469e-04 1.3018842e-03 6.4096353e-03],[9.9999946e-01 4.7299912e-07],"[3.5973144e-07 8.7296350e-05 5.7938389e-02 8.4394330e-01 9.6141659e-02
 1.8826076e-03 6.3515245e-06 7.0950328e-08 9.2495106e-10]","[(302, 316) (677, 692)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_female, middle aged, asian_38_face0.png",East Asian,Asian,Female,40-49,"[3.5900273e-04 2.5680274e-06 2.1255969e-03 9.1973513e-01 7.7561408e-02
 1.4241060e-04 7.3866897e-05]",[1.14228926e-04 1.37874008e-06 9.99522328e-01 3.62128339e-04],[3.1339252e-05 9.9996871e-01],"[7.8203095e-07 2.1480037e-05 2.8765126e-04 1.2803609e-02 1.9978932e-01
 4.9770877e-01 2.4263671e-01 4.6159390e-02 5.9229688e-04]","[(202, 261) (654, 711)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_male, young, indian_40_face0.png",Indian,Indian,Male,20-29,"[7.2046438e-05 1.9943938e-04 1.0137630e-02 2.9936435e-05 1.6503851e-03
 9.8773265e-01 1.7791553e-04]",[9.5267402e-05 6.4297150e-05 1.2177024e-03 9.9862272e-01],[9.9999648e-01 3.4658988e-06],"[4.59040201e-08 1.12880271e-05 6.47184439e-03 6.97331071e-01
 2.90672958e-01 5.50119672e-03 1.14026725e-05 1.29333174e-07
 2.05390926e-09]","[(294, 305) (744, 756)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_male, young, black_51_face0.png",Black,Black,Male,20-29,"[4.7894505e-06 9.9438882e-01 2.7480241e-04 2.4000478e-06 1.2468101e-04
 5.1954724e-03 9.1207748e-06]",[7.3764959e-06 9.9613672e-01 5.8774509e-05 3.7971349e-03],[9.9999648e-01 3.5510452e-06],"[3.0234318e-08 1.5033637e-05 4.0215474e-02 8.6475754e-01 9.3086921e-02
 1.9153946e-03 9.5568912e-06 8.9655607e-08 3.3654965e-09]","[(294, 215) (744, 665)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_female, young, white_125_face0.png",White,White,Female,20-29,"[8.57767284e-01 2.66731217e-06 3.75149287e-02 2.17022211e-03
 4.28504194e-04 8.66344373e-04 1.01250075e-01]",[9.8466516e-01 1.8670107e-05 6.5907799e-03 8.7254243e-03],[4.867506e-06 9.999951e-01],"[1.5885545e-09 1.5569931e-04 4.6576375e-01 5.3129733e-01 2.7803837e-03
 2.7687602e-06 1.1156761e-09 1.9622803e-11 4.8988119e-13]","[(248, 305) (698, 756)]"
"classification/analyzers/fairface/detected_faces/exp3/Stable3.5-medium_writer_neutral/writer_female, middle aged, indian_117_face1.png",White,Asian,Male,30-39,"[0.735835   0.07424758 0.00616332 0.1053289  0.02524121 0.00126742
 0.05191649]",[0.4102558  0.11714873 0.4634855  0.00910999],[0.9441695  0.05583049],"[4.7088775e-04 8.8320929e-04 7.5885060e-04 3.6115959e-01 5.8355135e-01
 4.4070039e-02 8.2681980e-03 6.7624811e-04 1.6161316e-04]","[(358, 331) (670, 643)]"
