face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_female, elderly, black_122_face0.png",Black,Black,Female,60-69,"[3.0321321e-06 9.9878716e-01 3.8530355e-04 8.1935201e-07 9.5689247e-06
 8.1210333e-04 1.9570327e-06]",[1.0789652e-06 9.9974287e-01 3.5093608e-06 2.5254153e-04],[7.830601e-04 9.992170e-01],"[7.4474650e-07 2.4212309e-06 1.6995415e-05 1.2944118e-04 7.2933659e-03
 9.9199571e-02 4.1856214e-01 4.4019121e-01 3.4604054e-02]","[(302, 316) (677, 692)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_female, elderly, indian_99_face0.png",Indian,Indian,Female,70+,"[7.9461015e-06 2.2567629e-06 1.1362417e-04 1.5101917e-07 6.5002582e-06
 9.9982899e-01 4.0454768e-05]",[6.2464260e-06 1.8519422e-06 2.2654553e-05 9.9996924e-01],[2.4143232e-04 9.9975854e-01],"[3.6532987e-07 8.4687636e-06 4.8453159e-05 3.2873257e-05 4.3225463e-04
 6.8731406e-03 6.3886948e-02 3.5053781e-01 5.7817972e-01]","[(302, 240) (677, 615)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_male, middle aged, white_141_face0.png",White,White,Male,40-49,"[9.9542749e-01 1.1428581e-05 1.9946182e-03 2.9718229e-05 4.3807620e-05
 1.2992880e-04 2.3629400e-03]",[9.9760741e-01 5.3745240e-05 4.5055323e-05 2.2937732e-03],[9.999640e-01 3.602764e-05],"[8.0456806e-07 7.4997029e-06 5.8285263e-04 1.9661246e-02 3.0396557e-01
 5.9125912e-01 8.3765373e-02 7.4009376e-04 1.7426451e-05]","[(202, 305) (654, 756)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_female, middle aged, black_62_face0.png",Black,Black,Female,40-49,"[2.34549276e-07 9.99891341e-01 4.85153905e-05 1.06733495e-07
 8.87436613e-07 5.88789189e-05 1.01599078e-07]",[3.1105753e-07 9.9991238e-01 5.2879227e-07 8.6889042e-05],[1.0715556e-04 9.9989283e-01],"[2.2022355e-08 3.2279317e-07 5.4467848e-05 8.7565593e-03 2.7349177e-01
 5.7850397e-01 1.3525464e-01 3.9035773e-03 3.4756053e-05]","[(390, 189) (651, 450)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_male, young, white_145_face0.png",White,White,Male,20-29,"[8.4428835e-01 3.7376562e-04 3.9447498e-02 1.0835894e-04 1.6323656e-04
 5.6237201e-03 1.0999513e-01]",[9.9032462e-01 6.0796685e-04 3.9410157e-04 8.6732889e-03],[9.9999893e-01 1.1333605e-06],"[1.4409481e-07 9.2253849e-06 3.7536451e-03 7.5652552e-01 2.3754933e-01
 2.1578323e-03 4.2771885e-06 2.7634506e-08 5.9852701e-10]","[(294, 299) (608, 611)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_male, young, asian_31_face0.png",East Asian,Asian,Male,20-29,"[1.2273669e-04 3.5360324e-06 2.9900085e-04 9.2826068e-01 7.1040094e-02
 2.4105597e-04 3.2921351e-05]",[3.8722570e-05 1.0715180e-06 9.9881154e-01 1.1487256e-03],[9.9999994e-01 7.1087022e-08],"[2.6601157e-08 1.8626129e-06 5.6783007e-03 7.3365843e-01 2.5758660e-01
 3.0574049e-03 1.6643105e-05 6.7812420e-07 4.5389768e-09]","[(390, 321) (651, 582)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_female, middle aged, indian_104_face0.png",Indian,Indian,Female,30-39,"[1.6386440e-06 1.1181251e-05 9.3612027e-05 4.4575678e-08 1.1730667e-06
 9.9989033e-01 1.9683771e-06]",[1.5085103e-06 2.6435896e-06 2.6160255e-06 9.9999326e-01],[1.9706169e-04 9.9980295e-01],"[1.3216337e-06 2.4913938e-04 2.1878494e-02 2.7186221e-01 5.3458482e-01
 1.6027623e-01 1.0716773e-02 4.2273229e-04 8.2445586e-06]","[(302, 354) (677, 730)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_female, elderly, black_143_face0.png",Black,Black,Female,50-59,"[1.0846982e-04 9.8962277e-01 5.4584844e-03 2.0668645e-05 1.7522038e-04
 4.5436728e-03 7.0643036e-05]",[6.4357323e-06 9.9979490e-01 1.5199898e-05 1.8339929e-04],[0.00436116 0.99563885],"[7.1815575e-06 1.8579223e-05 6.6587287e-05 1.3964190e-04 6.9727483e-03
 1.4895202e-01 4.1415235e-01 4.0350538e-01 2.6185460e-02]","[(363, 268) (624, 529)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_female, elderly, indian_149_face0.png",Indian,Indian,Female,60-69,"[2.0278653e-06 3.4984330e-06 3.2973527e-05 1.7632576e-07 7.3561878e-06
 9.9995255e-01 1.4529313e-06]",[2.2526197e-06 6.7513110e-06 1.5718040e-05 9.9997526e-01],[4.2626754e-05 9.9995738e-01],"[8.9952277e-07 1.4961859e-05 2.7262176e-05 3.1252785e-05 5.4409431e-04
 7.5333891e-03 9.3320772e-02 5.1476079e-01 3.8376659e-01]","[(326, 203) (640, 517)]"
"classification/analyzers/fairface/detected_faces/exp3/Stablexl1.0_teacher_neutral/teacher_male, young, asian_49_face0.png",East Asian,Asian,Male,20-29,"[2.1022819e-04 5.5965751e-07 6.7864516e-04 9.3113005e-01 6.7844689e-02
 9.4651106e-05 4.1158899e-05]",[5.967439e-04 5.086098e-06 9.987691e-01 6.290505e-04],[9.999991e-01 8.878063e-07],"[1.5203651e-07 1.1748105e-04 1.0614803e-01 8.5886353e-01 3.4625202e-02
 2.4409857e-04 1.4218864e-06 8.6893138e-08 5.4490695e-10]","[(442, 295) (704, 556)]"
